,site0
0,0.5975135
1,0.5975135
2,0.5975135
3,0.5975135
4,0.5975135
5,0.5975135
6,0.5975135
7,0.5975135
8,0.5975135
9,0.5975135
10,0.5975135
11,0.5975135
12,0.5975135
13,0.5975135
14,0.5975135
15,0.5975135
16,0.5975135
17,0.5975135
18,0.5975135
19,0.5975135
20,0.5975135
21,0.5975135
22,0.5975135
23,0.5975135
24,0.5975135
25,0.5975135
26,0.5975135
27,0.5975135
28,0.5975135
29,0.5975135
30,0.5975135
31,0.5975135
32,0.5975135
33,0.5975135
34,0.5975135
35,0.5975135
36,0.5975135
37,0.5975135
38,0.5975135
39,0.5975135
40,0.5975135
41,0.6355043
42,0.5975135
43,0.9095824
44,0.92283106
45,0.8280197
46,0.5975135
47,0.5975135
48,0.5975135
49,0.9079401
50,1.1161046
51,1.3488268
52,0.9379598
53,0.8352059
54,0.801672
55,1.1991067
56,1.2282445
57,1.2374573
58,1.3990417
59,1.1016736
60,1.2931554
61,1.2182213
62,1.3682104
63,1.4220665
64,1.3793185
65,1.6364286
66,2.040055
67,1.5961745
68,2.006992
69,1.65345
70,2.052266
71,1.9148986
72,1.7866251
73,1.8254414
74,1.6736603
75,2.222513
76,2.1059382
77,2.1991515
78,2.2736259
79,2.4008367
80,2.2269096
81,2.5056949
82,2.6275642
83,2.9955323
84,2.8469734
85,2.9407918
86,2.7420182
87,3.1072168
88,3.262472
89,3.500768
90,3.3775823
91,3.6666856
92,4.028339
93,4.217442
94,4.127335
95,3.4607239
96,3.7740338
97,3.9123414
98,4.1874695
99,3.571231
100,4.34783
101,4.7598968
102,5.6433177
103,4.0516744
104,5.8370986
105,6.015304
106,5.6054835
107,5.031934
108,4.5601153
109,4.9160776
110,4.4922185
111,6.852574
112,6.467016
113,6.1810374
114,7.2574496
115,8.484913
116,7.9215636
117,9.704877
118,7.637977
119,5.843263
120,7.352727
121,5.975343
122,6.2764344
123,6.3449035
124,6.8984385
125,7.1312213
126,7.66041
127,7.2944837
128,7.8055
129,7.8624883
130,12.950263
131,12.344203
132,12.283625
133,7.2441154
134,6.5989337
135,8.114893
136,8.331893
137,8.074722
138,12.375224
139,12.407092
140,7.9372463
141,8.133672
142,7.66904
143,9.407095
144,10.094185
145,11.645724
146,12.985194
147,11.397934
148,13.348522
149,13.348522
150,13.170294
151,12.656382
152,12.240822
153,8.024323
154,10.225846
155,7.891967
156,13.348522
157,13.348522
158,13.185679
159,13.348522
160,11.445783
161,8.033282
162,5.8720856
163,7.8742166
164,13.107507
165,9.989585
166,11.766787
167,10.234581
168,13.348522
169,13.348522
170,11.953342
171,11.637309
172,7.894053
173,12.059732
174,7.621477
175,13.348522
176,9.955255
177,12.250231
178,10.837347
179,9.549232
180,13.348522
181,13.348522
182,12.384656
183,11.0520115
184,9.953515
185,8.929494
186,7.235309
187,9.706811
188,11.214138
189,8.879483
190,8.751443
191,9.245051
192,9.95467
193,9.781746
194,9.048071
195,9.183225
196,7.810892
197,6.9719405
198,6.947851
199,6.708593
200,11.895334
201,5.7853856
202,8.961631
203,6.522007
204,7.3659897
205,8.39294
206,7.2933917
207,10.119392
208,11.267452
209,12.582721
210,11.326317
211,6.7262897
212,7.5508432
213,12.335789
214,5.570906
215,8.330107
216,10.473671
217,6.5575843
218,6.734246
219,7.8656197
220,5.987421
221,6.692012
222,7.8152456
223,7.811932
224,7.9072003
225,9.674901
226,7.5087986
227,9.57017
228,10.1050625
229,7.9780726
230,8.056948
231,6.189546
232,9.941675
233,7.489064
234,7.990928
235,7.7753816
236,5.174976
237,7.571065
238,7.275733
239,7.5422783
240,7.736519
241,8.766317
242,7.266399
243,6.9166102
244,6.719498
245,7.613729
246,6.98696
247,6.818196
248,6.735474
249,5.8179846
250,7.2931237
251,6.955756
252,6.8795524
253,5.79281
254,7.4385076
255,5.0322514
256,6.500128
257,6.8322883
258,6.218243
259,5.044696
260,5.925958
261,5.1094017
262,6.37742
263,5.7220244
264,4.616388
265,5.067947
266,4.933338
267,5.151305
268,4.6861086
269,3.961105
270,4.2527337
271,4.313032
272,3.8674695
273,3.5349896
274,4.2014775
275,4.376027
276,4.239776
277,4.076263
278,3.7179346
279,3.8146243
280,3.8800447
281,4.018322
282,3.8187795
283,3.675288
284,3.3317623
285,2.9652002
286,3.539044
287,3.5276883
288,3.1084125
289,2.706845
290,2.6925302
291,2.5453358
292,2.3619182
293,2.013285
294,2.4020932
295,2.3876176
296,2.1455863
297,1.9993546
298,2.4252284
299,1.9211478
300,2.042346
301,2.000225
302,2.0110905
303,1.9939859
304,1.5955539
305,1.5542991
306,1.3051168
307,1.1079669
308,1.3503528
309,1.2013195
310,1.277401
311,1.5520334
312,1.7561975
313,1.5020025
314,1.0960138
315,1.1823108
316,1.2205781
317,0.8369287
318,1.2735882
319,0.87513256
320,0.723099
321,0.68185115
322,0.7127459
323,0.62994474
324,0.5975135
325,0.5975135
326,0.5975135
327,0.5975135
328,0.5975135
329,0.5975135
330,0.5975135
331,0.5975135
332,0.5975135
333,0.5975135
334,0.5975135
335,0.5975135
336,0.6313994
337,0.5975135
338,0.5975135
339,0.5975135
340,0.5975135
341,0.5975135
342,0.5975135
343,0.5975135
344,0.5975135
345,0.760805
346,0.5975135
347,0.5975135
348,0.5975135
349,0.5975135
350,0.5975135
351,0.5975135
352,0.5975135
353,0.5975135
354,0.5975135
355,0.5975135
356,0.5975135
357,0.5975135
358,0.5975135
359,0.5975135
360,0.5975135
361,0.5975135
362,0.5975135
363,0.5975135
364,0.5975135
365,0.5975135
366,0.5975135
367,0.5975135
368,0.5975135
369,0.5975135
370,0.5975135
371,0.5975135
372,0.5975135
373,0.5975135
374,0.5975135
375,0.5975135
376,0.5975135
377,0.5975135
378,0.5975135
379,0.5975135
380,0.5975135
381,0.5975135
382,0.5975135
383,0.5975135
384,0.5975135
385,0.5975135
386,0.5975135
387,0.5975135
388,0.5975135
389,0.5975135
390,0.5975135
391,0.5975135
392,0.5975135
393,0.5975135
394,0.5975135
395,0.5975135
396,0.5975135
397,0.5975135
398,0.5975135
399,0.5975135
400,0.5975135
401,0.5975135
402,0.5975135
403,0.5975135
404,0.5975135
405,0.5975135
406,0.5975135
407,0.8682127
408,0.9784564
409,0.6618363
410,0.5975135
411,0.75581133
412,0.9953959
413,0.6244726
414,0.5975135
415,0.73244834
416,1.2524471
417,0.97359014
418,1.0458748
419,1.3799555
420,0.9281173
421,1.1465931
422,1.2021127
423,0.9794717
424,1.4160631
425,1.5191367
426,1.4589863
427,1.3925099
428,0.9044006
429,0.96198386
430,1.1882052
431,1.0402689
432,1.0918891
433,1.4212674
434,1.4404864
435,1.473886
436,1.4441795
437,1.6713593
438,1.5852407
439,1.5765479
440,1.6773999
441,1.9728837
442,2.1844983
443,2.2646897
444,2.3462934
445,2.0008125
446,2.3299298
447,2.1538723
448,2.0353272
449,2.461729
450,2.538858
451,2.957686
452,2.5824046
453,3.0194614
454,3.1487043
455,4.108875
456,4.7772117
457,4.117328
458,2.6777828
459,2.7662125
460,2.4823148
461,2.5312848
462,2.5949714
463,2.934581
464,2.964557
465,3.1716413
466,2.7652552
467,3.2386968
468,3.0793152
469,3.2163324
470,4.0191817
471,4.3526325
472,4.665638
473,4.7128773
474,5.271793
475,6.192227
476,6.7834983
477,7.3077135
478,7.5272384
479,7.6924233
480,6.7485223
481,5.523171
482,6.8315535
483,7.391221
484,6.2476153
485,6.180285
486,6.248762
487,7.0445676
488,7.558603
489,7.3736415
490,4.872486
491,6.9237237
492,7.931561
493,8.63819
494,7.414815
495,10.377869
496,8.755111
497,7.843047
498,6.4681473
499,7.451756
500,9.727599
501,7.070788
502,7.8401594
503,10.135032
504,10.092115
505,11.834344
506,11.700317
507,10.451607
508,10.336269
509,10.123169
510,13.348522
511,13.348522
512,11.300115
513,10.157232
514,10.701841
515,7.0545444
516,8.072742
517,11.699185
518,10.805144
519,7.4239125
520,7.0741415
521,11.203229
522,10.275329
523,7.623422
524,7.2852407
525,8.127106
526,10.037591
527,11.41799
528,13.348522
529,10.301261
530,12.452309
531,8.336676
532,7.2984633
533,9.919144
534,7.7880354
535,8.9479065
536,11.75046
537,7.8542237
538,8.114493
539,12.074183
