,site1
0,0.6614889
1,0.6614889
2,0.6614889
3,0.6614889
4,0.6614889
5,0.6614889
6,0.6614889
7,0.6614889
8,0.6614889
9,0.6614889
10,0.6614889
11,0.6614889
12,0.6614889
13,0.6614889
14,0.6614889
15,0.6614889
16,0.6614889
17,0.6614889
18,0.6614889
19,0.6614889
20,0.6614889
21,0.6614889
22,0.6614889
23,0.6614889
24,0.6614889
25,0.6614889
26,0.6614889
27,0.6614889
28,0.6614889
29,0.6614889
30,0.6614889
31,0.6614889
32,0.6614889
33,0.6614889
34,0.6614889
35,0.6614889
36,0.6614889
37,0.6614889
38,0.6614889
39,0.6614889
40,0.6614889
41,0.6614889
42,0.6614889
43,0.6614889
44,0.6614889
45,0.6614889
46,0.6614889
47,0.6614889
48,0.6614889
49,0.6614889
50,0.6614889
51,0.6614889
52,0.6614889
53,0.6614889
54,0.6614889
55,0.6614889
56,0.6614889
57,0.6614889
58,0.6614889
59,0.6614889
60,0.6614889
61,0.6614889
62,0.6614889
63,0.6614889
64,0.6614889
65,0.6614889
66,0.6614889
67,0.6614889
68,0.6614889
69,0.6614889
70,0.6614889
71,0.6614889
72,0.6614889
73,0.66428614
74,0.6614889
75,0.86271083
76,0.8946272
77,0.8485881
78,1.0742481
79,1.2223828
80,0.8465204
81,1.1027848
82,1.4343456
83,2.0148718
84,1.567692
85,1.7253848
86,1.3633883
87,1.5821141
88,1.8533895
89,1.9302285
90,1.3842258
91,1.960036
92,1.7720009
93,1.6619378
94,2.154454
95,2.2919765
96,3.22865
97,3.274064
98,3.7740262
99,3.1837792
100,3.5328798
101,3.69772
102,3.9607654
103,3.2531428
104,4.1408405
105,3.906126
106,4.421977
107,4.319045
108,3.6358078
109,4.097727
110,3.2072837
111,4.892945
112,5.3299103
113,5.439371
114,5.392391
115,5.478561
116,4.165464
117,4.8137493
118,5.529519
119,3.9374526
120,5.926965
121,4.1532564
122,4.169575
123,4.2645464
124,4.600436
125,5.2465677
126,6.090991
127,5.6148267
128,6.3913383
129,5.293918
130,6.5001316
131,6.7400503
132,6.552635
133,4.2406034
134,4.4030557
135,6.0034733
136,5.6548696
137,6.131979
138,6.9083366
139,6.93865
140,5.955614
141,6.0670652
142,6.1911716
143,7.733205
144,6.927722
145,7.7476463
146,8.395774
147,5.7872257
148,6.856784
149,7.2984886
150,6.933487
151,7.2080393
152,7.25513
153,5.639413
154,6.275738
155,5.661854
156,7.4107056
157,8.861216
158,7.550333
159,8.557196
160,8.349309
161,7.2076683
162,5.735696
163,6.437352
164,8.426665
165,7.550537
166,8.288549
167,8.358631
168,9.737205
169,9.1004715
170,8.878599
171,9.065284
172,7.2795067
173,8.856276
174,7.001835
175,8.924517
176,7.412051
177,8.284037
178,7.4067163
179,7.254485
180,9.964218
181,9.620276
182,9.218018
183,9.405186
184,9.463956
185,9.253006
186,8.514038
187,8.977343
188,9.345056
189,9.17692
190,9.351713
191,9.339741
192,9.429916
193,9.690647
194,8.122765
195,8.563858
196,8.155463
197,7.4918222
198,7.3879166
199,6.79817
200,9.345877
201,5.7051716
202,8.372684
203,5.9931893
204,7.25089
205,7.385277
206,6.7679863
207,8.359556
208,8.263315
209,8.725876
210,8.005338
211,5.9010525
212,6.4854
213,8.465013
214,4.882823
215,7.710992
216,7.5545807
217,5.560319
218,5.9692016
219,7.22443
220,5.881684
221,5.456464
222,6.459592
223,6.5293837
224,6.7155333
225,7.3659744
226,6.0971675
227,6.952203
228,7.678752
229,7.513027
230,7.3484917
231,5.5963593
232,7.549817
233,5.7586226
234,6.583807
235,6.9531
236,5.05983
237,7.076804
238,5.640664
239,5.384123
240,5.8002663
241,6.838113
242,6.392729
243,6.3556137
244,5.2397423
245,5.903757
246,5.717372
247,5.109039
248,5.456339
249,4.797812
250,5.852369
251,5.4301224
252,5.3910847
253,3.740281
254,5.5371194
255,3.2983913
256,4.1478615
257,4.6285205
258,4.4572434
259,3.543007
260,4.128082
261,3.3737876
262,4.157935
263,4.2552633
264,3.595787
265,3.469016
266,3.4357512
267,3.7215786
268,3.5942578
269,2.8026614
270,3.178887
271,3.460369
272,3.1675043
273,2.7448747
274,3.2000217
275,3.4291584
276,3.4645424
277,3.229701
278,2.7495492
279,3.0557427
280,3.0805366
281,3.1362572
282,2.893061
283,2.6587107
284,2.6064186
285,2.3162012
286,2.6767294
287,2.7845054
288,2.8561401
289,2.779177
290,2.4833887
291,2.5974488
292,2.1043565
293,1.7255127
294,2.2651963
295,2.3659418
296,2.350058
297,2.1043565
298,2.2822728
299,2.0862448
300,2.1250935
301,1.7693597
302,1.6354206
303,1.9950486
304,1.5417613
305,1.576288
306,1.0700426
307,1.0122473
308,1.0931597
309,0.99772334
310,1.0468882
311,1.1530707
312,1.1589181
313,1.0479164
314,0.7647432
315,0.7847209
316,0.69216406
317,0.6614889
318,0.8763423
319,0.86607504
320,0.83050585
321,0.7420728
322,0.7100593
323,0.6614889
324,0.6614889
325,0.6614889
326,0.6614889
327,0.6614889
328,0.6614889
329,0.6614889
330,0.6614889
331,0.6614889
332,0.6614889
333,0.6614889
334,0.6614889
335,0.6614889
336,0.6614889
337,0.6614889
338,0.6614889
339,0.6614889
340,0.6614889
341,0.6614889
342,0.6614889
343,0.6614889
344,0.6614889
345,0.6614889
346,0.6614889
347,0.6614889
348,0.6614889
349,0.6614889
350,0.6614889
351,0.6614889
352,0.6614889
353,0.6614889
354,0.6614889
355,0.6614889
356,0.6614889
357,0.6614889
358,0.6614889
359,0.6614889
360,0.6614889
361,0.6614889
362,0.6614889
363,0.6614889
364,0.6614889
365,0.6614889
366,0.6614889
367,0.6614889
368,0.6614889
369,0.6614889
370,0.6614889
371,0.6614889
372,0.6614889
373,0.6614889
374,0.6614889
375,0.6614889
376,0.6614889
377,0.6614889
378,0.6614889
379,0.6614889
380,0.6614889
381,0.6614889
382,0.6614889
383,0.6614889
384,0.6614889
385,0.6614889
386,0.6614889
387,0.6614889
388,0.6614889
389,0.6614889
390,0.6614889
391,0.6614889
392,0.6614889
393,0.6614889
394,0.6614889
395,0.6614889
396,0.6614889
397,0.6614889
398,0.6614889
399,0.6614889
400,0.6614889
401,0.6614889
402,0.6614889
403,0.6614889
404,0.6614889
405,0.6614889
406,0.6614889
407,0.6614889
408,0.6614889
409,0.6614889
410,0.6614889
411,0.6614889
412,0.6614889
413,0.6614889
414,0.6614889
415,0.6614889
416,0.6614889
417,0.6614889
418,0.6614889
419,0.6614889
420,0.6614889
421,0.6614889
422,0.6614889
423,0.6614889
424,0.6614889
425,0.6614889
426,0.6614889
427,0.6614889
428,0.6614889
429,0.6614889
430,0.6614889
431,0.6614889
432,0.6614889
433,0.6614889
434,0.6614889
435,0.6614889
436,0.6614889
437,0.6614889
438,0.6614889
439,0.6614889
440,0.6614889
441,0.6614889
442,0.6614889
443,0.6614889
444,0.71309936
445,0.6614889
446,0.951162
447,0.83854973
448,0.6614889
449,1.1892748
450,1.2468457
451,1.2593536
452,0.8868588
453,1.7375135
454,1.2660754
455,1.5298083
456,0.96764445
457,1.9792442
458,1.4178815
459,1.5827253
460,1.302143
461,1.4815404
462,1.4472475
463,1.7365552
464,1.8728864
465,1.9272978
466,1.0747591
467,1.5835425
468,1.9987874
469,2.2240503
470,2.5698915
471,2.2733648
472,2.4720976
473,1.9863626
474,2.1749227
475,3.3955028
476,4.2337694
477,4.205649
478,4.5544744
479,4.5657544
480,3.6393862
481,3.3249469
482,4.1719484
483,4.926034
484,4.2307463
485,4.628602
486,5.2137985
487,5.2172422
488,4.302718
489,5.7094593
490,3.7190576
491,5.074548
492,5.090681
493,6.0931444
494,5.809515
495,6.480049
496,5.872338
497,6.179249
498,5.5330763
499,5.790476
500,6.133234
501,4.517447
502,5.8975525
503,6.3860273
504,5.333741
505,5.9047327
506,6.6110506
507,6.406826
508,6.914544
509,6.5820723
510,7.049943
511,7.793497
512,7.2988043
513,7.667964
514,8.004826
515,6.6620502
516,6.783704
517,7.8336544
518,8.107269
519,7.803298
520,7.28603
521,8.515535
522,7.5442667
523,5.539692
524,5.163829
525,5.5475616
526,6.4752073
527,6.847929
528,7.3935785
529,5.752697
530,7.3171043
531,5.6951337
532,5.1004934
533,7.7665033
534,6.077488
535,6.6741266
536,7.6528606
537,5.5812206
538,6.274933
539,7.0883474
540,9.163115
541,8.861203
542,8.087361
543,6.6916485
544,8.241332
545,7.8772326
546,7.7573175
547,7.6055
548,9.093553
549,8.014554
550,8.569367
551,7.3636703
552,8.270511
553,7.231208
554,7.900875
555,7.376872
556,6.460634
557,6.97705
558,7.574768
559,7.068141
560,6.633919
561,6.7552633
562,6.975375
563,6.996298
564,6.2789745
565,4.2190742
566,5.2043447
567,8.225262
568,7.823269
569,7.3095675
570,7.74522
571,8.146322
572,7.935027
573,8.667596
574,8.466244
575,8.041222
576,6.9971066
577,8.653986
578,6.7805357
579,7.058379
580,8.037408
581,6.4575768
582,7.3790073
583,3.384904
584,7.231971
585,7.043522
586,5.750347
587,6.710539
588,4.4692745
589,5.715554
590,5.224572
591,3.322691
592,4.1902
593,4.5436983
594,5.246866
595,4.2345653
596,4.514001
597,4.2250805
598,5.4992447
599,5.1359167
600,4.983939
601,4.099534
602,4.345518
603,3.1886327
604,5.2721868
605,5.1534953
606,5.8564544
607,4.857937
608,4.611619
609,3.6867783
610,4.975381
611,3.8363352
612,4.6804366
613,4.7570453
614,5.0936165
615,4.283428
616,4.9070683
617,4.1552553
618,4.1866655
619,4.357118
620,4.08828
621,4.081303
622,3.9351614
623,3.8856711
624,3.7297523
625,3.7976608
626,3.6665578
627,4.1848135
628,3.5664303
629,4.146611
630,4.09025
631,4.047324
632,3.5951514
633,3.6341305
634,3.7714133
635,3.4957218
636,3.6419897
637,2.853976
638,2.596794
639,2.9367201
640,2.8926458
641,2.731401
642,2.681766
643,3.3178892
644,3.1578627
645,2.543528
646,2.7435691
647,2.259983
648,2.85685
649,2.5933383
650,2.5415053
651,2.632792
652,2.0492628
653,2.28211
654,2.4201484
655,2.1043565
656,2.304349
657,1.4151661
658,2.1094074
659,2.2570043
660,1.7318249
661,2.1043565
662,1.2937915
663,1.8573658
664,2.0102475
665,1.821446
666,1.3036752
667,0.754519
668,1.5290582
669,1.6992228
670,1.4112477
671,1.3304979
672,1.568341
673,1.6919016
674,1.3863362
675,0.9788209
676,0.6614889
677,0.6614889
678,0.6614889
679,0.6614889
680,0.6614889
681,0.6614889
682,0.6614889
683,0.6614889
684,0.72765446
685,0.6614889
686,0.6614889
687,0.6614889
688,0.6614889
689,0.6614889
690,0.6614889
691,0.6614889
692,0.6614889
693,0.6614889
694,0.6614889
695,0.6614889
696,0.6614889
697,0.6614889
698,0.6614889
699,0.6614889
700,0.6614889
701,0.6614889
702,0.6614889
703,0.6614889
704,0.6614889
705,0.6614889
706,0.6614889
707,0.6614889
708,0.6614889
709,0.6614889
710,0.6614889
711,0.6614889
712,0.6614889
713,0.6614889
714,0.6614889
715,0.6614889
716,0.6614889
717,0.6614889
718,0.6614889
719,0.6614889
720,0.6614889
721,0.6614889
722,0.6614889
723,0.6614889
724,0.6614889
725,0.6614889
726,0.6614889
727,0.6614889
728,0.6614889
729,0.6614889
730,0.6614889
731,0.6614889
732,0.6614889
733,0.6614889
734,0.6614889
735,0.6614889
736,0.6614889
737,0.6614889
738,0.6614889
739,0.6614889
740,0.6614889
741,0.6614889
742,0.6614889
743,0.6614889
744,0.6614889
745,0.6614889
746,0.6614889
747,0.6614889
748,0.6614889
749,0.6614889
750,0.6614889
751,0.6614889
752,0.6614889
753,0.6614889
754,0.6614889
755,0.6614889
756,0.6614889
757,0.6614889
758,0.6614889
759,0.6614889
760,0.6614889
761,0.6614889
762,0.6614889
763,0.6614889
764,0.6614889
765,0.6614889
766,0.6614889
767,0.6614889
768,0.6614889
769,0.6614889
770,0.6614889
771,1.0113074
772,1.3526297
773,1.0847214
774,1.0330544
775,1.0982854
776,0.6614889
777,0.6614889
778,0.6614889
779,0.6614889
780,0.6614889
781,0.6614889
782,0.6614889
783,0.6614889
784,0.6614889
785,0.6614889
786,0.6614889
787,0.6614889
788,0.6614889
789,0.6614889
790,0.6614889
791,0.6614889
792,0.6614889
793,0.6614889
794,0.6614889
795,0.6614889
796,0.6614889
797,0.6614889
798,0.6614889
799,0.6614889
800,0.73412144
801,0.9530817
802,0.99091494
803,1.2959683
804,0.74480927
805,1.590749
806,1.1758927
807,1.1372132
808,2.1043565
809,2.9299092
810,3.2207568
811,3.6428034
812,2.9377725
813,3.4136968
814,3.5018723
815,3.751796
816,3.737071
817,3.725388
818,3.6590776
819,3.812024
820,3.9084897
821,3.9983306
822,4.1774645
823,3.8851058
824,4.1236
825,4.431985
826,3.6876044
827,3.775681
828,4.484951
829,4.2319136
830,4.3606133
831,4.6321545
832,4.6594734
833,4.679365
834,4.5643945
835,4.5531507
836,4.5834894
837,3.8795416
838,5.225252
839,4.746313
840,4.552539
841,5.1132717
842,4.1328993
843,3.9599686
844,5.176147
845,4.9283614
846,5.286233
847,6.3444586
848,4.8362083
849,6.456685
850,4.373291
851,3.8597522
852,3.8524752
853,4.2320085
854,5.789895
855,3.8007686
856,4.7783318
857,4.8757796
858,5.4969053
859,4.7360315
860,6.686681
861,6.282692
862,4.6202064
863,5.885137
864,5.6428447
865,3.3633306
866,4.3557215
867,7.741482
868,7.043421
869,7.072216
870,6.915447
871,4.1711273
872,8.368605
873,8.658846
874,8.401227
875,8.770787
876,8.746488
877,8.971991
878,6.0401454
879,8.115614
880,8.755596
881,7.4437227
882,7.898884
883,7.9306774
884,6.907899
885,7.237091
886,5.4287453
887,6.0633426
888,5.6133137
889,6.5244474
890,7.2054987
891,9.130738
892,8.768224
893,8.040492
894,7.193364
895,8.112546
896,8.124499
897,8.331422
898,9.219494
899,9.875851
900,7.357566
901,8.280572
902,10.017447
903,9.625537
904,6.385557
905,9.919607
906,9.649891
907,9.15903
908,6.6511183
909,7.882125
910,6.945343
911,9.98613
912,8.9769945
913,7.9794827
914,4.520314
915,8.317262
916,8.056685
917,6.473053
918,6.5476017
919,7.949876
920,9.287326
921,8.640369
922,9.127551
923,8.399645
924,8.757894
925,8.601048
926,8.715293
927,6.0298367
928,8.163865
929,7.8294954
930,6.121622
931,7.259177
932,8.995663
933,7.4463263
934,7.829567
935,8.451815
936,8.7073965
937,7.738776
938,7.2279377
939,6.2241077
940,7.206353
941,6.884302
942,4.190096
943,4.220507
944,5.025626
945,5.1538696
946,6.2241
947,5.2229996
948,5.9083853
949,6.3451185
950,5.786893
951,6.1305094
952,5.6055665
953,7.6125298
954,5.3259306
955,5.5538297
956,6.0110126
957,7.437398
958,6.888029
959,7.493062
960,5.706077
961,5.48217
962,5.0960917
963,2.3367858
964,6.8209925
965,7.2196684
966,6.8381824
967,4.674575
968,6.790741
969,6.0232105
970,6.015479
971,5.741973
972,6.199936
973,5.6995134
974,5.369047
975,6.1590376
976,6.1447697
977,6.083493
978,5.557639
979,5.5197597
980,5.1297584
981,5.06046
982,5.321943
983,4.9637747
984,5.00121
985,5.232792
986,4.7009706
987,4.7931385
988,5.5034695
989,5.810526
990,5.376893
991,5.2082653
992,5.592632
993,5.1866426
994,4.796563
995,5.036252
996,4.868902
997,4.4913936
998,4.739255
999,4.3745413
1000,4.684971
1001,4.6128197
1002,4.984421
1003,4.2765846
1004,4.935398
1005,4.748929
1006,4.7469983
1007,4.6597743
1008,4.597832
1009,4.7545624
1010,4.5777626
1011,4.599678
1012,4.494172
1013,3.908741
1014,4.4737797
1015,4.211076
1016,3.937038
1017,4.157695
1018,4.093173
1019,4.6145267
1020,4.290105
1021,3.7576075
1022,4.024035
1023,3.7832055
1024,3.6391418
1025,3.6369452
1026,3.573319
1027,3.7932224
1028,3.70394
1029,3.6918988
1030,3.7848454
1031,3.7387252
1032,3.4710336
1033,3.3772032
1034,3.2957406
1035,3.3302238
1036,3.0790396
1037,3.080935
1038,2.878996
1039,3.1329744
1040,3.089907
1041,3.0642436
1042,2.7800837
1043,2.8202453
1044,2.80507
1045,2.7623763
1046,2.7585385
1047,2.467391
1048,2.666213
1049,2.6442666
1050,2.729995
1051,2.7637856
1052,2.4030142
1053,2.5058944
1054,2.7953334
1055,2.4099045
1056,2.4471433
1057,1.7054322
1058,1.5288305
1059,1.7383606
1060,1.0143464
1061,0.6614889
1062,0.6614889
1063,0.6614889
1064,0.6614889
1065,0.6614889
1066,0.6614889
1067,0.6614889
1068,0.6614889
1069,0.6614889
1070,0.6614889
1071,0.6614889
1072,0.6614889
1073,0.6614889
1074,0.6614889
1075,0.6614889
1076,0.6614889
1077,0.6614889
1078,0.6614889
1079,0.6614889
1080,0.6614889
1081,0.6614889
1082,0.6614889
1083,0.6614889
1084,0.6614889
1085,0.6614889
1086,0.6614889
1087,0.6614889
1088,0.6614889
1089,0.6614889
1090,0.6614889
1091,0.6614889
1092,0.6614889
1093,0.6614889
1094,0.6614889
1095,0.6614889
1096,0.6614889
1097,0.6614889
1098,0.6614889
1099,0.6614889
1100,0.6614889
1101,0.6614889
1102,0.6614889
1103,0.6614889
1104,0.6614889
1105,0.6614889
1106,0.6614889
1107,0.6614889
1108,0.6614889
1109,0.6614889
1110,0.6614889
1111,0.6614889
1112,0.6614889
1113,0.6614889
1114,0.6614889
1115,0.6614889
1116,0.6614889
1117,0.6614889
1118,0.6614889
1119,0.6614889
1120,0.6614889
1121,0.6614889
1122,0.6614889
1123,0.6614889
1124,0.6614889
1125,0.6614889
1126,0.6614889
1127,0.6614889
1128,0.6614889
1129,0.6614889
1130,0.6614889
1131,0.6614889
1132,0.6614889
1133,0.6614889
1134,0.6614889
1135,0.6614889
1136,0.6614889
1137,0.6614889
1138,0.6614889
1139,0.6614889
1140,0.6614889
1141,0.9022244
1142,1.6759975
1143,1.2949138
1144,1.3193104
1145,2.038278
1146,2.1541708
1147,2.2059782
1148,2.333113
1149,2.0576718
1150,2.3231637
1151,2.1638546
1152,1.2892694
1153,1.7419857
1154,2.080579
1155,2.4767342
1156,2.1745048
1157,2.4287128
1158,2.390087
1159,2.6371782
1160,2.5847645
1161,2.6617723
1162,2.6256948
1163,2.3419616
1164,2.7492204
1165,2.6291573
1166,2.824757
1167,2.6197891
1168,2.5202193
1169,3.1031566
1170,2.9226656
1171,2.8563752
1172,2.1043565
1173,1.8699654
1174,2.0819688
1175,1.0760847
1176,2.0306842
1177,2.1043565
1178,1.9899852
1179,2.3746157
1180,2.1043565
1181,2.68569
1182,2.7049642
1183,2.7743838
1184,2.1043565
1185,2.347954
1186,2.3776393
1187,2.3955061
1188,3.030918
1189,3.6600523
1190,4.5153227
1191,4.395608
1192,4.5855074
1193,4.4751844
1194,4.205639
1195,4.6147194
1196,4.538251
1197,4.550071
1198,3.9643228
1199,4.417204
1200,4.414543
1201,3.7214327
1202,4.3150415
1203,4.381363
1204,4.3568
1205,3.711526
1206,5.8552856
1207,4.419897
1208,5.5858903
1209,5.100319
1210,5.13502
1211,4.9222517
1212,4.0258656
1213,4.0624104
1214,4.9612627
1215,4.638687
1216,4.1622543
1217,4.432727
1218,5.084343
1219,6.927737
1220,4.9357243
1221,6.3555565
1222,6.692419
1223,6.0869913
1224,7.3623323
1225,7.5113306
1226,7.911214
1227,5.6624527
1228,5.997506
1229,7.0271463
1230,6.215396
1231,4.7245674
1232,6.2075357
1233,4.885574
1234,5.7746463
1235,6.351837
1236,7.1863737
1237,7.9342146
1238,7.458334
1239,7.9931126
1240,8.351862
1241,7.845805
1242,8.014792
1243,6.5814705
1244,8.342233
1245,8.194965
1246,7.5490265
1247,5.10549
1248,8.88318
1249,7.5603895
1250,5.469762
1251,5.7649636
1252,7.008149
1253,5.6251097
1254,5.4361277
1255,7.121336
1256,5.5144815
1257,6.003075
1258,5.6829233
1259,6.1795616
1260,4.828013
1261,7.36279
1262,6.34727
1263,7.333951
1264,7.1245747
1265,7.1048145
1266,6.588608
1267,7.2192183
1268,7.872759
1269,8.557686
1270,8.890495
1271,9.328385
1272,8.802935
1273,7.679738
1274,10.152999
1275,9.533259
1276,8.832419
1277,5.816203
1278,7.406478
1279,9.836971
1280,6.011222
1281,8.959682
1282,8.441049
1283,8.425902
1284,9.68391
1285,8.388746
1286,7.4887085
1287,5.6539817
1288,6.1048098
1289,7.3664446
1290,6.719901
1291,8.036989
1292,8.32934
1293,8.312056
1294,6.74306
1295,7.375181
1296,4.7897835
1297,5.7445745
1298,6.396387
1299,7.323797
1300,9.321143
1301,8.986823
1302,8.920144
1303,8.218894
1304,7.583026
1305,8.202739
1306,6.965973
