,0,1,2,3,train_loss,val_loss
0,4,,,,0.4411169233647925,0.9716515782475471
1,256,128.0,256.0,8.0,0.21074408888087887,0.7087060660123825
2,128,2.0,8.0,256.0,0.48896692429894856,0.7798031136393547
3,128,16.0,8.0,,0.23000095324618397,0.6262668585777282
4,256,256.0,64.0,64.0,0.20965669510652138,0.7602137583494186
5,64,64.0,256.0,4.0,0.22380801553313553,0.8833302754163742
6,64,,,,0.3178578223946211,0.8406634679436684
7,2,64.0,,,0.47225070926835405,0.8413046643137931
8,32,,,,0.3351067388952661,0.8326981863379479
9,64,4.0,,,0.24768980133304758,0.6714779102802276
10,32,64.0,8.0,32.0,0.24160102896657318,0.9150748798251152
11,64,128.0,32.0,,0.19348126886311995,0.7783377075195312
12,256,128.0,32.0,16.0,0.19349942928256691,0.6682920423150063
13,128,32.0,,,0.2145704254665815,0.781990008354187
14,128,16.0,2.0,128.0,0.238814479340834,0.8368872404098511
15,64,16.0,,,0.22831382597274577,0.5595808121562004
16,2,256.0,16.0,,0.4757327344561627,0.6815899568796158
17,8,,,,0.3846335324184529,0.6564925056695938
18,256,64.0,128.0,,0.2243741799754062,0.7621896255016327
19,128,64.0,4.0,256.0,0.233133280586513,0.7794539538025856
20,8,4.0,256.0,,0.3510006650496338,0.8976817440986633
21,4,8.0,256.0,256.0,0.4267464289550685,1.1520018646121024
22,128,4.0,,,0.22056708108907688,0.6358061039447784
23,256,4.0,,,0.26794084970680565,0.7558560073375702
24,16,128.0,4.0,8.0,0.25295362692105977,1.2624512016773224
25,64,128.0,4.0,,0.21003300614256562,0.8618610543012619
26,256,32.0,16.0,,0.21802107611117727,0.6836279413104057
27,32,32.0,32.0,,0.2426624515989735,0.7944060030579567
28,16,2.0,4.0,64.0,1.6252010120403577,1.5798070240020752
29,64,2.0,,,1.629031908728122,1.5623398053646087
30,256,,,,0.2944144299777953,0.7690575146675109
31,128,32.0,256.0,128.0,0.23436461948448295,0.7825443875789643
32,16,64.0,32.0,,0.24160217435307152,0.7345492500066757
33,16,2.0,,,0.35759542260224214,0.7765226814150811
34,16,64.0,4.0,8.0,0.2714050287966884,1.1352773573994637
35,32,256.0,4.0,,0.20285044643619823,0.8818292817473412
36,128,256.0,,,0.19913435027196516,0.7094988715648651
37,64,2.0,256.0,8.0,1.6245119420227798,1.5750625705718995
38,16,64.0,32.0,4.0,1.6302140775965739,1.5643372631072998
39,128,,,,0.29527070145266776,0.8195439672470093
40,256,8.0,,,0.22472960626607302,0.6650681075453758
41,64,32.0,,,0.21544613143704594,1.6061646008491517
42,256,2.0,64.0,,0.29034862475090967,0.8206277939677239
43,32,64.0,,,0.23096004653705574,0.7614207190275192
44,32,4.0,4.0,,1.6279918129101376,1.5666852188110352
45,128,8.0,4.0,,0.21623248130770642,0.9327380368113518
46,128,128.0,,,0.2024308782227555,0.8839188748598099
47,64,32.0,32.0,256.0,0.24449928007132737,0.7728577134013176
48,128,128.0,128.0,64.0,0.211011709885298,0.587947646677494
49,64,256.0,256.0,,0.20961338271478688,0.9729871872067452
50,64,16.0,16.0,2.0,1.624907764229101,1.5651164221763612
51,4,16.0,,,0.39032657708734503,0.9639800879359245
52,128,4.0,2.0,64.0,0.2341807139947294,0.7605181375145912
53,64,128.0,64.0,32.0,0.2034790843624635,0.7683135345578194
54,2,64.0,128.0,128.0,0.4859836706618815,0.9366521990299225
55,32,16.0,32.0,8.0,0.24490708213515439,0.632852646112442
56,4,128.0,64.0,8.0,0.4002237761752443,0.6379729413986206
57,2,,,,0.49115625441190147,0.4441667887568474
58,8,128.0,64.0,,0.295225592910901,0.6928977689146996
59,64,64.0,2.0,,0.20920226891445984,0.6998396870493889
60,16,16.0,,,0.299030643872455,0.9779997822642327
