,0,1,2,3,train_loss,val_loss,train_loss_sd,val_loss_sd,ind_mini
0,2,256.0,256.0,2.0,5.657980555857603,7.741333060264587,3.8953822977648342,1.7112626067536814,31.428328629609442
1,64,256.0,,,2.7170360221341254,13.44109726190567,2.7191878972889345,2.8689524344415784,94.44699183754817
2,4,32.0,16.0,,6.275462261381058,8.022250938415528,4.797510090214748,1.7540331284492754,33.71657116730319
3,256,2.0,,,4.23626861257622,11.948378438949584,3.9993631975240844,4.04595957595801,79.5667681053208
4,128,128.0,64.0,32.0,2.5525587967926495,13.210096790790558,2.880805065595105,2.707813997271887,90.91945693293827
5,8,256.0,16.0,,4.023122351163855,6.965499076843262,3.268820831594147,1.2292831967630427,25.014657283674147
6,16,8.0,16.0,,4.792510497994148,10.080849952697754,5.309159945728014,3.4007397614162653,56.594283346841934
7,32,8.0,,,5.405079957269705,10.066811606884002,6.6013816530994385,3.071978228707399,55.388873083073356
8,16,32.0,16.0,32.0,3.6887826633997833,14.155141286849975,4.257189654885136,4.357522633306976,109.67801417523367
9,128,256.0,,,2.6167020307266364,15.624500434398652,2.2438883084257455,3.362800862167778,127.71672173156
10,2,4.0,,,9.105683423498503,6.517180507183075,9.61369348076745,4.774953552038473,32.636911593665936
11,16,16.0,,,5.074230546550109,10.599545526504517,4.3417784867781135,3.3419775309071555,61.75958959276511
12,256,32.0,256.0,64.0,2.4653584437022125,12.553466675281525,2.204177834338314,2.4266855924831705,81.7391642660846
13,128,,,,4.143892291618081,9.110971326828002,3.6730589899791815,2.512490094484259,44.661202496581765
14,32,128.0,,,3.3581918589713484,11.959724049568177,3.771047461454255,3.2539333218682205,76.8115407024919
15,32,2.0,,,25.54732322465915,12.56682460784912,8.663546785813022,4.103687726260703,87.38266683955247
16,256,,,,3.559882476197986,10.336240415573121,2.868220788168345,2.897696746092481,57.61725618042108
17,2,64.0,,,6.258996774439629,4.32899127483368,4.185730334626323,1.663124638999579,10.753074511216804
18,256,256.0,128.0,,2.3386907704539883,11.743092555999755,1.8644116717545356,1.7929125150554313,70.55737903270963
19,128,16.0,16.0,,3.5157406787488323,10.603366389274598,4.335439866897544,2.3821129230795726,59.05292038175046
20,4,8.0,,,7.585072153118941,9.453364956378937,8.202039246622602,2.9537554559084875,49.04539014590125
21,8,32.0,4.0,,5.889767983412512,6.926930527687073,5.7227941192067355,2.646345619057849,27.492755835454894
22,2,,,,8.076898449235237,5.092037411928177,5.722272527723611,2.013149072149754,14.990807095586812
23,256,4.0,2.0,2.0,20.595268501318415,16.160448117256166,5.885356305191269,1.5482021763928413,131.77850666475797
24,256,4.0,8.0,,3.1504964547059857,13.293715381622315,2.840624646026687,3.4588508759630603,94.34325901486608
25,4,32.0,32.0,,5.371396996470598,7.911315157413482,4.504770555274406,2.0097541993361188,33.31400973083474
26,32,,,,5.4204594430613975,7.517912850379944,4.909473573701589,1.926056858339085,30.11435432373146
27,32,32.0,16.0,,3.5972571413333596,11.995195722579956,4.417528954800427,2.6904924623107314,75.56173505637567
28,16,32.0,,,5.566743099431579,8.919833242893219,4.732483323497649,2.9409689733781588,44.10636179169797
29,64,32.0,32.0,64.0,2.936318717027226,15.755928566455841,3.606652104536872,4.178488740225805,132.85452657172652
30,8,2.0,,,7.985108758107974,7.664792885780335,8.611800800429998,3.584041127592665,35.79720039309227
31,2,4.0,8.0,,7.66111920840465,6.15463630437851,6.052147349533368,2.195923690918529,21.35081444775561
32,64,32.0,2.0,,4.24563013521238,10.689330880641938,4.442331682961933,3.926439303482826,64.83936013989003
33,32,2.0,4.0,8.0,5.550893376922378,9.976194086074829,6.867532527569465,4.050688415200742,57.966262540037945
34,16,8.0,8.0,,6.13226209070247,9.747813267707825,5.585705169783676,2.4279961975889037,50.45751451880344
35,4,256.0,,,5.066788696841552,9.55398200750351,3.1104043693933283,2.66397695967836,49.187672720698984
36,8,256.0,8.0,16.0,3.854594285407892,10.93562769651413,4.146971282125477,2.6532193013245675,63.31376288884408
37,4,64.0,8.0,128.0,4.734710986023912,7.8745627784729,3.8979070765504287,1.907914574763284,32.824438488352506
38,8,4.0,,,6.499115955457091,8.277902557849885,6.569433725055886,2.3214929562572877,36.95650015160493
