,0,1,2,3,train_loss,val_loss
0,64,2.0,,,3.547908549403333,4.254995833985183
1,32,8.0,,,3.4035981978045977,4.751565327592518
2,4,,,,4.892414992539513,4.139451462820819
3,128,64.0,16.0,,2.808755786550845,5.1802736900844
4,128,32.0,16.0,,2.907245546590911,4.937767618000508
5,128,4.0,,,3.389166441860133,4.5000603822845475
6,32,64.0,,,3.075050900349126,5.35008106538783
7,64,8.0,4.0,128.0,3.1359884369111,5.3255367063115475
8,128,32.0,256.0,,2.5729078302150246,5.584427771484074
9,64,16.0,,,3.1745541563018453,5.289445206237875
10,64,256.0,4.0,16.0,2.77962111640781,5.365306273860775
11,8,8.0,2.0,,4.232907638362076,4.023472522698019
12,256,2.0,32.0,64.0,2.9559943548372316,5.23674826439308
13,32,4.0,256.0,128.0,3.1218289438924263,5.8051598255660215
14,16,8.0,,,3.8090686948883334,5.024614576360454
15,8,128.0,,,3.5486952241361713,5.220238470707251
16,128,32.0,,,2.973068451882324,5.205304206382969
17,64,4.0,,,3.580364530651126,4.366352305677922
18,8,2.0,16.0,,3.9352069267920142,4.167078942345537
19,256,64.0,256.0,4.0,2.594906853476873,5.513213927447796
20,32,,,,3.7426021034480783,4.037262909373511
21,2,8.0,,,4.597900755394689,3.865445254302543
22,16,16.0,64.0,128.0,3.1842170807924206,5.2087858879047895
23,16,16.0,4.0,128.0,3.3158061940795904,4.616229028572207
24,128,8.0,128.0,,2.83750374206476,4.849526238661745
25,16,128.0,,,3.214246857577495,5.008657179902429
26,8,4.0,64.0,,3.6481199006850407,4.64275975301214
27,16,,,,3.894244798513609,4.207307251374359
28,8,,,,4.257486753752293,4.487824005646551
29,4,8.0,,,4.637543612000147,4.189985224986854
30,4,4.0,4.0,,4.378966005334618,3.907995029428731
31,16,16.0,,,3.55940345578931,4.565156448697267
32,32,2.0,16.0,,3.5572996349221984,4.2145844942784825
33,64,,,,3.509310323403351,4.345409389799056
34,64,8.0,16.0,256.0,2.8858819591804354,5.2174597885751215
35,64,4.0,128.0,,3.1244634620787872,4.797434952129488
36,16,32.0,32.0,,3.2676079582611273,4.743254096462675
37,4,256.0,32.0,64.0,3.7383865471061433,4.1228685150554645
38,32,32.0,32.0,2.0,3.508032117990826,5.320326086943564
39,128,32.0,4.0,,3.008311912354822,5.050132734905118
40,128,16.0,16.0,,3.1223647356629134,4.822232159661211
41,2,256.0,,,4.130393757157141,3.474629104435444
