,0,1,2,3,train_loss,val_loss
0,2,64.0,,,0.2760278239139423,0.28913121064528163
1,64,16.0,,,0.2742543238719787,0.2890778464530136
2,16,8.0,,,0.2749819856590489,0.2890374592236999
3,4,256.0,,,0.2752710651268533,0.2908584862790562
4,64,16.0,2.0,16.0,0.3800426430779799,0.4009947708483586
5,16,32.0,16.0,,0.27561450035657986,0.2911694870386004
6,64,8.0,8.0,2.0,0.3800840101893566,0.3995246786565769
7,64,128.0,,,0.2743538871301848,0.2897247744475164
8,2,2.0,4.0,16.0,0.48312903074567515,0.5111840848355051
9,256,128.0,64.0,128.0,0.2781284337266456,0.29578727161409946
10,2,,,,0.4939620466453802,0.5028647950465415
11,32,32.0,2.0,32.0,0.3801920826786582,0.401903126845023
12,16,256.0,2.0,,0.2773294257849362,0.2924197528135623
13,2,32.0,32.0,,0.2765701406092484,0.2919275031849854
14,16,16.0,2.0,,0.5904400734738823,0.5775622905226607
15,256,32.0,32.0,,0.275671671882154,0.2916555983537973
16,128,256.0,128.0,8.0,0.27791763550369697,0.294417704752616
17,256,2.0,256.0,,0.6868894774681613,0.7253180556874388
18,128,,,,0.2755849101662106,0.2879534998963815
19,256,,,,0.27460215542827676,0.2896638130886255
20,2,256.0,16.0,64.0,0.2786025965182055,0.29309106752393504
21,2,256.0,,,0.38068614185513505,0.3895608245481155
22,8,32.0,,,0.27506435058405715,0.29036089040973767
23,8,256.0,,,0.27505167439267403,0.28982456020594566
24,64,4.0,256.0,8.0,0.278449933879206,0.2944128466623275
25,4,128.0,32.0,,0.27589573531230993,0.292362010906762
26,4,8.0,16.0,32.0,0.27749385584697933,0.29338495057032815
27,8,128.0,2.0,,0.3794003002309952,0.4006633820418726
28,128,2.0,128.0,,0.38542332499255116,0.36079533825969085
29,64,64.0,,,0.27423763661603373,0.28966911023153624
30,64,,,,0.27521773840673286,0.28788953335658374
31,16,32.0,,,0.2748081883062025,0.28860187768073586
32,8,,,,0.2766457318405054,0.2902956872099749
33,32,16.0,32.0,256.0,0.2769980679602422,0.29335759884519175
34,4,16.0,,,0.2752181341226347,0.2892099342146222
35,64,16.0,4.0,,0.27618688175621714,0.29299129410124036
36,4,,,,0.27768231510393204,0.2871236811548326
37,16,2.0,16.0,,0.37868801957652776,0.4014580945282295
38,32,,,,0.27508745463146206,0.28829852454011623
39,256,256.0,128.0,64.0,0.2780149067821865,0.29399937501640505
40,256,128.0,,,0.2743755715146959,0.28932195656040643
41,8,8.0,8.0,,0.2757246507144252,0.29066769331496073
42,8,128.0,64.0,128.0,0.2775433813881132,0.2932361496331147
43,128,16.0,2.0,,0.37955317531428506,0.3993622644641895
44,4,8.0,2.0,,0.48168884260086964,0.5094492435501433
45,128,256.0,16.0,2.0,0.38233925882685177,0.4029042839045011
46,16,256.0,8.0,8.0,0.27695860582402126,0.29337381977210586
47,128,2.0,16.0,,0.381072551364951,0.3913741385915991
48,256,8.0,,,0.2748355909684381,0.2896360996140809
49,4,128.0,2.0,,0.6927874540773888,0.6886319850484578
50,16,32.0,256.0,256.0,0.2775596129411941,0.29364380971905496
51,8,16.0,16.0,,0.2759946157432497,0.29087968331258607
52,4,64.0,,,0.2747721022376592,0.29151591849193176
53,128,64.0,16.0,,0.27552325848635345,0.2910071015383037
54,16,4.0,,,0.3781074230952125,0.40055499703237957
55,32,4.0,256.0,,0.27583859922860726,0.29123774230417826
56,16,,,,0.2763771107060869,0.28953739436574993
57,32,16.0,,,0.2742526606342791,0.2894743826871047
58,8,32.0,4.0,256.0,0.48300202168530576,0.5072999591288461
59,256,2.0,8.0,,0.5862991665181019,0.6054902984837863
60,128,32.0,,,0.27420514158936515,0.2903267935530054
61,4,2.0,64.0,,0.3792268685958417,0.3999692813642783
62,16,128.0,32.0,,0.2758053982707034,0.29206578149141316
63,16,64.0,,,0.2745618140782618,0.28928490299881743
64,2,8.0,,,0.27668127867182407,0.2876193404188591
65,128,64.0,,,0.27409577722945727,0.2898797629199012
66,256,16.0,2.0,128.0,0.48425308045915316,0.5018303317645292
67,4,4.0,,,0.2817565901124282,0.29139870053063477
68,2,128.0,16.0,256.0,0.27782832463315493,0.2929811838446785
69,32,4.0,64.0,16.0,0.2769752611207759,0.292282616708445
70,4,64.0,8.0,8.0,0.2773180059137251,0.29221101816596284
71,256,64.0,2.0,,0.3795761731244439,0.3994393710721547
72,8,4.0,64.0,2.0,0.38709813476806176,0.3627002014227329
73,256,64.0,256.0,4.0,0.2811507541554139,0.2960442886900666
74,2,4.0,32.0,16.0,0.2785381355880539,0.2932902522994427
75,8,4.0,,,0.2762468544239909,0.2894865726390134
76,256,2.0,,,0.37851401329655204,0.3987663099789528
77,16,16.0,,,0.2746256190439705,0.28918793789994796
78,32,8.0,64.0,,0.2761650168483756,0.29076597413627936
79,128,256.0,128.0,,0.2760233695472126,0.2915191946535667
80,4,2.0,256.0,,0.3794631618295114,0.3982793868636516
81,4,32.0,256.0,,0.2765851123251646,0.29169843630467435
82,256,8.0,256.0,8.0,0.3816777484230132,0.404884334842498
83,8,2.0,128.0,2.0,0.6888530917616023,0.7182429496024456
84,64,256.0,256.0,2.0,0.6956439272126348,0.6798508453188974
85,32,256.0,8.0,,0.2756421622855196,0.29108897066161077
86,128,32.0,256.0,8.0,0.277957918723421,0.2930815859102951
87,64,8.0,,,0.2753347503630805,0.29075354198470743
88,32,128.0,256.0,8.0,0.2769925405498931,0.292626712512792
89,128,32.0,32.0,128.0,0.2773623174631627,0.2937138000206052
90,64,32.0,,,0.27429896344670096,0.29016278440160154
91,16,64.0,32.0,4.0,0.2771221253169479,0.2933041848870784
92,4,32.0,16.0,,0.2763195089832329,0.29093356765084866
93,4,128.0,,,0.27497763484101434,0.28930837448920643
94,16,128.0,4.0,4.0,0.37999048955347475,0.4029643799667075
95,4,2.0,128.0,,0.688778654622749,0.7185643698866235
96,128,4.0,16.0,128.0,0.2775485072463726,0.29336190324423134
97,32,2.0,,,0.385137649798608,0.3583638522316376
98,2,32.0,128.0,256.0,0.278601209883577,0.29289226305023763
99,2,64.0,32.0,64.0,0.3812400650987964,0.4013878108350211
100,128,64.0,4.0,8.0,0.27841257576564676,0.29393924423867335
101,128,64.0,2.0,,0.5855781736534275,0.6086196876386003
102,128,4.0,4.0,128.0,0.4830886647451426,0.5110010086444012
103,4,2.0,256.0,8.0,0.5860233417680839,0.6196484163281191
104,128,16.0,32.0,,0.2758140370541086,0.2918404948606103
105,32,2.0,16.0,,0.4808255991537497,0.5113921424196457
106,4,4.0,8.0,16.0,0.27797024434540296,0.2936797317507757
107,128,2.0,32.0,32.0,0.2774116140292528,0.2926864059637242
108,16,64.0,128.0,64.0,0.2769000839415701,0.2924378037567293
109,128,16.0,,,0.27416311262125603,0.2895850918367046
110,16,32.0,128.0,4.0,0.2773135356781425,0.29231210944356656
111,32,64.0,,,0.274134993973045,0.28964149997185307
112,64,32.0,4.0,,0.4803838002772199,0.5112157976167286
113,16,32.0,256.0,4.0,0.3803474025509064,0.40107316336977417
114,32,32.0,16.0,2.0,0.37978775724189684,0.40206353379045773
115,8,8.0,4.0,4.0,0.3802655130773641,0.40214002674900023
116,32,256.0,128.0,,0.27594744463816756,0.2912766792821007
