,0,1,2,3,train_loss,val_loss
0,256,,,,0.035616588177965335,0.18551438106187879
1,2,256.0,16.0,,0.0773408367156856,0.127803059794361
2,8,8.0,32.0,,0.03456112633031725,0.17845419658613518
3,64,,,,0.03580023019923287,0.1856293809269788
4,256,4.0,128.0,4.0,0.17613778962776488,0.054430709666703124
5,16,128.0,32.0,32.0,0.030129927007498853,0.17983968510966536
6,256,256.0,,,0.030166903097557575,0.18232266880714795
7,16,64.0,,,0.03134536527192862,0.182109593676924
8,8,4.0,4.0,128.0,0.036733979725743625,0.19171212450287742
9,8,8.0,64.0,,0.03381449725437713,0.18710520794467822
10,256,32.0,,,0.03052094725335735,0.18366893523074623
11,2,8.0,8.0,16.0,0.0505305455845623,0.16046862972030934
12,64,32.0,,,0.029326848026866414,0.18224958998304946
13,4,32.0,32.0,,0.03711273819319756,0.17275413712259788
14,2,8.0,8.0,8.0,0.050847434952406866,0.1731993470419198
15,64,128.0,,,0.029647209135667697,0.18908509638996657
16,2,4.0,,,0.05773317500923308,0.15063656281798316
17,128,32.0,2.0,2.0,0.10629596243536298,0.12377530526027407
18,4,128.0,,,0.03920674742130699,0.18824149886025265
19,4,,,,0.041888478094258844,0.18233411836553393
20,16,32.0,,,0.03131471387704481,0.1798307698843079
21,2,2.0,,,0.05648926161906065,0.17325368061147262
22,16,128.0,,,0.0312721101669224,0.1827149614843837
23,32,256.0,,,0.030465248682981116,0.1792793376012563
24,128,2.0,,,0.11389999423247085,0.12578410163562476
25,128,2.0,4.0,8.0,0.07939350786516651,0.11303568150943559
26,256,128.0,4.0,16.0,0.028361039039173693,0.18651049383146495
27,8,64.0,2.0,256.0,0.10753683676617538,0.09133079364355334
28,2,8.0,16.0,,0.04952779909569151,0.15815801538663757
29,256,16.0,16.0,,0.02815627836197711,0.1818668865668108
30,8,8.0,8.0,8.0,0.0352770177064627,0.1857046660724221
31,32,32.0,128.0,,0.029018005354794756,0.1861231311059147
32,256,4.0,,,0.03305648507812592,0.18769080947452813
33,16,2.0,2.0,,0.11407799415505412,0.1104789317652517
34,64,8.0,,,0.030316397487689217,0.18342127858065657
35,128,256.0,4.0,,0.10948429697781542,0.10433894932781411
36,4,16.0,128.0,,0.03791322103747967,0.18191672766041897
37,32,,,,0.03578192723060803,0.18700234402127075
38,128,4.0,64.0,2.0,0.11531238274102912,0.1265914913367317
39,2,64.0,,,0.04965355340427289,0.15850901374317428
40,128,128.0,8.0,2.0,0.05426444129713568,0.16360610407041482
41,4,8.0,4.0,128.0,0.03978725184167958,0.17542671759423298
