,site2
0,2.8381271
1,3.263992
2,3.0212379
3,3.1593993
4,3.0817027
5,3.1252673
6,3.0997617
7,3.1146367
8,3.1057189
9,3.1110582
10,3.1083305
11,3.1089838
12,3.1071591
13,3.1090615
14,3.108885
15,3.109627
16,3.110479
17,3.1165042
18,3.1106942
19,3.110456
20,3.1106055
21,3.1057432
22,3.1075585
23,3.1055572
24,3.1043022
25,3.118351
26,3.1009295
27,3.110588
28,3.1049118
29,3.1069732
30,3.1071079
31,3.1103039
32,3.1057265
33,3.1058872
34,3.1071017
35,3.1124146
36,3.1100163
37,3.1078026
38,3.1060717
39,3.104903
40,3.1048598
41,3.1042974
42,3.105086
43,3.1067252
44,3.1060073
45,3.1055233
46,3.1057389
47,3.10883
48,3.111789
49,3.1055315
50,3.1089742
51,3.110038
52,3.1071894
53,3.103749
54,3.1046407
55,3.1039155
56,3.1090848
57,3.1048584
58,3.1057615
59,3.1238678
60,3.1096866
61,3.1125445
62,3.1034896
63,3.1070545
64,3.1041338
65,3.1038015
66,3.1033003
67,3.1039732
68,3.1042953
69,3.1053255
70,3.112168
71,3.10513
72,3.107641
73,3.1037598
74,3.1066163
75,3.111527
76,3.102621
77,3.1041694
78,3.1039479
79,3.1059074
80,3.0991614
81,3.098872
82,3.1043909
83,3.100805
84,3.0952318
85,3.098994
86,3.0917737
87,3.099734
88,3.0908997
89,3.087702
90,3.0896583
91,3.1023796
92,3.0984478
93,3.0968635
94,3.0974343
95,3.1027029
96,3.1119156
97,3.1001377
98,3.1015751
99,3.1010418
100,3.1030428
101,3.105047
102,3.1028836
103,3.101671
104,3.1041005
105,3.1077871
106,3.1062462
107,3.1021917
108,3.114545
109,3.104801
110,3.1039383
111,3.1042926
112,3.1051075
113,3.0955608
114,3.0955098
115,3.0953074
116,3.0935636
117,3.0969594
118,3.0963986
119,3.1025171
120,3.1047437
121,3.1006017
122,3.1007104
123,3.1066148
124,3.1023815
125,3.1005802
126,3.0902479
127,3.1032007
128,3.1052768
129,3.101887
130,3.1040838
131,3.0999632
132,3.0984957
133,3.0988297
134,3.104118
135,3.1084054
136,3.1007183
137,3.1063998
138,3.1130824
139,3.106365
140,3.1137488
141,3.1064663
142,3.1078477
143,3.1015797
144,3.0987098
145,3.0981972
146,3.0954359
147,3.094372
148,3.0962036
149,3.0945075
150,3.100111
151,3.09743
152,3.0933936
153,3.0998037
154,3.1163552
155,3.0919793
156,3.101351
157,3.1159422
158,3.108437
159,3.087155
160,3.0842476
161,3.0941246
162,3.077111
163,3.0903568
164,3.0913317
165,3.091007
166,3.0873282
167,3.0989556
168,3.078499
169,3.0751703
170,3.0715363
171,3.0686529
172,3.0703137
173,3.0728636
174,3.076936
175,3.1048527
176,3.1133945
177,3.1088061
178,3.1112802
179,3.1098473
180,3.1137965
181,3.1086116
182,3.1109064
183,3.1097963
184,3.123749
185,3.1050155
186,3.1137629
187,3.1189945
188,3.1105359
189,3.1112325
190,3.110271
191,3.0991783
192,3.1019752
193,3.110565
194,3.109544
195,3.1168234
196,3.1000936
197,3.1121967
198,3.100498
199,3.1021786
200,3.1021402
201,3.1055772
202,3.1056302
203,3.121023
204,3.106226
205,3.1107714
206,3.1035638
207,3.1052487
208,3.1050699
209,3.1052825
210,3.106084
211,3.1075947
212,3.1070762
213,3.1170375
214,3.104714
215,3.1088374
216,3.1058443
217,3.1075728
218,3.105307
219,3.112662
220,3.125346
221,3.0985358
222,3.1106493
223,3.0893211
224,3.099583
225,3.1000245
226,3.1037247
227,3.1091807
228,3.1003883
229,3.0965803
230,3.088203
231,3.097331
232,3.0970232
233,3.091925
234,3.1027305
235,3.1037145
236,3.0950768
237,3.0964768
238,3.0967498
239,3.1043446
240,3.1133292
241,3.1062074
242,3.1078904
243,3.1055148
244,3.1071012
245,3.1060247
246,3.1077828
247,3.1076128
248,3.1061854
249,3.1090748
250,3.1100893
251,3.107478
252,3.1069224
253,3.108179
254,3.1083145
255,3.1084573
256,3.1098244
257,3.1219487
258,3.1097987
259,3.1133146
260,3.1099126
261,3.1175551
262,3.1145732
263,3.110812
264,3.1120248
265,3.1112602
266,3.1126783
267,3.1102564
268,3.1106389
269,3.1096063
270,3.109496
271,3.1013138
272,3.104362
273,3.1107574
274,3.1063445
275,3.1129107
276,3.1115348
277,3.102264
278,3.1043808
279,3.1092837
280,3.1025739
281,3.1051557
282,3.1080508
283,3.1013062
284,3.099316
285,3.0992048
286,3.102127
287,3.1054103
288,3.1131942
289,3.1063406
290,3.1055763
291,3.1033719
292,3.102283
293,3.1017497
294,3.1052186
295,3.113571
296,3.1036675
297,3.108338
298,3.1036453
299,3.1049442
300,3.1102571
301,3.1095273
302,3.1062477
303,3.1062634
304,3.1094565
305,3.1040552
306,3.1041846
307,3.1068642
308,3.1041944
309,3.1069126
310,3.10622
311,3.1053007
312,3.109886
313,3.1086228
314,3.1052914
315,3.1078315
316,3.1111605
317,3.1103501
318,3.109389
319,3.11285
320,3.1078117
321,3.1052594
322,3.107989
323,3.120197
324,3.1044848
325,3.1123397
326,3.1082945
327,3.111307
328,3.1083643
329,3.108251
330,3.1092613
331,3.1070268
332,3.1088116
333,3.1092834
334,3.1054256
335,3.105815
336,3.11077
337,3.1062758
338,3.110029
339,3.110419
340,3.1091924
341,3.1102493
342,3.1075692
343,3.1092331
344,3.108759
345,3.1092699
346,3.1072047
347,3.1070154
348,3.1087496
349,3.109275
350,3.109872
351,3.1148338
352,3.1091187
353,3.1123788
354,3.1105187
355,3.1154633
356,3.1087599
357,3.1125832
358,3.110402
359,3.111646
360,3.1109366
361,3.111342
362,3.1111107
363,3.1112425
364,3.1111672
