,site6
0,1.1248797
1,1.0660031
2,1.0891626
3,1.1055987
4,1.1054795
5,1.0613854
6,1.0508926
7,1.0532812
8,1.0517328
9,1.0512395
10,1.066417
11,1.0664471
12,1.0645467
13,1.0475272
14,1.0480691
15,1.054043
16,1.0545725
17,1.0672268
18,1.1035163
19,1.1094258
20,1.0983427
21,1.1576302
22,1.0676788
23,1.1759523
24,1.1195236
25,1.1855638
26,1.1834805
27,1.0924442
28,1.1645877
29,1.182559
30,1.0928578
31,1.1351894
32,1.2071733
33,1.1948676
34,1.131747
35,1.1337986
36,1.1463189
37,1.1818441
38,1.1255254
39,1.1377285
40,1.1680622
41,1.3070927
42,1.5307144
43,1.4436324
44,1.5076373
45,1.344266
46,1.3363924
47,1.3561858
48,1.5051749
49,1.2605699
50,1.1667002
51,1.3637998
52,1.7323422
53,1.1903963
54,1.7059443
55,1.7733443
56,1.2530489
57,1.2877959
58,1.5945488
59,1.3019762
60,1.3547548
61,1.3461288
62,1.3511795
63,1.5333931
64,1.4374871
65,1.4165363
66,1.4309462
67,1.2976019
68,1.428981
69,1.6945928
70,1.2407606
71,1.3746262
72,1.373304
73,1.3576621
74,1.6279814
75,1.7860479
76,1.5826306
77,2.0150573
78,2.1332638
79,2.1061125
80,2.2405052
81,1.7632078
82,2.0100682
83,2.2227364
84,1.4283167
85,2.1653533
86,2.7750125
87,2.9165063
88,1.481926
89,2.907178
90,2.2727304
91,3.5418615
92,3.3416924
93,3.7205548
94,1.4480891
95,1.8083321
96,1.4425497
97,1.6254221
98,1.4793212
99,2.0355504
100,2.4502966
101,2.8697157
102,1.3360882
103,1.8796972
104,2.616207
105,3.8386636
106,4.6196895
107,4.232012
108,4.183635
109,3.4697497
110,3.7131815
111,6.166671
112,6.2460628
113,5.9571505
114,6.4468036
115,6.452175
116,4.8182826
117,2.6550064
118,5.4140525
119,6.6261334
120,5.6795983
121,6.350638
122,7.1703396
123,6.7547054
124,4.112792
125,6.4992204
126,3.8699164
127,5.84979
128,5.6647177
129,7.0218883
130,6.897797
131,6.6169057
132,6.0715003
133,6.4531803
134,5.526786
135,5.8401585
136,6.387106
137,2.9501257
138,5.6115828
139,6.57456
140,4.946797
141,5.6860614
142,6.7905793
143,6.577877
144,7.0616918
145,6.151351
146,6.3824196
147,8.293036
148,7.7345967
149,8.066864
150,8.589983
151,6.82595
152,5.7572474
153,7.4659595
154,8.574804
155,8.701314
156,7.1619277
157,8.3678465
158,7.589378
159,2.799379
160,2.5665789
161,2.681757
162,5.18164
163,6.1016006
164,7.2476764
165,3.954335
166,6.5030284
167,4.325643
168,2.3872287
169,6.8744817
170,5.463468
171,5.564249
172,6.9100738
173,3.371415
174,4.27549
175,5.6331086
176,8.244998
177,8.476169
178,6.812012
179,4.1678233
180,6.5263715
181,6.2293053
182,5.932719
183,5.5093555
184,8.538591
185,5.981578
186,6.9612384
187,5.2184443
188,6.802489
189,4.92235
190,6.0013695
191,5.596345
192,5.655881
193,5.7325053
194,6.6981444
195,6.25055
196,5.507341
197,5.2858486
198,5.749776
199,6.1277223
200,4.6858315
201,2.159071
202,2.261044
203,7.6953025
204,7.820139
205,7.2307954
206,7.789677
207,8.213213
208,6.8345723
209,8.091054
210,8.2095585
211,7.640799
212,5.0275702
213,7.5255055
214,5.18301
215,5.3097687
216,6.955549
217,4.4467525
218,6.2644134
219,1.9431226
220,5.331555
221,5.5064225
222,3.497779
223,5.43981
224,2.8939753
225,5.461455
226,5.2119474
227,1.9802176
228,1.9659296
229,3.0906618
230,4.468862
231,2.9105067
232,3.3447506
233,2.6552484
234,5.594005
235,5.391111
236,4.902281
237,2.4080634
238,3.0352583
239,2.0583258
240,4.0622387
241,4.395828
242,5.658621
243,4.485543
244,3.4180913
245,2.2839785
246,4.532134
247,2.8861835
248,3.980134
