,site5
0,0.37093318
1,0.37093318
2,0.37093318
3,0.37093318
4,0.37093318
5,0.37093318
6,0.4448521
7,0.38712144
8,0.6098497
9,0.56367356
10,0.37093318
11,0.4617563
12,0.37093318
13,0.37093318
14,0.38329667
15,0.80700976
16,0.6466881
17,0.8636596
18,1.2160829
19,1.0697477
20,0.6711782
21,0.37093318
22,0.37093318
23,0.37093318
24,0.38494408
25,0.55890226
26,1.0695659
27,0.9008857
28,0.4220544
29,0.37093318
30,0.6308482
31,0.37093318
32,0.37093318
33,0.38275248
34,1.058007
35,0.98973334
36,1.4702488
37,0.75854766
38,0.68236315
39,0.77602834
40,0.8251291
41,0.8515703
42,0.37093318
43,0.37093318
44,0.37093318
45,0.37093318
46,0.37093318
47,0.37093318
48,0.910035
49,1.2779596
50,1.336206
51,1.9108373
52,1.9165723
53,2.3628
54,2.1156964
55,2.333084
56,1.7397352
57,2.2060823
58,1.2394186
59,1.5935915
60,1.8270942
61,1.8416487
62,1.7882679
63,1.2369037
64,0.9062144
65,0.7955137
66,1.1276423
67,2.3874304
68,2.6066585
69,2.15738
70,2.075884
71,2.184545
72,1.4556692
73,2.79722
74,2.3422642
75,2.2892911
76,2.578116
77,1.5001096
78,1.4731748
79,1.3306485
80,2.184223
81,1.9260154
82,1.9776719
83,1.2846437
84,1.6964874
85,2.5960126
86,3.6526852
87,3.5625224
88,4.7292175
89,4.352876
90,3.2563646
91,3.2495582
92,2.6311755
93,2.5527031
94,3.8423786
95,2.9103668
96,2.7574353
97,3.342453
98,3.9984984
99,5.32769
100,5.2814884
101,4.543904
102,5.4298
103,5.310604
104,3.0981617
105,4.5122757
106,3.9564404
107,5.421261
108,3.3820467
109,7.792647
110,4.297679
111,3.6756153
112,5.6627617
113,5.3080325
114,5.5678663
115,6.9929276
116,8.43276
117,6.4165144
118,3.9143844
119,7.446555
120,5.903651
121,6.598664
122,7.8647375
123,6.956949
124,7.7455816
125,7.3531713
126,8.815962
127,8.934835
128,7.717688
129,7.647482
130,7.742191
131,8.763572
132,8.532173
133,8.405249
134,8.241693
135,6.1817102
136,5.7238984
137,5.427158
138,6.1577682
139,6.0097456
140,5.4588857
141,6.0589
142,6.1577682
143,6.4874334
144,6.0406046
145,5.46418
146,6.040064
147,5.241232
148,5.0997095
149,5.9277425
150,6.149167
151,6.1577682
152,6.1568995
153,5.767682
154,5.6234517
155,5.715441
156,6.1577682
157,6.1577682
158,6.1577682
159,6.1577682
160,6.1577682
161,6.1577682
162,8.27525
163,8.733297
164,8.657389
165,9.877269
166,7.040091
167,6.1577682
168,6.3698153
169,8.189507
170,6.7695284
171,7.8295217
172,7.9787803
173,6.343419
174,6.1577682
175,6.1577682
176,5.5543585
177,6.1577682
178,6.1577682
179,5.9795303
180,8.112065
181,8.327255
182,6.1577682
183,6.6814947
184,6.1874294
185,8.195248
186,6.2866607
187,6.1577682
188,6.518512
189,6.1577682
190,6.5544224
191,7.700203
192,6.1577682
193,5.9374514
194,6.07666
195,8.209007
196,7.4833765
197,6.1193757
198,6.924694
199,6.8812256
200,7.468434
201,9.2413
202,7.6659575
203,7.515337
204,7.8105125
205,6.373351
206,6.1577682
207,6.1210065
208,6.1577682
209,6.1577682
210,6.1577682
211,6.1577682
212,6.1577682
213,5.8616676
214,5.806849
215,6.0697484
216,6.1577682
217,6.1577682
218,6.918703
219,6.1577682
220,6.1577682
221,7.4448624
222,6.6094856
223,6.1577682
224,6.1577682
225,6.9801035
226,4.940238
227,9.389949
228,9.690181
229,9.041384
