,site5
0,0.37093318
1,0.37093318
2,0.37093318
3,0.37093318
4,0.37093318
5,0.37093318
6,0.37093318
7,0.37093318
8,0.37093318
9,0.37093318
10,0.37093318
11,0.37093318
12,0.37093318
13,0.37093318
14,0.41507107
15,0.45566922
16,0.37093318
17,0.37093318
18,0.37093318
19,0.37093318
20,0.37093318
21,0.37093318
22,0.37093318
23,0.37093318
24,0.37093318
25,0.37093318
26,0.37093318
27,0.37093318
28,0.37093318
29,0.37093318
30,0.37093318
31,0.37093318
32,0.37093318
33,0.37093318
34,0.37093318
35,0.37093318
36,0.37093318
37,0.37093318
38,0.37093318
39,0.51178527
40,0.5004788
41,0.37093318
42,0.37093318
43,0.37093318
44,0.37093318
45,0.37093318
46,0.37093318
47,0.37093318
48,0.37093318
49,0.37093318
50,0.37093318
51,0.6176563
52,0.6314327
53,0.37093318
54,0.63070107
55,0.60840356
56,0.40631032
57,0.37093318
58,0.37093318
59,0.37093318
60,0.37093318
61,0.37093318
62,0.37093318
63,0.37093318
64,0.37093318
65,0.37093318
66,0.38741422
67,0.74322957
68,1.4033288
69,1.7348859
70,1.3500804
71,0.9814149
72,0.89273214
73,0.47128522
74,0.45610762
75,0.78739774
76,0.5955243
77,0.44284743
78,0.37093318
79,0.37093318
80,0.37093318
81,0.37093318
82,0.37093318
83,0.37093318
84,0.37093318
85,0.37093318
86,0.7662384
87,1.198982
88,1.4530325
89,2.6500206
90,2.4277868
91,2.6001608
92,1.9527695
93,2.1860747
94,1.8198202
95,2.3781075
96,2.2241013
97,2.1237175
98,1.9109166
99,2.118311
100,2.2182624
101,2.3163192
102,0.7387842
103,1.4557569
104,2.0964453
105,2.9092574
106,2.8013663
107,2.3029249
108,2.2085545
109,1.8923068
110,2.0982945
111,2.3425632
112,3.0409703
113,3.042927
114,3.4133077
115,3.707316
116,4.0093865
117,4.4525537
118,6.7519355
119,7.432297
120,5.479239
121,5.390551
122,5.12481
123,5.3856483
124,4.362099
125,4.751191
126,3.8266635
127,5.873031
128,6.8119984
129,7.9730244
130,5.8568316
131,4.8492203
132,3.612931
133,3.8522348
134,3.776854
135,4.2811804
136,4.21945
137,2.9827657
138,5.1170516
139,5.268542
140,4.6084332
141,5.62308
142,5.7318196
143,5.189886
144,5.453775
145,5.2293572
146,5.3989296
147,6.387114
148,5.82911
149,6.277831
150,6.844777
151,5.488213
152,6.67299
153,10.356225
154,9.058794
155,5.806425
156,5.239868
157,7.3845234
158,8.174793
159,5.8921933
160,5.8743544
161,6.0627103
162,7.4224887
163,7.485146
164,7.993388
165,6.7177057
166,10.766736
167,7.059719
168,5.757627
169,9.6655
170,8.112873
171,8.745189
172,10.652093
173,6.1214085
174,7.6458173
175,9.442721
176,10.367462
177,8.893031
178,8.821048
179,7.0586176
180,9.895765
181,10.214716
182,10.671976
183,9.7996025
184,12.289453
185,8.194082
186,9.3182535
187,7.773592
188,9.614078
189,8.380447
190,10.435756
191,9.762633
192,8.933187
193,10.137439
194,12.289453
195,10.080616
196,9.798129
197,9.60742
198,9.986708
199,10.663486
200,9.429091
201,4.006025
202,5.704667
203,12.289453
204,10.054674
205,9.359075
206,9.665682
207,7.976186
208,8.156801
209,9.312433
210,7.610477
211,7.527132
212,8.733412
213,11.190511
214,7.5963244
215,8.141168
216,8.517329
217,5.687663
218,7.645978
219,1.7739538
220,8.402089
221,8.637195
222,5.848489
223,9.224865
224,5.924445
225,9.219612
226,7.5658975
227,3.7143438
228,5.4523773
229,6.1344514
230,7.3555555
231,5.6816044
