,site0
0,0.66391563
1,0.66391563
2,0.66391563
3,0.66391563
4,0.66391563
5,0.66391563
6,0.66391563
7,0.66391563
8,0.66391563
9,0.66391563
10,0.66391563
11,0.66391563
12,0.66391563
13,0.66391563
14,0.66391563
15,0.66391563
16,0.66391563
17,0.66391563
18,0.66391563
19,0.66391563
20,0.66391563
21,0.66391563
22,0.66391563
23,0.66391563
24,0.66391563
25,0.66391563
26,0.66391563
27,0.66391563
28,0.66391563
29,0.66391563
30,0.66391563
31,0.66391563
32,0.66391563
33,0.66391563
34,0.66391563
35,0.66391563
36,0.66391563
37,0.66391563
38,0.66391563
39,0.66391563
40,0.66391563
41,0.66391563
42,0.66391563
43,0.66391563
44,0.66391563
45,0.66391563
46,0.66391563
47,0.66391563
48,0.66391563
49,0.66391563
50,0.66391563
51,0.66391563
52,0.66391563
53,0.66391563
54,0.66391563
55,0.66391563
56,0.66391563
57,0.66391563
58,0.66391563
59,0.66391563
60,0.66391563
61,0.66391563
62,0.66391563
63,0.66391563
64,0.66391563
65,0.66391563
66,0.66391563
67,0.66391563
68,0.66391563
69,0.86991835
70,0.66391563
71,0.66391563
72,0.66391563
73,0.66391563
74,0.66391563
75,0.66391563
76,0.66391563
77,0.66391563
78,0.66391563
79,0.66391563
80,0.66391563
81,0.66391563
82,0.66391563
83,0.66391563
84,0.66391563
85,0.686955
86,1.4504218
87,2.1489353
88,1.3910866
89,2.9352727
90,3.2511349
91,4.731007
92,5.2092876
93,3.0146055
94,1.4179039
95,1.9014378
96,1.6967955
97,1.7447252
98,1.7022347
99,1.9920101
100,1.9275103
101,2.3669567
102,1.1259336
103,1.9527073
104,1.7972503
105,2.6258922
106,4.000762
107,3.829782
108,3.8412075
109,4.0557036
110,4.264452
111,5.804663
112,6.025896
113,6.2728553
114,6.5848036
115,6.8680964
116,5.848682
117,5.0835543
118,7.6040444
119,7.8693805
120,7.8693805
121,7.8693805
122,7.8693805
123,7.8693805
124,5.202796
125,8.440905
126,3.5290723
127,7.008789
128,7.580791
129,7.8693805
130,7.8770456
131,11.627039
132,10.661767
133,10.791836
134,8.545837
135,10.214023
136,11.951452
137,8.230021
138,10.776713
139,12.11335
140,10.43735
141,11.727468
142,13.918391
143,14.177299
144,15.125483
145,14.625586
146,14.562766
147,15.865791
148,15.288525
149,16.128128
150,16.759499
151,14.052103
152,14.598528
153,13.988305
154,15.018349
155,16.313644
156,17.771196
157,19.287952
158,14.827753
159,9.446337
160,8.153693
161,10.145269
162,12.988007
163,13.880091
164,15.728718
165,10.732731
166,13.285696
167,9.652647
168,7.6291428
169,11.526277
170,8.779936
171,11.579132
172,13.106546
173,8.701778
174,9.334608
175,12.320023
176,16.73177
177,16.928444
178,13.580366
179,8.86035
180,11.45178
181,10.478132
182,12.128607
183,10.915428
184,12.167622
185,14.565001
186,14.357262
187,11.870628
188,14.407743
189,11.495985
190,11.160382
191,9.529045
192,8.008919
193,8.58397
194,10.236203
195,9.915279
196,8.386189
197,8.399608
198,8.613403
199,8.929716
200,7.9065824
201,5.5449066
202,6.3000727
203,9.383106
204,10.069677
205,8.938061
206,9.632186
207,10.452449
208,9.656307
209,10.276098
210,10.464583
211,9.165451
212,7.8693805
213,7.8860974
214,7.8693805
215,7.8693805
216,7.8756166
217,7.729584
218,7.8693805
219,3.8093944
220,7.8693805
221,7.6295824
222,6.546699
223,7.8693805
224,6.242392
225,7.776675
226,6.273546
227,4.6721125
228,5.5080614
229,6.2696843
230,6.7631826
231,5.474123
232,5.8280153
233,5.677349
234,7.6051407
235,6.6216297
236,5.5301847
237,5.127463
238,5.4609523
239,4.7549176
240,6.3615665
241,5.970866
242,6.0314913
243,5.607455
244,5.154882
245,4.363922
246,6.6414065
247,4.952386
248,6.1705246
249,6.254796
250,6.7196774
251,5.926264
252,5.783597
253,4.8886194
254,4.7943735
255,3.5110044
256,3.215156
257,3.3688216
258,2.9593773
259,2.4792747
260,2.0962067
261,2.6300964
262,2.5024362
263,3.5074759
264,2.434441
265,3.9106793
266,3.524798
267,3.1116824
268,2.542132
269,2.889525
270,3.058032
271,4.0619617
272,3.9374685
273,2.9403687
274,3.0281644
275,3.2084908
276,3.157095
277,3.3725514
278,3.3632398
279,4.251992
280,3.1635761
281,2.2871528
282,2.942399
283,2.708322
284,4.01657
285,3.073143
286,3.2336593
287,2.7385654
288,1.4326463
289,2.0621781
290,2.2556267
291,1.5878234
292,2.441434
293,1.68927
294,2.805294
295,2.3751817
296,1.650742
297,2.8050785
298,1.636414
299,2.2131581
300,1.8323507
301,1.3374639
302,0.80357647
303,0.66391563
304,0.84362745
305,0.7234874
306,0.8510456
307,1.1255169
308,1.5953617
309,1.0066781
310,0.66391563
311,0.66391563
312,0.66391563
313,1.0276217
314,0.6874814
315,0.66391563
316,0.74861956
317,0.69878197
318,0.66391563
319,0.66391563
320,0.66391563
321,0.66391563
322,0.66391563
323,0.66391563
324,0.66391563
325,0.66391563
326,0.66391563
327,0.66391563
328,0.66391563
329,0.66391563
330,0.66391563
331,0.66391563
332,0.66391563
333,0.66391563
334,0.66391563
335,0.66391563
336,0.66391563
337,0.66391563
338,0.66391563
339,0.66391563
340,0.66391563
341,0.66391563
342,0.66391563
343,0.66391563
344,0.66391563
345,0.66391563
346,0.66391563
347,0.66391563
348,0.66391563
349,0.66391563
350,0.66391563
351,0.66391563
352,0.66391563
353,0.66391563
354,0.66391563
355,0.66391563
356,0.66391563
357,0.66391563
358,0.66391563
359,0.66391563
360,0.66391563
361,0.66391563
362,0.66391563
363,0.66391563
364,0.66391563
