,site3
0,-0.07814741
1,-0.4236915
2,-0.47702432
3,-0.47148514
4,-0.55767345
5,-0.5278661
6,-0.24668097
7,-0.059236288
8,0.11074138
9,0.23434997
10,0.31959033
11,0.30613494
12,0.327348
13,0.34492874
14,0.3751278
15,0.3839848
16,0.3141117
17,0.1882658
18,0.20891643
19,0.11964035
20,0.023693085
21,-0.064437866
22,-0.055725336
23,0.19909549
24,0.24277234
25,0.079972744
26,-0.08453035
27,0.19235277
28,0.29839158
29,0.19440866
30,0.16359663
31,0.26754403
32,0.2602551
33,0.27467632
34,0.2947364
35,0.37491035
36,0.4101534
37,0.42834592
38,0.44072795
39,0.5038631
40,0.53347516
41,0.5278523
42,0.5121734
43,0.17003155
44,-0.21904206
45,-0.40033126
46,0.14639139
47,0.40313578
48,0.3305254
49,0.26373982
50,0.5378845
51,0.7299037
52,0.9411237
53,0.60266924
54,0.8813226
55,0.9379456
56,0.7086642
57,0.73070383
58,0.6458802
59,0.7007973
60,0.771291
61,0.3825209
62,0.11342955
63,0.154006
64,0.29765892
65,0.71464515
66,0.86502457
67,0.89155316
68,1.0836084
69,1.276045
70,1.1160951
71,1.0619824
72,1.0417767
73,0.9556234
74,0.9356668
75,1.1115
76,1.0222495
77,0.9311075
78,0.5516989
79,0.15224266
80,0.11125898
81,0.11617756
82,0.4008839
83,0.67550325
84,0.2907927
85,0.7323537
86,1.1021805
87,1.3121583
88,1.4599601
89,2.107949
90,1.9359801
91,2.1435509
92,1.7751013
93,1.8773022
94,1.6090606
95,1.8437527
96,1.6857609
97,1.6706516
98,1.6174622
99,1.8770431
100,1.9682397
101,2.0195985
102,1.210484
103,1.5044606
104,1.9173943
105,2.6347876
106,2.4400227
107,1.9765332
108,1.9410273
109,1.7859379
110,1.914041
111,2.0236597
112,2.8072958
113,2.8516057
114,3.4126153
115,3.6504617
116,3.9508762
117,4.0389843
118,6.131439
119,6.870966
120,5.501332
121,5.4688644
122,5.0596547
123,5.236189
124,4.389024
125,4.846208
126,3.8851087
127,6.0949306
128,6.3302035
129,7.8623657
130,6.0139017
131,4.8110065
132,3.8025813
133,4.0049424
134,3.9521985
135,4.4857635
136,4.431111
137,3.1001084
138,5.3685465
139,5.4181633
140,4.800912
141,5.9641623
142,6.0407133
143,5.299159
144,5.7113504
145,5.3293524
146,5.648634
147,6.280403
148,6.004893
149,6.214861
150,6.3379545
151,5.734358
152,6.4654055
153,11.594683
154,9.585621
155,6.080979
156,5.3187914
157,7.2786546
158,8.24309
159,6.162442
160,5.9855604
161,6.306258
162,8.380081
163,8.011562
164,8.563169
165,6.705234
166,12.337518
167,6.6143923
168,5.844625
169,7.738744
170,7.1279335
171,9.322037
172,11.832807
173,6.468132
174,7.1046724
175,10.934541
176,11.891903
177,9.465415
178,9.239032
179,6.9242263
180,9.216681
181,11.2262945
182,12.337518
183,9.385933
184,12.337518
185,8.567856
186,10.499453
187,8.317148
188,11.151238
189,9.213181
190,11.913032
191,8.146801
192,7.417096
193,8.139582
194,12.337518
195,11.41247
196,9.727067
197,8.483894
198,10.880943
199,12.221236
200,10.056658
