,site3
0,0.30388337
1,0.19939096
2,0.49655306
3,0.12907779
4,0.29720932
5,0.88916147
6,0.38863757
7,0.56500643
8,0.90239936
9,0.20867011
10,0.9358208
11,0.79582
12,0.64224803
13,0.3665318
14,0.47286987
15,0.13286966
16,0.5611747
17,1.095193
18,1.0209916
19,0.7287565
20,0.69097537
21,0.9286511
22,0.4950214
23,0.7256574
24,0.84386116
25,0.80845815
26,0.9016708
27,0.65986866
28,0.20461674
29,0.5053179
30,0.26970372
31,3.5009317
32,2.7382238
33,2.8518608
34,3.2265244
35,2.5232549
36,4.346369
37,4.14563
38,4.3867903
39,4.395461
40,4.4594803
41,4.365287
42,4.4405727
43,4.409443
44,4.6128387
45,4.5251064
46,4.4453907
47,3.8604655
48,3.6642168
49,3.1924973
50,3.5210803
51,4.544674
52,4.7219944
53,4.104989
54,4.5194235
55,2.7653491
56,2.3173
57,2.789488
58,4.5115404
59,2.3539534
60,2.8758326
61,4.1541986
62,3.8420093
63,5.1451178
64,3.881514
65,2.015398
66,3.9125657
67,3.2224948
68,2.458023
69,1.3321517
70,2.5658455
71,4.7665005
72,5.5597486
73,3.3046696
74,4.5852165
75,3.2760558
76,5.8514633
77,5.252222
78,5.6100283
79,0.9639559
80,3.8774936
81,4.413932
82,2.3173962
83,2.7174149
84,2.5430043
85,2.239602
86,2.6295817
87,5.157495
88,1.4057237
89,3.9125164
90,3.0140681
91,5.794274
92,3.5059965
93,5.8518667
94,5.4010186
95,4.8529997
96,5.816186
97,5.1765604
98,6.576704
99,2.496978
100,5.6247177
101,5.8099375
102,4.691888
103,6.130687
104,5.854689
105,5.855177
106,4.720375
107,4.071313
108,6.2369084
109,4.9390965
110,4.959111
111,6.3408356
112,6.5135884
113,6.803529
114,6.6871033
115,7.0383453
116,5.465192
117,4.415558
118,7.206955
119,6.191415
120,7.0802135
121,7.116069
122,7.2559547
123,7.0477705
124,5.393079
125,9.840678
126,9.161486
127,6.3976526
128,5.764433
129,9.101751
130,8.193705
131,9.433257
132,9.877312
133,8.109019
134,9.850574
135,8.072271
136,10.589027
137,9.35975
138,9.498768
139,10.739033
140,9.997736
141,8.286835
142,8.625792
143,10.84947
144,8.905492
145,10.225105
146,6.882988
147,10.875944
148,9.230188
149,10.590817
150,9.53196
151,11.25518
152,10.01573
153,9.542692
154,11.551279
155,7.55402
156,11.60973
157,10.806083
158,8.625076
159,9.834167
160,9.192092
161,10.322796
162,11.715103
163,9.638691
164,11.001188
165,8.740504
166,6.8576064
167,9.695007
168,11.388388
169,11.331051
170,10.281238
171,10.458355
172,9.740976
173,9.939268
174,5.481116
175,9.015856
176,9.972381
177,12.239579
178,12.009705
179,11.800572
180,11.3303
181,11.270945
182,6.1721478
183,10.447242
184,10.825564
185,7.9561443
186,8.999438
187,10.452656
188,11.286683
189,11.128271
190,10.533414
191,5.946318
192,9.499487
193,9.59375
194,10.568468
195,10.427521
196,10.865022
197,9.159971
198,10.530744
199,10.721788
200,10.020095
201,10.759382
202,10.273529
203,9.238527
204,8.419741
205,8.148104
206,8.684896
207,7.1929502
208,6.9616985
209,7.514922
210,7.3377485
211,7.997259
212,7.7599964
213,6.3145075
214,6.7310715
215,6.898467
216,7.4985456
217,8.184218
218,6.404615
219,6.907573
220,7.9059916
221,8.249624
222,5.4780226
223,5.2508984
224,7.4380054
225,4.512847
226,7.5427675
227,6.532501
228,7.829622
229,7.501878
230,5.423123
231,7.112549
232,7.9818225
233,7.6197333
234,7.060864
235,7.6326933
236,7.6271095
237,7.781
238,7.785304
239,8.235965
240,7.902961
241,7.346173
242,7.7214966
243,6.1766944
244,6.389967
245,2.8241935
246,4.083522
247,3.8996172
248,6.691737
249,7.6776676
250,7.6630764
251,4.697242
252,6.60911
253,3.5597737
254,7.106811
255,7.0451446
256,7.913868
257,7.7375154
258,7.9391623
259,6.9407506
260,5.06938
261,6.099983
262,7.4557743
263,7.6804304
264,6.4360943
265,7.620303
266,7.223073
267,7.084464
268,6.9227653
269,7.1321516
270,6.9302955
271,6.578995
272,5.1802073
273,3.548126
274,5.85915
275,5.2454576
276,5.611057
277,5.771907
278,6.124288
279,3.196651
280,6.128695
281,6.6581745
282,6.565343
283,6.0888615
284,4.3447475
285,5.52934
286,2.6793702
287,4.752182
288,4.087282
289,5.823914
290,5.5295362
291,5.90765
292,5.284247
293,0.91494685
294,4.968214
295,5.956249
296,5.363713
297,5.742915
298,5.4654107
299,1.626245
300,3.1930897
301,3.1424594
302,2.0137205
303,3.0838761
304,3.2228131
305,0.1009748
306,1.2465217
307,4.3682027
308,1.64588
309,3.2170198
310,3.2798843
311,3.9143589
312,3.5026395
313,2.8665268
314,1.9809189
315,2.3049228
316,2.6933756
317,1.0230591
318,0.86779135
319,1.1408459
320,0.8657711
321,0.64040667
322,1.7748287
323,1.5364083
324,0.9254966
325,1.0099099
326,0.9269616
327,0.95310307
328,1.8884091
329,1.5008426
330,1.6621491
331,1.3517348
332,0.501033
333,0.31683657
334,0.3727303
335,2.8299665
336,1.2485058
337,0.05334997
338,2.0486922
339,1.1802697
340,1.9637821
341,2.7551904
342,2.4344163
343,1.4209956
344,1.4184973
345,1.855921
346,0.47644746
347,2.275669
348,1.3013581
349,0.42411563
350,0.9596646
351,1.7201229
352,1.0951444
353,0.95624256
354,2.2693439
355,2.3214028
356,2.407842
357,1.3696736
358,0.9185477
359,0.7186503
360,1.9827123
361,2.0245419
362,1.2868162
363,1.0385607
364,1.982048
