,site4
0,0.22503215
1,0.22582243
2,0.22249393
3,0.2218079
4,0.21481794
5,0.22087039
6,0.2405728
7,0.2327401
8,0.21124221
9,0.18527125
10,0.19331686
11,0.20024933
12,0.20572795
13,0.18989266
14,0.19738123
15,0.32602832
16,0.31120768
17,0.3050306
18,0.30733153
19,0.28250828
20,0.25930107
21,0.24538529
22,0.24980591
23,0.28706774
24,0.28260532
25,0.24755618
26,0.23176265
27,0.2827043
28,0.28488213
29,0.25869787
30,0.26784262
31,0.28675878
32,0.27829155
33,0.26476008
34,0.2727423
35,0.28626996
36,0.29185757
37,0.2925857
38,0.2963876
39,0.30467603
40,0.30283356
41,0.28343222
42,0.27529383
43,0.23856166
44,0.1939384
45,0.1851448
46,0.24118288
47,0.25078064
48,0.23584086
49,0.24357912
50,0.27488828
51,0.32322285
52,0.34801418
53,0.28899375
54,0.3901055
55,0.40221393
56,0.33961356
57,0.32333845
58,0.3119775
59,0.29852754
60,0.29706368
61,0.23851024
62,0.21672924
63,0.21119578
64,0.23734966
65,0.27196097
66,0.27626878
67,0.29712334
68,0.33106107
69,0.33867946
70,0.32167423
71,0.3106564
72,0.30486736
73,0.2804212
74,0.27800232
75,0.2906542
76,0.28429762
77,0.26538426
78,0.22015806
79,0.18611325
80,0.184508
81,0.20581867
82,0.21175858
83,0.23993209
84,0.24668762
85,0.25305906
86,0.2749592
87,0.29188913
88,0.35382217
89,0.5194925
90,0.55352414
91,0.7050467
92,0.71658343
93,0.754333
94,0.4655835
95,0.43489832
96,0.4126348
97,0.43050423
98,0.40919808
99,0.43493578
100,0.4447619
101,0.45682293
102,0.35416114
103,0.38467175
104,0.42479607
105,0.48520988
106,0.5023978
107,0.4932313
108,0.48826963
109,0.4765876
110,0.49089074
111,2.6425946
112,3.000656
113,3.0904486
114,3.4511259
115,3.6952362
116,3.3729665
117,2.3859396
118,5.7148647
119,6.824765
120,6.5796833
121,6.586168
122,5.9570637
123,5.791401
124,4.3436904
125,5.287483
126,3.7197092
127,5.540946
128,5.7012596
129,6.8293247
130,6.801542
131,6.6315827
132,5.699218
133,5.2644696
134,4.3045807
135,4.2159495
136,4.3704414
137,2.4076655
138,3.689773
139,4.273497
140,3.8053517
141,4.533295
142,5.4517665
143,6.3391347
144,7.0960975
145,6.7406173
146,6.6328874
147,7.708306
148,8.009095
149,8.270947
150,8.45133
151,7.5528536
152,6.8955297
153,9.865965
154,10.233733
155,8.335935
156,7.7011247
157,8.40245
158,9.774726
159,5.77099
160,5.664279
161,6.049547
162,7.6034307
163,8.12263
164,10.694226
165,7.0764027
166,8.679849
167,7.240492
168,5.216569
169,8.296597
170,7.7733326
171,7.95183
172,8.6365
173,6.4657626
174,6.8951335
175,8.192042
176,10.741064
177,11.001877
178,9.531909
179,6.7059855
180,9.064696
181,8.957354
182,8.711305
183,8.070431
184,10.575927
185,8.832887
186,9.763151
187,8.19684
188,9.7601385
189,7.594968
190,8.645776
191,8.139019
192,7.5576096
193,7.460335
194,8.332302
195,8.01243
196,7.398314
197,7.187978
198,7.6444387
199,7.9756746
200,7.0099754
201,4.260324
202,4.0819135
203,8.529723
204,8.880379
205,8.630865
206,8.817255
207,9.570195
208,9.225325
209,10.029078
210,10.294185
211,9.811572
212,6.8701453
213,9.48739
214,7.4737334
215,7.540802
216,9.258472
217,6.8176017
218,8.676608
219,2.2159257
220,7.239667
221,7.574013
222,5.1859818
223,7.574031
224,4.878628
225,6.4672375
226,6.2911396
227,4.1135645
228,3.660955
229,4.781991
230,5.765193
231,4.724562
232,5.0220575
233,4.515806
234,6.662733
235,6.57679
236,6.164667
237,4.629341
238,5.1865063
239,2.7135675
240,5.670792
241,6.0125813
242,6.8216257
243,5.84226
244,4.58217
245,2.8145585
246,5.4417057
247,3.8570948
248,5.1644673
249,5.686611
250,6.700663
251,5.2699976
252,6.082076
253,3.8139546
254,3.6086917
255,4.903292
256,2.179678
257,2.2766235
258,2.0032907
259,1.9320092
260,2.5985534
261,2.9880903
262,3.3018277
263,4.230584
264,4.009931
265,7.476027
266,4.722973
267,3.5626261
268,3.6666067
269,3.2358806
270,3.0328195
271,2.6286204
272,3.3658931
273,0.60610354
274,0.79424506
275,1.3741372
276,1.5131795
277,2.0966263
278,1.2249551
279,2.9059236
280,2.6327069
281,1.4133961
282,1.9182119
283,0.2633525
284,2.6653621
285,1.7386156
286,1.7815113
287,1.6153903
288,0.11802715
289,0.6280522
290,1.0006602
291,0.26114577
292,1.2324548
293,0.0023576021
294,0.8402836
295,1.1003758
296,-0.12748162
297,1.1377127
298,0.04696712
299,0.6811736
300,0.84012794
301,0.5272473
302,0.14828587
303,-0.0063668936
304,-0.07525708
305,0.37273824
306,0.17214161
307,0.20666704
308,0.46775126
309,0.35705513
310,0.17430416
311,-0.16645703
312,-0.26683578
313,-0.011342615
314,-0.13637832
315,-0.1732196
316,-0.06492463
317,-0.12890156
318,-0.17632218
319,0.040967286
320,0.14313954
321,-0.013936423
322,0.023960367
323,-0.01126793
324,-0.06595114
325,-0.08486103
326,-0.0822805
327,-0.120233744
328,-0.13498333
329,-0.13254105
330,-0.13778326
331,-0.10485384
332,-0.18470071
333,-0.16359168
334,-0.18160494
335,0.36470455
336,0.34914237
337,0.33111903
338,0.31468558
339,0.2904979
340,0.26496375
341,0.27210295
342,0.2974298
343,0.28497404
344,0.26706555
345,0.29209292
346,0.31768346
347,0.31229377
348,0.27508402
349,0.25896785
350,0.26784977
351,0.29588935
352,0.32029846
353,0.3156971
354,0.30945945
355,0.30009016
356,0.2803551
357,0.26410905
358,0.24867664
359,0.2868092
360,0.29958817
361,0.25996727
362,0.26788682
363,0.28988215
364,0.2926791
365,0.30001992
366,0.2744161
367,0.2582248
368,0.26914895
369,0.30876163
370,0.32415846
371,0.34743568
372,0.3416154
373,0.34202683
374,0.36308074
375,0.38445652
376,0.36014873
377,0.33415365
378,0.34677848
379,0.3787598
380,-0.098684534
381,0.03954579
382,0.5769586
383,0.123909086
384,0.33184692
385,0.39149782
386,0.059924588
387,0.07599828
388,0.07418156
389,0.03659098
390,0.6836975
391,0.19749618
392,0.15307042
393,0.22489053
394,0.16602823
395,0.19647618
396,0.44791275
397,0.5375185
398,0.45507887
399,0.2993702
400,0.5518332
401,1.1657827
402,0.27023125
403,1.2479935
404,1.3914602
405,0.22673717
406,0.31155276
407,0.15300015
408,1.055693
409,0.6488925
410,0.18100934
411,0.22601302
412,0.89413345
413,0.5385894
414,0.8819643
415,0.46994445
416,0.60434014
417,0.79575026
418,0.92777085
419,1.6221843
420,0.5746478
421,1.4090663
422,1.5450667
423,0.79532707
424,0.9397337
425,1.3625154
426,0.8695078
427,0.9870034
428,1.2389171
429,1.4497643
430,0.69845235
431,2.3479412
432,1.1036254
433,2.3420856
434,2.042067
435,2.0947769
436,1.032093
437,1.2503407
438,1.7398217
439,2.3390803
440,1.6450186
441,2.0014458
442,1.4373178
443,1.3538896
444,0.66174734
445,0.5223132
446,0.2782531
447,0.29870188
448,0.30696037
449,0.3369
450,0.5922483
451,1.0372553
452,0.9703363
453,1.8695402
454,1.8416083
455,3.1588378
456,1.6830564
457,1.8325393
458,2.444166
459,2.2691953
460,2.3802428
461,2.3563461
462,1.0301943
463,2.5702145
464,2.5453691
465,2.2334557
466,2.852802
467,3.3675508
468,3.1193085
469,3.7624943
470,3.3479676
471,2.3027785
472,3.7742426
473,4.361912
474,4.2734632
475,4.5766616
476,6.5728035
477,6.887694
478,7.158613
479,5.0342865
480,6.9491577
481,6.83497
482,8.354583
483,5.0603013
484,9.034062
485,4.777227
486,9.770145
487,10.321084
488,10.423451
489,10.127831
490,9.335558
491,10.587305
492,14.340002
493,13.186276
494,11.563259
495,11.55855
496,17.649328
497,17.141394
498,13.927926
499,16.017073
500,18.580038
501,13.370173
502,15.050704
503,10.414103
504,14.52369
505,12.666039
506,15.430763
507,13.169205
508,15.302342
509,17.164936
510,4.045162
511,15.371699
512,15.627884
513,16.41589
514,17.401533
515,16.658033
516,16.716455
517,16.206715
518,17.43103
519,18.589575
520,18.125977
521,18.12564
522,13.495054
523,13.698056
524,17.479925
525,15.587379
526,16.972075
527,19.583845
528,17.020235
529,19.168121
530,17.625538
531,16.91216
532,17.669212
533,15.908257
534,12.983911
535,18.383455
536,17.439497
537,11.73955
538,13.549836
539,18.850555
540,13.620602
541,12.62986
542,12.230707
543,10.280323
544,12.935488
545,13.165519
546,13.968015
547,13.649733
548,12.865521
549,12.300325
550,12.638908
551,11.624687
552,13.151098
553,12.526899
554,13.909181
555,13.333372
556,12.834199
557,13.190347
558,14.914606
559,13.337554
560,12.090244
561,12.968303
562,13.163172
563,10.932955
564,9.984411
565,12.816088
566,11.190624
567,12.528764
568,11.193115
569,13.843124
570,13.453119
571,13.475437
572,11.517904
573,10.297637
574,11.376876
575,11.764929
576,11.544542
577,10.31674
578,11.018189
579,11.273632
580,6.6135488
581,9.342785
582,7.4693875
583,12.135894
584,10.073995
585,13.367329
586,3.5683103
587,14.223031
588,6.4835205
589,12.642041
590,11.05294
591,11.784561
592,12.713982
593,14.324635
594,8.950645
595,11.118541
596,8.975629
597,11.886736
598,11.127029
599,2.2151952
600,9.600044
601,7.041037
602,6.2666183
603,2.8883398
604,10.262989
605,14.458456
606,13.102011
607,13.577716
608,9.753133
609,9.626852
610,8.202123
611,11.401946
612,11.721743
613,9.783094
614,10.759855
615,9.058831
616,9.76624
617,5.2989817
618,9.484158
619,8.404539
620,12.084104
621,9.812832
622,10.160821
623,6.00471
624,8.612398
625,7.6558456
626,6.697464
627,8.2958
628,9.243059
629,2.6644762
630,7.00124
631,10.7166
632,10.579136
633,9.427441
634,10.421145
635,8.243603
636,6.481399
637,4.951097
638,3.8706234
639,4.6731024
640,4.468888
641,4.0912123
642,1.5643989
643,5.0275416
644,4.985215
645,4.8061414
646,5.317182
647,4.230564
