,site0
0,0.4335569
1,0.41778758
2,0.42408398
3,0.44320858
4,0.43757167
5,0.4345014
6,0.4690997
7,0.45448112
8,0.43793005
9,0.426598
10,0.47829533
11,0.5083531
12,0.49294156
13,0.4741812
14,0.5066704
15,0.5185213
16,0.4809978
17,0.6493183
18,0.54246235
19,0.56579447
20,0.59650075
21,0.49741006
22,0.4866261
23,0.47277498
24,0.45671338
25,0.67065656
26,0.55889934
27,0.5013274
28,0.52086985
29,0.49705338
30,0.5007903
31,0.6199129
32,0.68297964
33,0.66693056
34,0.59833914
35,0.6621493
36,1.0706435
37,0.6251792
38,1.0057769
39,1.2776902
40,0.60449857
41,0.53359723
42,0.49101728
43,0.9168451
44,0.8355478
45,0.5625336
46,0.5302153
47,0.73453575
48,0.60299444
49,0.689092
50,0.54199564
51,0.53199226
52,0.628507
53,0.69946903
54,1.4208225
55,0.64809954
56,1.0698597
57,1.5204302
58,0.74614584
59,0.71438205
60,1.230565
61,0.8380266
62,0.94925296
63,1.3212084
64,1.4131068
65,0.71219623
66,1.9413387
67,1.1099324
68,1.8934059
69,1.829624
70,1.7895268
71,0.8882265
72,0.8884532
73,1.3876826
74,2.0759032
75,1.5916573
76,2.0051138
77,1.655868
78,1.5215958
79,0.7793619
80,0.7450689
81,0.87682784
82,0.64955294
83,0.8753164
84,1.0511291
85,1.4253176
86,1.6137763
87,1.0591964
88,1.8648049
89,1.8726503
90,3.8026633
91,1.7814399
92,1.524421
93,2.1823528
94,2.2555344
95,2.245965
96,2.2561963
97,0.9908807
98,2.2196286
99,3.092376
100,2.3482273
101,3.4915133
102,4.195057
103,3.9301991
104,4.538883
105,4.2385516
106,2.2495148
107,4.365866
108,5.4895453
109,5.6670337
110,6.9430356
111,6.9430356
112,6.9430356
113,6.9430356
114,5.253189
115,6.9430356
116,6.9430356
117,8.446412
118,5.2809954
119,8.584478
120,4.7920866
121,9.446403
122,9.894307
123,10.009387
124,9.641577
125,9.041588
126,9.8220825
127,11.25555
128,12.703065
129,10.973937
130,10.715737
131,15.785953
132,16.70206
133,13.682466
134,15.016663
135,17.602846
136,13.3161955
137,14.024594
138,10.281587
139,13.188029
140,11.918913
141,14.339557
142,11.564945
143,13.9334755
144,16.173506
145,4.839431
146,11.988955
147,14.924761
148,15.66525
149,15.990765
150,15.256954
151,15.107585
152,14.711817
153,15.827361
154,17.112888
155,16.86581
156,16.819603
157,12.18832
158,11.390776
159,15.153392
160,14.54053
161,15.420624
162,17.909985
163,16.345701
164,17.871336
165,16.876415
166,15.776171
167,16.682682
168,14.923295
169,11.970572
170,16.591965
171,16.543316
172,11.193107
173,12.006684
174,17.03381
175,10.663926
176,6.9430356
177,6.9430356
178,3.2400963
179,6.9430356
180,6.9430356
181,7.3039227
182,6.9430356
183,6.9430356
184,6.9430356
185,6.9430356
186,6.9430356
187,6.9430356
188,6.9430356
189,7.4010124
190,6.9430356
191,6.9430356
192,6.9430356
193,7.8501964
194,6.9430356
195,6.9430356
196,6.9430356
197,6.9430356
198,6.9430356
199,5.170286
200,7.372485
201,6.9430356
202,8.151138
203,6.9430356
204,8.032258
205,6.9430356
206,6.9430356
207,7.26288
208,8.497476
209,9.013201
210,9.443457
211,9.414224
212,8.7951
213,8.99288
214,9.586816
215,6.9430356
216,8.554094
217,6.9430356
218,10.461382
219,9.595017
