,site3
0,0.83920854
1,0.83920854
2,0.83920854
3,0.83920854
4,0.83920854
5,0.83920854
6,0.83920854
7,0.83920854
8,0.83920854
9,0.83920854
10,0.83920854
11,0.83920854
12,0.83920854
13,0.83920854
14,0.83920854
15,0.83920854
16,0.83920854
17,0.83920854
18,0.83920854
19,0.83920854
20,0.83920854
21,0.83920854
22,0.83920854
23,0.83920854
24,0.83920854
25,0.83920854
26,0.83920854
27,0.83920854
28,0.83920854
29,0.83920854
30,0.83920854
31,0.83920854
32,0.83920854
33,0.83920854
34,0.83920854
35,0.83920854
36,0.83920854
37,0.83920854
38,0.83920854
39,0.83920854
40,0.83920854
41,0.83920854
42,0.83920854
43,0.83920854
44,0.83920854
45,0.83920854
46,0.83920854
47,0.83920854
48,0.83920854
49,0.83920854
50,0.83920854
51,0.83920854
52,0.83920854
53,0.83920854
54,0.83920854
55,0.83920854
56,0.83920854
57,0.83920854
58,0.83920854
59,0.83920854
60,0.83920854
61,0.83920854
62,0.83920854
63,0.83920854
64,0.83920854
65,0.83920854
66,0.83920854
67,0.83920854
68,0.83920854
69,0.83920854
70,0.83920854
71,0.83920854
72,0.83920854
73,0.83920854
74,0.83920854
75,0.83920854
76,0.83920854
77,0.83920854
78,0.83920854
79,0.83920854
80,0.83920854
81,0.83920854
82,0.83920854
83,0.83920854
84,0.83920854
85,0.83920854
86,0.83920854
87,0.83920854
88,0.83920854
89,0.83920854
90,0.83920854
91,0.83920854
92,0.83920854
93,0.83920854
94,0.83920854
95,0.83920854
96,0.83920854
97,0.83920854
98,0.83920854
99,0.83920854
100,0.83920854
101,0.83920854
102,0.83920854
103,0.83920854
104,0.83920854
105,0.83920854
106,0.83920854
107,0.83920854
108,0.83920854
109,0.83920854
110,0.83920854
111,0.83920854
112,0.83920854
113,0.83920854
114,0.83920854
115,0.83920854
116,0.83920854
117,0.83920854
118,0.83920854
119,0.83920854
120,0.83920854
121,0.83920854
122,0.83920854
123,0.83920854
124,0.83920854
125,0.83920854
126,0.83920854
127,0.83920854
128,0.83920854
129,0.83920854
130,0.83920854
131,0.83920854
132,0.83920854
133,0.83920854
134,0.83920854
135,0.83920854
136,0.83920854
137,0.83920854
138,0.83920854
139,0.83920854
140,0.83920854
141,0.83920854
142,0.83920854
143,0.83920854
144,0.83920854
145,0.83920854
146,0.83920854
147,0.83920854
148,0.83920854
149,0.83920854
150,0.83920854
151,0.83920854
152,0.83920854
153,0.83920854
154,0.83920854
155,0.83920854
156,0.83920854
157,0.83920854
158,0.83920854
159,0.83920854
160,0.83920854
161,0.83920854
162,0.83920854
163,0.83920854
164,0.83920854
165,0.83920854
166,0.83920854
167,0.83920854
168,0.83920854
169,0.83920854
170,0.83920854
171,0.83920854
172,0.83920854
173,0.83920854
174,0.83920854
175,0.83920854
176,0.83920854
177,0.83920854
178,0.83920854
179,0.83920854
180,0.83920854
181,0.83920854
182,0.83920854
183,0.83920854
184,0.83920854
185,0.83920854
186,0.83920854
187,0.83920854
188,0.83920854
189,0.83920854
190,0.83920854
191,0.83920854
192,0.83920854
193,0.83920854
194,0.83920854
195,0.83920854
196,0.83920854
197,0.83920854
198,0.83920854
199,0.83920854
200,0.83920854
201,0.83920854
202,0.83920854
203,0.83920854
204,0.83920854
205,0.83920854
206,0.83920854
207,0.83920854
208,0.83920854
209,0.83920854
210,0.83920854
211,0.83920854
212,0.83920854
213,0.83920854
214,0.83920854
215,0.83920854
216,0.83920854
217,0.83920854
218,0.83920854
219,0.83920854
220,0.83920854
221,0.83920854
222,0.83920854
223,0.83920854
224,0.83920854
225,0.83920854
226,0.83920854
227,0.83920854
228,0.83920854
229,0.83920854
230,0.83920854
231,0.83920854
232,0.83920854
233,0.83920854
234,0.83920854
235,0.83920854
236,0.83920854
237,0.83920854
238,0.83920854
239,0.83920854
240,0.83920854
241,0.83920854
242,0.83920854
243,0.83920854
244,0.83920854
245,0.83920854
246,0.83920854
247,0.83920854
248,0.83920854
249,0.83920854
250,0.83920854
251,0.83920854
252,0.83920854
253,0.83920854
254,0.83920854
255,0.83920854
256,0.83920854
257,0.83920854
258,0.83920854
259,0.83920854
260,0.83920854
261,0.83920854
262,0.83920854
263,0.83920854
264,0.83920854
265,0.83920854
266,0.83920854
267,0.83920854
268,0.83920854
269,0.83920854
270,0.83920854
271,0.83920854
272,0.83920854
273,0.83920854
274,0.83920854
275,0.83920854
276,0.83920854
277,0.83920854
278,0.83920854
279,0.83920854
280,0.83920854
281,0.83920854
282,0.83920854
283,0.83920854
284,0.83920854
285,0.83920854
286,0.83920854
287,0.83920854
288,0.83920854
289,0.83920854
290,0.83920854
291,0.83920854
292,0.83920854
293,0.83920854
294,0.83920854
295,0.83920854
296,0.83920854
297,0.83920854
298,0.83920854
299,0.83920854
300,0.83920854
301,0.83920854
302,0.83920854
303,0.83920854
304,0.83920854
305,0.83920854
306,0.83920854
307,0.83920854
308,0.83920854
309,0.83920854
310,0.83920854
311,0.83920854
312,0.83920854
313,0.83920854
314,0.83920854
315,0.83920854
316,0.83920854
317,0.83920854
318,0.83920854
319,0.83920854
320,0.83920854
321,0.83920854
322,0.83920854
323,0.83920854
324,0.83920854
325,0.83920854
326,0.83920854
327,0.83920854
328,0.83920854
329,0.83920854
330,0.83920854
331,0.83920854
332,0.83920854
333,0.83920854
334,0.83920854
335,0.83920854
336,0.83920854
337,0.83920854
338,0.83920854
339,0.83920854
340,0.83920854
341,0.83920854
342,0.83920854
343,0.83920854
344,0.83920854
345,0.83920854
346,0.83920854
347,0.83920854
348,0.83920854
349,0.83920854
350,0.83920854
351,0.83920854
352,0.83920854
353,0.83920854
354,0.83920854
355,0.83920854
356,0.83920854
357,0.83920854
358,0.83920854
359,0.83920854
360,0.83920854
361,0.83920854
362,0.83920854
363,0.83920854
364,0.83920854
