,site0
0,-5.483189
1,-5.93903
2,-5.428906
3,-6.081265
4,-5.4280133
5,-6.0838513
6,-5.4226193
7,-6.0788846
8,-5.427922
9,-6.081471
10,-5.421551
11,-6.070851
12,-5.422253
13,-6.0796247
14,-5.42001
15,-6.008488
16,-5.379193
17,-5.8779798
18,-5.3513684
19,-5.9383893
20,-5.4221005
21,-6.02039
22,-5.3623853
23,-6.0313077
24,-5.3980985
25,-5.823071
26,-5.3392606
27,-6.0096784
28,-5.3333173
29,-6.0108
30,-5.336453
31,-6.05531
32,-5.050648
33,-5.874722
34,-5.223927
35,-5.8205686
36,-4.9246564
37,-5.9547467
38,-4.9880567
39,-5.623837
40,-5.331883
41,-5.954388
42,-5.352162
43,-5.436047
44,-5.245274
45,-5.8898664
46,-5.2048
47,-5.814717
48,-5.352345
49,-5.8708386
50,-5.3809476
51,-6.007481
52,-5.295796
53,-5.928227
54,-5.0504804
55,-6.028294
56,-5.127888
57,-5.702534
58,-5.299214
59,-5.904103
60,-5.079602
61,-5.8883862
62,-5.145703
63,-5.3329434
64,-4.8607297
65,-5.895016
66,-4.5974774
67,-5.8050275
68,-4.7581754
69,-5.560887
70,-4.864453
71,-5.8493085
72,-5.0988812
73,-5.537556
74,-4.5816617
75,-5.417401
76,-4.305348
77,-5.1708035
78,-4.469998
79,-5.7991376
80,-5.4277844
81,-5.590924
82,-5.251515
83,-5.2426496
84,-4.748181
85,-5.115399
86,-4.7422986
87,-5.776646
88,-4.7963758
89,-5.6469235
90,-4.6230435
91,-5.760136
92,-5.0398297
93,-5.4843946
94,-4.826939
95,-5.3817334
96,-4.6869016
97,-5.854733
98,-4.4975476
99,-5.1308026
100,-4.620404
101,-5.1371655
102,-4.4287534
103,-5.2316556
104,-4.284985
105,-5.1317487
106,-4.903546
107,-4.893742
108,-3.9860044
109,-4.6930127
110,-3.9431195
111,-3.7913098
112,-3.121571
113,-3.7903485
114,-4.316441
115,-4.4391294
116,-3.8506742
117,-4.06609
118,-4.5353513
119,-4.457478
120,-4.743588
121,-4.100201
122,-3.2058072
123,-3.682156
124,-3.1265988
125,-3.9515576
126,-3.148045
127,-2.6396756
128,-1.8836333
129,-2.6435208
130,-1.9591566
131,-2.4035764
132,-1.7187773
133,-2.9334989
134,-1.7816817
135,-2.3960462
136,-2.9110608
137,-2.7393003
138,-3.2724957
139,-2.1546445
140,-2.3249173
141,-2.03188
142,-2.734982
143,-2.3889966
144,-1.3555418
145,-5.4825864
146,-2.0842557
147,-2.0699658
148,-1.6669585
149,-2.075871
150,-1.5171705
151,-1.9496962
152,-1.5122267
153,-1.9410673
154,-1.1663557
155,-1.8864104
156,-1.2590986
157,-2.4529386
158,-1.5735518
159,-2.0321622
160,-2.5321622
161,-2.9243894
162,-1.8063399
163,-3.2828183
164,-1.9883085
165,-2.7457623
166,-2.478169
167,-2.444264
168,-2.208119
169,-3.8810544
170,-1.8525511
171,-2.57803
172,-3.6161542
173,-3.806622
174,-1.5515867
175,-4.910931
176,-4.4879117
177,-5.3926053
178,-5.118359
179,-5.208813
180,-4.4237256
181,-4.705296
182,-3.9998136
183,-4.694279
184,-4.295872
185,-4.859547
186,-4.6864743
187,-5.049275
188,-4.7382855
189,-4.818478
190,-4.5449033
191,-4.969815
192,-4.2364545
193,-4.6493497
194,-4.4553494
195,-5.1964917
196,-4.5141644
197,-5.104153
198,-4.665707
199,-5.4425473
200,-4.2259717
201,-5.3605847
202,-4.1567807
203,-5.3525662
204,-3.9047513
205,-4.562741
206,-3.934544
207,-3.0152326
208,-2.541203
209,-3.1242719
210,-2.5274396
211,-3.1347623
212,-2.9638562
213,-4.0512357
214,-3.4614987
215,-5.137791
216,-3.8971295
217,-5.0815015
218,-3.286305
219,-4.5354123
220,-2.847775
221,-5.6762815
222,-3.0702558
223,-5.213116
224,-3.3543515
225,-4.277554
226,-3.4125943
227,-3.909268
228,-2.7777295
229,-4.7957654
230,-3.6092343
231,-4.730084
232,-3.5501142
233,-4.292912
234,-5.183331
235,-4.702809
236,-4.4350553
237,-5.1747556
238,-5.026242
239,-4.404629
240,-2.843823
241,-3.4760861
242,-2.8068814
243,-4.4769177
244,-3.8974576
245,-4.8112226
246,-3.4925504
247,-4.0133634
248,-3.9385114
249,-4.270016
250,-4.091244
251,-4.5452237
252,-4.648625
253,-4.665112
254,-4.007405
255,-3.9533277
256,-3.771237
257,-4.1871457
258,-4.378674
259,-4.4242673
260,-3.8850064
261,-4.7410855
262,-3.910565
263,-4.4295926
264,-4.9698453
265,-4.909184
266,-3.5278592
267,-4.2023206
268,-3.9213605
269,-4.3621716
270,-3.9667096
271,-5.5180936
272,-5.013638
273,-5.864453
274,-4.996609
275,-5.7001386
276,-4.8894773
277,-5.9309735
278,-4.754338
279,-5.5458646
280,-4.941853
281,-5.4942822
282,-5.0782285
283,-5.9067426
284,-4.9686627
285,-5.730969
286,-4.9463315
287,-5.9260144
288,-4.9974027
289,-5.2373853
290,-5.167599
291,-5.2401166
292,-4.674397
293,-5.8793073
294,-4.9833493
295,-5.316113
296,-5.3061185
297,-5.2913785
298,-5.36472
299,-5.711392
300,-4.9030805
301,-5.4937177
302,-5.29588
303,-5.6200757
304,-5.2940946
305,-5.8577847
306,-5.3070264
307,-6.027119
308,-5.376553
309,-6.032681
310,-5.391255
311,-5.800778
312,-5.311459
313,-5.9132886
314,-5.3419003
315,-6.0119367
316,-5.202542
317,-6.059529
318,-5.3703504
