,0,1,train_loss,val_loss
0,[16],"[64, 256, 128]",12.56308760762498,10.607233260950963
1,"[16, 2]","[128, 64, 32]",,
2,"[2, 16, 64]","[256, 128, 32, 2]",10.698166984608193,9.58496330091244
3,"[128, 4, 32]","[64, 8]",,
4,"[32, 64, 256]","[8, 8, 2]",12.128903407609616,7.546844213638028
5,"[16, 16, 32]","[128, 16, 8, 256]",16.96913919293759,15.183949558905972
6,[2],"[32, 16, 2]",,
7,"[2, 16, 2, 4]","[32, 8, 2]",,
8,"[256, 128, 4, 256]","[256, 128, 8]",,
9,"[8, 8]",[8],35.4623455328126,18.86374085518329
10,"[8, 64]",[256],,
11,"[8, 2, 8, 32]","[4, 32, 4]",16.685962383093734,13.869460626358608
12,"[2, 16, 8]","[32, 256, 64, 128]",18.104441605296504,17.49252754867715
13,"[256, 256, 4, 16]","[8, 64]",,
14,"[256, 64]","[64, 64, 8, 32]",,
15,"[32, 16]","[32, 4]",,
16,"[2, 256, 128]",[64],16.81851880885452,7.389263253950555
17,"[8, 8, 128]","[4, 256, 256]",19.115120072847684,14.610711238798885
18,"[64, 64]",[8],,
19,"[16, 128]","[16, 16, 16]",15.519027538145673,13.547671044201671
20,"[128, 128, 64, 64]","[256, 4, 32, 256]",,
21,[32],[256],15.396299895012948,43.17440145584607
22,[16],"[16, 8, 64, 8]",8.665234704007224,6.9218978921809935
23,"[16, 8, 16, 8]","[32, 16]",14.372537878713135,7.846741493762188
24,[16],[32],,
25,"[64, 2, 2, 256]","[64, 32]",23.679884942190355,14.076153723701186
26,"[256, 8, 32, 4]","[2, 8, 4, 256]",,
27,"[8, 32, 16, 2]",[4],22.37134654474078,14.8645026956693
28,"[16, 64]","[2, 4]",20.31837543470116,14.685040324975878
29,[8],"[2, 8]",12.447914814530316,9.255551959525631
30,"[2, 8]",[64],13.560590080359269,17.407713994921167
31,"[128, 256]","[128, 256]",17.409369655268844,19.488518077315508
32,[8],"[2, 256]",15.580282551060916,16.10920272025371
33,"[2, 4, 32, 2]","[4, 32, 4, 32]",,
34,"[4, 256]","[2, 32]",18.254209960056198,15.24771571221842
35,"[128, 64]","[2, 2]",7.9460263793439,6.261143170148564
36,[4],"[16, 128]",14.104569192663659,17.336232862047364
37,"[16, 8, 8, 4]","[8, 64, 32]",,
38,[4],[8],62.51850052191682,14.088187515748581
39,"[4, 2, 32, 2]","[4, 64, 8]",,
40,[16],"[4, 8, 128]",38.035527160535125,8.865404339196203
41,"[32, 2, 64, 16]",[8],64.13671402439698,11.399064104647048
42,"[64, 32, 4, 16]","[4, 16]",13.150138396840523,15.368419850946134
43,"[16, 2, 64]","[2, 4]",11.558769112059506,9.988301341273699
44,"[256, 64, 8]","[16, 64, 4, 8]",18.894237567622874,15.242718502451543
45,[8],"[64, 64]",12.746656267816666,14.26161573791189
46,"[4, 32]","[128, 16, 64]",17.02513915259573,16.791716378936343
47,"[32, 128, 16]","[4, 2, 8, 4]",18.87174120253513,13.992294144506463
48,"[256, 128]",[8],,
49,"[8, 64, 64, 8]","[16, 4, 256, 64]",,
50,[2],[2],15.538472444988827,12.724517664327893
51,"[4, 256]","[256, 8, 8, 64]",17.445275002080855,15.143601778730167
52,[4],"[8, 4, 8, 4]",14.70409481606523,7.68893059839292
53,"[2, 16, 8, 16]",[16],,
54,"[2, 4]","[2, 2]",9.890991440695766,6.4718881834298365
55,"[16, 256, 2]",[256],255.0040726371638,52.34103177105431
56,"[32, 64, 64]","[32, 128, 256, 4]",,
57,"[8, 4]","[2, 64, 8, 4]",32.60746258241819,12.934085713838757
58,[16],"[16, 32, 32]",13.305113931943843,14.643731797267888
