,0,1,2,train_loss,val_loss
0,0.09,64,0.5779,,
1,0.0006,8,0.5829,15.083194250822594,11.078067045875054
2,0.01,32,0.8543,33.87161709029319,21.420472625146314
3,0.0001,16,0.593,28.02911174720657,19.492966178318728
4,0.006,8,0.5528,24.309262516410698,12.674554313445544
5,0.0007,32,0.0603,13.285885649481925,9.736491901742363
6,0.03,32,0.7186,31.29070687407018,20.58717613229528
7,0.0002,128,0.0603,130.53982223768142,95.37336266795795
8,0.007,64,0.7337,29.201726669185774,17.38254992246628
9,0.009,128,0.794,34.483363780759916,19.89606771747271
10,0.004,16,0.2111,18.74370288806597,14.990965889510901
11,0.005,128,0.3769,,
12,0.03,64,0.6683,,
13,0.06,8,0.3769,,
14,0.008,128,0.4372,18.09767121999924,10.127627981901169
15,0.06,64,0.2211,,
16,0.0004,32,0.8744,68.04899022606236,43.3940438988308
17,0.002,16,0.6432,,
18,0.004,64,0.799,,
19,0.001,128,0.6884,18.951895162287787,13.043014424443244
20,0.006,8,0.3618,21.866270999279987,16.955866635681495
21,0.01,16,0.3367,,
22,0.0008,128,0.5126,25.641235889764058,17.62768833875656
23,0.01,32,0.4221,,
24,0.009,32,0.6432,,
25,0.001,16,0.9698,13.822661432430014,19.593891328003195
26,0.02,32,0.8844,,
27,0.009,16,0.407,,
28,0.09,16,0.191,,
29,0.007,64,0.809,,
30,0.01,8,0.6131,,
31,0.0002,128,0.5578,120290.42798682893,24.80168253660202
32,0.003,32,0.6332,,
33,0.006,32,0.608,28.50624346156179,19.490569404760993
34,0.03,32,0.1106,,
35,0.05,64,0.5578,,
36,0.008,16,0.3367,,
37,0.003,32,0.4121,21.660038876276417,15.714404128104798
38,0.002,8,0.5276,19.644257557016683,16.472020939397424
39,0.08,32,0.6985,106.03859493721876,20.31001263782382
40,0.0008,8,0.2161,,
41,0.09,128,0.2814,,
42,0.02,64,0.5829,,
43,0.008,16,0.6482,27.12660441453042,16.2353058743736
44,0.1,8,0.1307,,
45,0.0009,8,0.8593,23.5844690149696,20.205688029692872
46,0.08,16,0.0201,,
47,0.0003,16,0.9196,35.781652788657894,21.710378790695508
48,0.03,128,0.7588,,
49,0.02,128,0.6834,,
50,0.0001,8,0.9548,19.0690389731233,6.99888333601977
51,0.009,32,0.8995,34.72467056230263,22.33486835360527
52,0.0005,128,0.1457,22.818763773633787,19.157092590729395
53,0.0002,32,0.1407,15.008611198510662,11.119883528548876
54,0.1,64,0.6683,37.476458796408124,17.181772297620775
55,0.02,32,0.5628,,
56,0.0002,64,0.4925,183.7442936896185,15532.241935128764
57,0.0008,32,0.4573,30.230690479241776,18.344921015501022
58,0.009,64,0.5226,,
59,0.0002,128,0.4673,116.20907801846813,93.5677049648762
60,0.03,64,0.5678,,
61,0.006,16,0.9397,,
62,0.07,128,0.2513,,
63,0.006,64,0.1357,8.752482762445537,5.319982285276056
64,0.01,128,0.2663,,
65,0.005,32,0.206,19.416770039101444,14.795107042094074
66,0.08,64,0.3317,25.40073564580301,13.020941030780472
67,0.0002,16,0.7638,53.500884727631004,28.768104374460552
68,0.003,128,0.0653,9.227265474867254,4.952868866721789
69,0.0006,128,0.809,28.471536316417513,15.406020909150444
70,0.005,32,0.8894,,
71,0.0007,64,0.4623,22.229097642142598,15.212226890126864
72,0.0002,128,0.2864,22.553215750413724,15.361487981478376
73,0.06,32,0.0302,14.535602966624278,11.824030786951383
74,0.06,64,0.3518,,
75,0.03,8,0.9095,,
76,0.0002,128,0.9749,45.14532789974706,25.929735181331633
77,0.006,128,0.6683,27.15973767961442,16.45606520911058
78,0.0009,32,0.392,8.328882155142908,4.853764489482468
79,0.001,8,0.7337,21.525617703300423,7.009602908045772
80,0.0001,32,1.0,134.65794444657587,44.03841723383831
81,0.06,8,0.4925,396.5512328888152,10076.650413293346
82,0.07,128,0.206,,
83,0.0008,32,0.8342,34.13882435646322,20.12596415241559
84,0.02,32,0.1558,16.959786192811336,13.170684231321017
85,0.09,16,0.804,,
86,0.08,32,0.7337,,
87,0.07,8,0.5829,,
88,0.009,8,0.5327,,
89,0.005,64,0.8543,32.41484591908571,19.268508810798327
90,0.002,16,0.3518,12.302538081978605,10.029114609069152
91,0.009,8,0.9899,,
92,0.0003,64,0.7337,31.95813255875576,20.104877883195876
93,0.03,64,0.5829,,
94,0.0009,64,0.2412,,
95,0.0004,32,0.5025,13.610170761782713,13.477847668036677
96,0.09,32,0.4975,,
97,0.1,16,0.9548,36.676030707239505,26.304357554920816
98,0.007,128,0.8794,29.080684907862114,14.641730406284331
99,0.0006,64,0.005,3856.1072814304375,4721.817832217822
100,0.05,8,0.7789,33.607447263323095,21.726378068524635
101,0.03,128,0.3367,26.2918244111467,12.463279825647671
102,0.007,8,0.3166,,
103,0.0004,64,0.9146,32.00335759136281,22.782418261310085
104,0.01,64,0.191,,
105,0.0007,128,0.2563,12.884869992601729,6.606552803516388
106,0.01,64,0.9598,3748.9640971260246,26.066792407656706
107,0.009,16,0.593,,
108,0.0002,64,0.6281,46.96847687617927,28.97124090571965
109,0.007,8,0.2312,18.773764677429885,15.23242422050675
110,0.01,128,0.603,1103.9259599322809,17.864604477485024
111,0.0004,32,0.7889,32.546542988614654,20.40324820011854
112,0.006,64,0.1759,16.487129404210464,12.613054752548537
113,0.03,8,0.0905,,
114,0.0003,16,0.9548,20.328171079015846,15.236727363363556
115,0.02,128,0.397,,
116,0.009,128,0.9146,29.143345306259253,14.952922290762267
117,0.0007,128,0.3065,77.6519281418651,42.30829050461452
118,0.008,64,0.598,22.48355529944219,12.84529045112431
119,0.0002,16,0.3467,13.883504446153847,11.438664504341457
120,0.006,16,0.603,28.078974931407227,19.371970813637194
121,0.08,128,0.8141,,
122,0.01,32,0.4975,,
123,0.003,32,0.0905,13.002759182686955,6.4217451409157364
124,0.005,64,0.0905,,
125,0.0003,128,0.0653,16.95977795275904,12.981225562095641
126,0.09,128,0.5678,,
127,0.002,8,0.2663,,
128,0.004,64,0.6181,28.09805447772236,19.41918566862742
129,0.0008,64,0.1859,18.67994846195323,14.154094489775598
130,0.007,16,0.392,692455.0579833812,764258.2592901156
131,0.03,64,0.0704,,
132,0.06,16,0.9045,,
133,0.004,64,0.1558,,
134,0.0009,16,1.0,22.652604258618684,14.934846080649674
135,0.01,64,0.3769,,
136,0.0001,32,0.9095,30.79951204024186,19.0942603244291
137,0.0008,16,0.0955,13.818500971224793,11.147756367982568
138,0.0006,128,0.4372,1487.5254264897387,28.99776762803395
139,0.03,16,0.7236,,
140,0.0005,8,0.0905,,
141,0.04,8,0.7186,,
142,0.005,64,0.1457,17.874838248898342,14.151737004518509
143,0.0004,8,0.0854,6.837388491169386,5.096531038829024
144,0.0008,64,1.0,16.91241133954376,13.032532674781978
145,0.0009,8,0.3216,16.078795517829835,16.2689804875057
146,0.008,64,0.6231,,
147,0.09,8,0.8995,32.33569936510843,27.180511853541756
148,0.09,8,0.397,,
