,0,1,2,3,train_loss,val_loss
0,64,32.0,64.0,256.0,1.9934308227038706,6.397763761717665
1,2,2.0,8.0,,5.476782050646843,5.058021622287191
2,128,128.0,256.0,2.0,16.505482026141138,14.65524291602166
3,16,,,,4.097507168044336,6.366014018862143
4,64,,,,3.717724899729016,7.381442753382675
5,4,64.0,64.0,64.0,3.9066382096160677,6.498964095500745
6,16,32.0,32.0,,3.110274561770027,6.43556717959273
7,256,,,,3.12603416798776,6.890483041169204
8,16,32.0,,,3.6858004137615206,8.362279440974412
9,64,16.0,64.0,8.0,2.7956024308982306,6.8861048088230845
10,16,128.0,256.0,,2.1998717388767983,7.100107585326162
11,16,16.0,,,3.6806177166802807,6.147751449226686
12,4,16.0,,,4.636773812863045,8.243879478619151
13,64,4.0,32.0,4.0,3.01975106362789,6.235775671295174
14,8,,,,4.4675970178119595,6.825779522343174
15,2,32.0,128.0,,4.501085081928875,7.28049435955027
16,8,64.0,2.0,32.0,3.672428376572672,6.731472548345185
17,4,8.0,2.0,,4.747601960046216,7.312488683727773
18,32,,,,3.88318436385179,7.391377685152644
19,4,128.0,128.0,,3.890879042378277,10.073160759276993
20,8,2.0,64.0,,4.422903414665721,9.731321697053701
21,128,64.0,128.0,,1.9914891932699832,6.409616157389448
22,64,128.0,256.0,,1.904357204925531,6.125084216272781
23,4,,,,4.933371439020148,6.40089430557321
24,256,2.0,,,16.466640361800792,14.641325398502145
25,64,64.0,32.0,16.0,2.3165755054188772,7.205158284688164
26,2,8.0,32.0,64.0,4.759744007832371,8.5288396633384
27,256,256.0,256.0,64.0,1.7637218431012007,5.864631977433178
28,4,2.0,8.0,32.0,4.567044132172363,9.059446547135062
29,32,256.0,256.0,,1.8623033437110712,7.470770434971252
30,16,64.0,4.0,,3.557322202717653,7.003966475616654
31,8,16.0,,,4.320623119406402,9.84160102074561
32,2,8.0,,,5.137439278415404,4.43859587110255
33,128,64.0,4.0,,2.348417613625527,5.957923954076579
34,4,64.0,,,4.3566696638488205,8.059985639349275
35,64,2.0,,,4.242301473953062,9.002324067639268
36,128,2.0,32.0,,3.270480131402378,7.304513620708301
37,32,256.0,16.0,16.0,2.1867269936616065,6.859084737543017
38,4,32.0,64.0,2.0,16.102074965324256,14.531539533138275
39,8,64.0,,,3.835845748093212,8.245057671602977
40,128,32.0,,,2.5957947476478296,5.795832997801836
41,16,64.0,16.0,,3.4326570583051064,6.601600092704529
42,4,64.0,32.0,,4.209615247945535,9.931584530524587
43,64,32.0,64.0,128.0,2.0866487712768143,5.856167651797119
44,64,128.0,8.0,64.0,2.046757058393618,6.9741513259109595
45,32,4.0,,,3.9882662341010287,7.419978579540292
46,32,256.0,256.0,16.0,1.8428459169653948,6.648320279633221
47,8,32.0,128.0,,3.3077158660865393,8.215915774976754
48,8,16.0,128.0,128.0,3.4286658470467084,7.977663671465024
49,128,8.0,2.0,,3.261736125210534,7.412764452507963
50,32,2.0,,,3.9483262710636478,7.273801023357587
51,256,16.0,2.0,64.0,2.610595455791917,5.820783840500465
52,128,64.0,,,2.50079498575069,6.654651115619295
53,128,,,,3.4253337496118617,7.063243737985258
54,64,8.0,32.0,16.0,2.8248486297711497,6.325380451820143
55,64,64.0,,,2.6733166487978304,6.933662865866462
56,2,,,,5.420070997258648,5.553757308276129
57,128,256.0,4.0,128.0,1.9088341572098435,6.82634273065092
58,32,128.0,128.0,,2.1215615584478797,5.66655397814739
59,128,32.0,8.0,,2.5272686214810234,6.8353019686577765
60,128,4.0,32.0,,3.0139334156378172,6.322144730107292
61,128,16.0,256.0,,2.149193319713464,5.625099600244962
62,16,2.0,2.0,,4.503203748848755,6.8582542628244205
63,256,16.0,,,2.6428786846057046,6.624814057729571
64,256,64.0,,,2.3279709799510893,5.988694570741575
65,128,256.0,,,2.022314045558218,5.942001251332137
66,4,256.0,,,3.9777529613615474,10.38520317747865
67,4,4.0,128.0,32.0,4.4875244803065435,6.800729535179942
68,64,8.0,256.0,2.0,2.850909653290175,6.4629810862615695
69,128,8.0,,,3.1061521373700822,7.4551011365166175
70,128,4.0,,,3.177106088303029,6.610994804333087
71,16,128.0,256.0,256.0,1.9857330435029,6.035733914619474
72,8,128.0,,,3.5209988557673064,7.0564764166979685
73,128,4.0,128.0,,2.899140536417952,5.674368687654319
74,8,16.0,32.0,,3.7700530527631053,6.772411591674649
75,16,128.0,16.0,8.0,2.8738049646420403,6.69423320569098
76,2,128.0,,,4.688612760002259,7.570651122422322
77,8,16.0,256.0,64.0,3.3973563559507016,6.675336034576529
