,0,1,2,3,train_loss,val_loss
0,4,,,,4.759460843288806,5.055824644688679
1,16,2.0,,,4.0322784391911695,5.1202040276611624
2,64,,,,3.8187957960662895,4.988833217366558
3,8,128.0,256.0,256.0,2.6706825627906365,6.866559673447324
4,4,128.0,32.0,16.0,3.7859591030360904,5.041276669467435
5,16,,,,4.227882545753615,4.907356727395369
6,128,4.0,32.0,,3.3144358957349325,5.748937680226062
7,2,16.0,2.0,,4.699404534855858,4.424100491799738
8,64,128.0,256.0,16.0,2.4388019660987155,6.71356657167613
9,16,32.0,4.0,64.0,3.491649151186109,5.579596748776409
10,32,2.0,,,4.081970827068784,4.804492837333161
11,8,32.0,,,3.9190410493765957,5.167748491836955
12,32,8.0,32.0,2.0,3.6317145497583545,5.5026126578676955
13,4,32.0,,,4.318865113918436,5.102409416702778
14,128,128.0,,,2.9657314208662138,5.607951127013758
15,64,2.0,,,3.9140943063697784,4.866745601986413
16,128,16.0,4.0,256.0,3.0508175673028743,5.984806927442549
17,2,4.0,,,4.897171127813403,5.000315676629543
18,64,2.0,32.0,,3.7655590365100657,5.166731774155861
19,128,2.0,128.0,,3.262365020095662,5.221515179880611
20,32,256.0,,,3.065809068251052,5.294730660102289
21,32,128.0,128.0,8.0,2.6689281666975,6.284417590991311
22,4,8.0,2.0,,4.42300075308513,4.8339558783043985
23,64,256.0,,,2.8026272093082083,5.711129181466023
24,128,8.0,16.0,,3.3452415348388604,5.514624007200093
25,16,2.0,8.0,256.0,3.8746850257755723,5.056476488110163
26,2,16.0,32.0,,4.571471738053137,4.880983877149614
27,256,32.0,2.0,256.0,2.870250521016773,5.750706050771531
28,2,,,,4.8679912000587215,4.95733422771906
29,32,8.0,,,3.756305984869075,5.12512426333259
30,2,2.0,256.0,16.0,4.712115189163014,4.407937292987885
31,32,256.0,16.0,,2.9084750132964103,5.757621183761435
32,2,8.0,128.0,,4.292311049149691,5.045344930475822
33,128,,,,3.6605516219895806,4.958585538059149
34,256,128.0,,,2.7145409851314906,5.860541860978726
35,256,64.0,2.0,4.0,3.1236096843492707,5.461560358197792
36,4,16.0,,,4.255004074849188,4.87122740584871
37,32,,,,4.06045752508915,4.9067215286745975
38,16,64.0,128.0,32.0,2.7968488426620604,6.277492601372626
39,32,64.0,,,3.275635172910756,5.127196509167552
40,16,128.0,32.0,,3.0756418824355354,5.681427777575167
41,16,16.0,4.0,4.0,3.8737793680676265,5.461809192798707
42,4,8.0,64.0,,3.9344531123008633,5.119147577234745
43,128,32.0,,,3.3839028150241357,5.2262095728293865
44,16,32.0,4.0,16.0,3.8237848524402356,5.071844060087334
45,32,2.0,2.0,,3.9979635969772938,5.518654543987434
46,256,2.0,,,3.5533609054771382,4.9516417116833775
47,8,,,,4.412367654498201,5.002193676004914
48,256,8.0,64.0,,3.105773061533575,5.935856309840861
49,128,256.0,,,2.675387416287034,5.901220352169047
50,16,256.0,,,3.0828313097765205,5.614695815375964
51,2,64.0,16.0,4.0,4.164650721727638,5.557597367096207
52,4,4.0,64.0,256.0,3.7688903917765715,5.988790147385519
53,256,128.0,8.0,,2.6949623822871946,6.572863578705279
54,32,32.0,,,3.5551556649913545,5.316797818911221
55,128,16.0,8.0,8.0,3.5097792972042225,5.285453845711587
56,8,4.0,,,4.2588889771234255,5.329662433590579
57,8,64.0,,,3.935568786242045,5.379481585516553
58,128,64.0,256.0,,2.3564935935615217,6.61044990569839
59,2,8.0,,,4.518689506663475,4.743396809778137
60,2,256.0,32.0,,4.338888777301531,4.488725490681827
61,4,16.0,4.0,2.0,4.314552009134088,4.939877688683893
62,2,256.0,64.0,,4.160147824587241,5.151778334988199
63,2,64.0,256.0,256.0,4.3341159271630465,4.8922123631511045
64,128,2.0,,,13.65695750244707,12.480049388888087
65,64,32.0,16.0,128.0,2.96028839918063,6.1205946699092575
66,16,4.0,,,4.051847371258031,5.178665519991646
67,256,,,,3.5024373286073676,4.888972045987358
68,64,128.0,4.0,,3.206861019333942,5.486297822235071
69,16,64.0,256.0,,2.7796361596203134,6.1830736948768426
70,2,32.0,32.0,,4.291409437658265,4.788072254051981
71,32,4.0,,,3.8961322409599086,5.020227673682182
72,64,16.0,,,3.3442838859391633,5.492605155076448
73,128,128.0,32.0,4.0,2.764824542298098,6.443337483496769
74,16,32.0,,,3.7077354676824767,4.794438612380106
75,16,64.0,8.0,,3.525110734755755,5.168181286932009
76,128,4.0,64.0,8.0,3.210308317011484,6.113880325773649
77,128,8.0,256.0,128.0,2.7067471533773926,6.746012827512687
78,8,128.0,256.0,128.0,2.894087282209773,6.334685514309323
79,8,128.0,2.0,,13.896407337050887,12.574403650520937
80,256,4.0,,,3.628206522542285,5.003436819327915
81,256,4.0,32.0,,3.2495222031710433,5.654603068136973
82,32,2.0,32.0,,3.694187489734729,5.010376821221055
83,64,128.0,8.0,,2.8581471169234725,6.01385301055346
84,256,64.0,2.0,,3.2941997641279017,5.205797929791329
85,4,32.0,4.0,,13.674265071798118,12.490538999412367
86,8,8.0,32.0,,3.8626629712935543,5.562814831204874
87,4,4.0,32.0,,4.327033006566111,4.79069557569597
88,4,4.0,128.0,64.0,4.15368948557647,4.8768418924413295
89,32,8.0,64.0,16.0,3.282787093233318,6.077856025036587
90,128,2.0,4.0,,13.269527691092343,12.572167852806007
91,8,256.0,64.0,32.0,3.1634962134561504,5.651051318881953
92,4,64.0,32.0,,3.895488038976444,5.238535348044142
93,4,256.0,,,3.8473654500987617,4.783591793797425
94,128,256.0,256.0,,2.2560787017830006,7.254414264862629
95,8,16.0,128.0,16.0,3.710724556334434,5.418020896618457
96,16,32.0,2.0,128.0,3.3504873595542746,5.677283784181852
97,4,256.0,16.0,32.0,3.7081348951358226,5.22199582149477
98,2,8.0,16.0,16.0,4.271740671555046,5.8205832593855655
99,256,256.0,32.0,,2.5179639022329643,6.730436262292788
100,8,16.0,,,4.049676726015343,5.175934802549689
101,16,8.0,128.0,,3.5720913437996065,5.3462740294853965
102,256,256.0,16.0,,2.487571408850723,6.5509052988789644
103,2,128.0,2.0,,4.551963744020789,4.442887337638632
104,2,256.0,64.0,16.0,4.202976326222705,4.972080569636562
105,64,32.0,32.0,,3.1256378636286826,5.578064234755612
106,64,32.0,256.0,,2.7393703672754923,6.793462725773292
107,64,8.0,,,3.68974290229124,5.192411216607966
108,4,2.0,,,7.365022147948621,6.246940177462023
109,2,256.0,256.0,4.0,4.50080837368581,5.031018400078882
110,64,64.0,16.0,128.0,2.7090593102394194,6.350113267185895
111,16,64.0,64.0,256.0,2.8499121596937766,6.551327446233886
112,16,128.0,2.0,,13.752879976978527,12.527790845211435
113,4,8.0,8.0,,4.193528780886205,4.883496255571751
114,16,128.0,,,3.504280947219348,4.905964805695998
115,16,16.0,16.0,,3.7977627412038855,5.0920945192752
116,32,8.0,4.0,4.0,3.928479505206459,5.114100363549331
117,16,256.0,16.0,,3.1784264081687432,5.76658550499088
118,4,32.0,128.0,,3.818530234493898,5.226691065292966
119,64,4.0,32.0,8.0,3.4545504974186185,5.551442993464678
120,16,16.0,8.0,,3.895651219563792,5.126110770498282
121,32,128.0,,,3.2777740608353048,5.082776011732285
122,256,2.0,8.0,,3.353338491058385,5.174894574075613
123,32,32.0,256.0,16.0,2.5874711427570727,6.7009354147428395
124,64,256.0,32.0,128.0,2.360802385439369,6.986056706095114
125,256,256.0,128.0,,2.287748942732345,6.730621213976133
126,2,8.0,2.0,32.0,4.388775215102709,5.367936810216178
127,8,16.0,128.0,,3.584298110254342,5.37099862861609
128,16,4.0,256.0,8.0,3.5696826917664146,6.201518879929637
129,2,128.0,256.0,,4.397238649935928,4.90352737945383
130,16,64.0,8.0,2.0,3.6596927922625913,5.211315705866107
131,8,256.0,4.0,256.0,3.2312772012196946,6.19797055364303
132,8,4.0,256.0,16.0,3.878032368796878,5.0177539367682265
133,128,64.0,8.0,,3.0384346175812236,5.924652258241955
134,256,2.0,2.0,64.0,3.5596350516325326,5.295816637183662
135,16,32.0,16.0,64.0,3.325574385340442,5.704082441585463
136,32,128.0,8.0,16.0,3.1585456113314434,6.025468491365242
137,16,32.0,256.0,,3.1196163227622162,5.94472657546401
138,16,2.0,2.0,4.0,4.367155613070412,5.241976233950776
139,8,8.0,,,4.137256791777676,5.105486905924651
140,8,128.0,4.0,8.0,3.735648615420388,5.308074556349411
141,4,16.0,2.0,,4.297061719460646,4.702493350538223
142,16,256.0,128.0,,2.6783311175119597,6.238498196616852
143,256,2.0,32.0,256.0,12.9857028376814,12.56070222186006
144,256,64.0,32.0,2.0,13.949260547968558,12.59127905976675
145,64,256.0,128.0,16.0,2.3680705383389724,6.83476269085608
146,128,256.0,256.0,8.0,2.430075573534996,7.032820821070801
147,32,4.0,64.0,,3.4932040049368513,5.637730897222849
148,32,256.0,64.0,,2.544014844659658,6.443263501463173
149,16,2.0,8.0,,4.19215040787682,5.040690262534696
150,8,128.0,32.0,,3.6018061649454616,5.210731860418682
151,64,128.0,,,2.917763344259758,5.791968361140107
152,128,32.0,64.0,,2.7841549340595373,6.650708057303387
153,128,2.0,2.0,,3.603781332064886,4.981527554183874
154,8,16.0,8.0,4.0,13.644018147859724,12.49409845565972
155,2,128.0,256.0,256.0,4.374336216305965,4.9005975551789875
156,4,128.0,16.0,4.0,4.003883381805849,5.066488792079946
157,128,256.0,8.0,2.0,2.8220049642463554,6.118012490602129
158,4,128.0,32.0,,3.918316025717184,5.337541066684314
159,32,2.0,4.0,256.0,3.549155467009929,5.154979977981875
160,8,32.0,8.0,,3.896337851868011,4.9837602522888265
