,0,1,2,train_loss,val_loss
0,0.05,32,0.7085,,
1,0.03,16,1.0,,
2,0.07,8,0.4673,,
3,0.09,128,0.005,,
4,0.06,32,0.1407,12.526191411162245,10.628512991815805
5,0.003,8,0.8995,,
6,0.02,32,0.8593,,
7,0.04,128,0.0603,,
8,0.05,16,0.8744,,
9,0.008,8,0.3769,,
10,0.008,16,0.3719,,
11,0.1,32,0.6985,,
12,0.09,64,0.6834,,
13,0.005,16,0.794,18.927012110827082,12.212952553688185
14,0.0009,128,0.3769,47.3945672173202,29.161523007551832
15,0.004,32,0.1508,15.063141706198582,10.446252586512514
16,0.0003,8,0.0302,16.901696311988573,7.870219487847922
17,0.06,64,0.6231,23.14987531127601,20.101798573335014
18,0.07,16,0.603,,
19,0.07,8,0.6332,,
20,0.007,64,0.8995,25.137219418837077,24.304349355995654
21,0.0007,64,0.0603,335.5599356344239,316.7083370580276
22,0.02,8,0.201,15.220195289275814,11.991170304171417
23,0.06,32,0.3216,,
24,0.0005,64,0.0402,2433.6729075605394,2134.3925089116146
25,0.007,128,0.9347,110.56677551438412,55.18055029670397
26,0.002,128,0.8995,40.02248001848658,22.623794988393783
27,0.002,128,0.6583,,
28,0.1,16,0.6533,,
29,0.0005,16,0.8794,311.90551793134125,156.20067320794516
30,0.0002,16,0.794,,
31,0.002,32,0.3317,21.00976985282807,11.381674571561938
32,0.0008,16,0.608,,
33,0.06,64,0.8291,,
34,0.007,64,0.2563,,
35,0.008,8,0.9849,,
36,0.0002,64,0.7035,403.79222097963094,245.7706442975998
37,0.0001,128,0.7839,40.00158372657498,25.60364019711812
38,0.0005,8,0.6332,15.794126660225743,9.44399338229033
39,0.06,64,0.5678,,
40,0.005,128,0.3317,35.88345995306968,17.191147101720176
41,0.07,64,0.191,,
42,0.03,32,0.6131,,
43,0.09,16,0.2663,13.4054695389666,15.367846134123598
44,0.01,16,0.8392,,
45,0.003,128,0.8744,9.249662486632666,10.143778686523438
46,0.0001,32,0.2864,26942.477338622557,25806.041957630823
47,0.0002,8,0.2513,1434.2835499958521,556.3225471293749
48,0.07,8,0.4121,,
49,0.004,16,0.4523,,
50,0.009,16,0.1558,14.978688580787376,10.702809318950319
51,0.0005,32,0.0201,7.9186751535918525,4.140001310780645
52,0.05,32,0.1558,14.814157885281562,10.847433946511398
53,0.0007,8,0.5327,,
54,0.01,32,0.7186,40.16346258880763,22.25891397368784
55,0.0002,8,0.2362,13.863819088678254,7.233297292079129
56,0.0003,32,0.206,397.97488435994376,1253.6664454758666
57,0.0001,32,0.7286,539.2189945907145,495.6125121624892
58,0.005,32,0.3668,,
59,0.0007,16,0.1407,16.65544594697081,9.557471400335755
60,0.004,32,0.7839,,
61,0.0002,128,0.9497,2090.5393583541713,3661.5094019571934
62,0.008,128,0.4171,21.040968908528484,15.199153365691503
63,0.0002,16,0.1558,351.7143759731113,256.32996434574056
64,0.004,64,0.4975,18.311207618420493,12.380235845396914
65,0.08,8,0.5327,25.6645979059608,19.52036082442688
66,0.003,16,0.608,,
67,0.0004,64,0.7085,88.5437663811548,60.47370747044683
68,0.06,16,0.4573,,
69,0.0003,16,0.3518,56.26459421893533,25.316194251225046
70,0.04,64,0.3116,19.53256047861329,13.198691570361456
71,0.0007,32,0.0201,15.453242366768036,7.207759455346193
72,0.004,128,0.2864,20.479502994447945,12.305335882504783
73,0.003,16,0.8492,,
74,0.07,32,0.3166,,
75,0.09,8,0.3065,,
76,0.0006,32,0.0854,,
77,0.02,8,0.397,,
78,0.0006,128,0.608,25584.425237634874,26.68940877517064
79,0.004,32,1.0,,
80,0.006,16,0.4121,,
81,0.001,128,0.8945,167.39178982639314,146.25275330225625
82,0.03,8,0.4925,20.905656215201244,18.137700881316608
83,0.003,32,0.6281,146.07638971084484,11.688753619690736
84,0.0008,32,0.1608,23.44207934295052,13.911380272656679
85,0.005,64,0.1508,4227.563708109429,11.996963261589407
86,0.0001,8,0.005,,
87,0.0007,16,0.3518,17.70251330582586,17.151766013597015
88,0.0006,64,0.2111,3245.713623823984,2910.000521729464
89,0.1,16,0.5226,,
90,0.04,16,0.9548,,
91,0.09,128,0.3618,18.493246892293293,14.49217762430509
92,0.1,64,0.3568,,
93,0.0007,64,0.4121,27.06924022771932,13.606868355224528
94,0.06,128,0.5477,,
95,0.004,8,0.5779,,
96,0.007,8,0.7286,,
97,0.0007,64,0.8643,6227.780576021903,580.1516529104114
98,0.07,32,0.0201,7.851021517969925,6.153130616545678
