,0,1,2,train_loss,val_loss
0,0.0002,16,0.2613,21.454835101184635,9.632471947720195
1,0.0003,8,0.4271,19.882052249117333,9.118466077052949
2,0.0007,64,0.799,,
3,0.005,16,0.7035,,
4,0.02,128,0.7136,,
5,0.001,16,0.0251,34.30995169464904,17.03525545830798
6,0.0001,128,0.6382,84237.74794010416,82845.81780273438
7,0.0009,8,0.1005,299.6916266627359,250.298262721684
8,0.08,16,0.7538,23.49159256103505,16.240485244775595
9,0.05,128,0.005,,
10,0.005,32,0.0452,,
11,0.06,8,0.4724,,
12,0.006,64,0.5779,,
13,0.0004,16,0.6583,17.514593120270167,8.530568554385201
14,0.0003,64,0.0603,24.07338067142357,9.420482125195365
15,0.06,16,0.6382,23.396056520066182,21.744507477231647
16,0.008,8,0.9296,,
17,0.0005,8,0.6884,,
18,0.1,64,0.3367,,
19,0.07,32,0.6231,,
20,0.09,64,0.2513,11.231755875302799,8.704841111203034
21,0.06,64,0.8844,,
22,0.0002,128,0.7638,49.91424602411191,31.897402097384138
23,0.08,16,0.7286,26.137274440480315,22.92706020085708
24,0.0006,8,0.608,,
25,0.001,128,0.9296,1741.7234800474046,1811.3559506289164
26,0.1,128,1.0,,
27,0.009,32,0.0955,68.56633621534269,9.197743794588993
28,0.0002,32,0.7487,41.48694891719674,23.510238954347248
29,0.09,128,0.6583,,
30,0.005,8,0.1307,,
31,0.08,32,0.9347,,
32,0.03,16,0.9347,,
33,0.06,32,0.7236,25.20008080780506,22.14766797299187
34,0.09,32,0.2513,16.056515313325256,13.011530335197847
35,0.0003,32,0.8543,37.712530754724966,23.890241311695426
36,0.0006,32,0.1508,78.25120181797594,47.34658029827288
37,0.003,8,0.7186,,
38,0.05,32,0.206,,
39,0.0001,16,0.0653,70.4565059158221,43.98123795205321
40,0.1,8,0.9799,,
41,0.0008,8,0.201,,
42,0.0006,128,0.3317,22.115696979850533,21.928677025238677
43,0.0006,8,0.0,,
44,0.009,32,0.7688,7.703199981812002,8.072352860358853
45,0.0002,128,0.3216,9150.03492635857,11130.630191953978
46,0.008,128,0.6834,36.63785635080934,19.07852136651675
47,0.0007,8,0.0905,111.56984764206993,29.838263975333255
48,0.009,16,0.4774,38.828092870449886,17.568668355203194
49,0.0007,128,0.603,28.83004684829712,21.996646806399028
50,0.0006,32,0.6131,440.891004999632,337.4966424735852
51,0.0007,128,0.2714,77.40800896235307,58.81579903443655
52,0.006,32,0.4874,,
53,0.002,16,0.3668,55.58615283929135,21.784989609350657
54,0.0001,128,0.799,110.59568426566322,90.27478111028671
55,0.04,32,0.0754,13.329606573385155,9.564487752445665
56,0.01,8,0.4221,,
57,0.03,8,0.8794,,
58,0.07,16,0.6382,20.3825945129401,21.392201451063155
59,0.007,8,0.3417,,
60,0.0002,8,0.799,22.635265746166255,21.087612766950674
61,0.06,64,0.9397,59.83606306348127,13.93685692757368
62,0.07,8,0.2312,15.903752849151473,13.730144388883009
63,0.007,32,0.7035,,
64,0.0009,64,0.201,641.7642956283379,695.6905361165605
65,0.008,32,0.3015,19.867084735974625,12.657775821241863
66,0.006,32,0.4673,,
67,0.0004,64,0.3166,15.588142159683951,612.5882767830293
68,0.004,64,0.4271,,
69,0.04,8,0.1809,16.39293452238705,11.878272617537041
70,0.009,16,0.1206,13.667897537837534,10.034477859554084
71,0.07,128,0.2563,16.21154255249103,12.346437782446545
72,0.0008,128,0.4472,6.2955880939165745,5.735725613037746
73,0.1,64,0.809,,
74,0.08,8,0.1658,,
75,0.0008,64,0.8241,30.421824573483963,26.627570154666902
76,0.06,64,0.2764,,
77,0.005,64,0.1508,12.77131107870104,6.364364860244096
78,0.003,32,0.4824,,
79,0.005,16,0.9799,,
80,0.008,128,0.6683,,
81,0.01,16,0.9849,,
82,0.04,64,0.9196,,
83,0.05,16,0.2111,15.323515257745983,12.213929554172182
84,0.003,64,0.0,,
85,0.03,64,0.0603,,
86,0.0003,8,0.9799,23.276039942967746,115.91611299744604
87,0.0007,128,0.8241,45.70756591928006,29.569263880252837
88,0.007,8,0.1407,,
89,0.03,16,0.8392,,
90,0.06,16,0.4573,,
91,0.03,16,0.8442,27.57778320682049,25.132148736197014
92,0.0002,128,0.8543,717.7416872180502,648.445930759112
93,0.0001,128,0.6181,85616.5620764974,86342.80853515625
94,0.001,64,0.0905,,
95,0.0008,64,0.3668,28.39759751156229,14.79483287230134
96,0.001,32,0.9548,64.35311676897494,46.98902004174888
97,0.01,16,0.603,,
98,0.02,128,0.8342,,
99,0.003,32,1.0,19.808083031879413,17.537830687028666
100,0.0004,128,0.4523,9381.71838689685,8915.74884604931
101,0.0004,8,0.8744,,
102,0.002,128,0.8894,25.451516654988126,12.004947375456492
103,0.03,8,0.995,30.59431373172972,28.41706112165814
104,0.0006,128,0.6382,10009.510237547476,9779.639481401444
105,0.04,8,0.8342,,
106,0.07,8,0.4472,,
107,0.03,64,0.6683,26.264618518665948,20.85446774184704
108,0.09,64,0.402,,
109,0.0001,128,0.9196,5021.134862599691,5166.468942057292
110,0.02,16,0.005,,
111,0.0002,8,0.2563,,
112,0.07,128,0.6734,,
113,0.03,128,0.8744,,
114,0.0005,8,0.8392,59.859053485723024,6035.20230639447
115,0.004,16,0.0402,15.491969198885172,8.24614319169327
116,0.02,128,0.7839,24.717979267249508,20.565101102987924
117,0.01,8,0.2412,,
118,0.004,8,0.9849,,
119,0.003,128,0.6482,,
120,0.0006,32,0.0402,16.611111940573256,6.823186582578346
121,0.0004,16,0.3719,142.57278254616733,64.01047250052672
122,0.04,128,0.3869,,
123,0.05,64,0.5377,21.250424628663676,18.046300195852915
124,0.1,128,0.6181,26.109022818883254,18.534015634059905
125,0.05,16,0.0251,,
126,0.0005,32,0.3668,,
