,0,1,2,3,train_loss,val_loss
0,2,,,,3.679148761869617,3.622798342617308
1,2,128.0,32.0,32.0,3.0494221575805365,5.104608572196701
2,4,8.0,128.0,2.0,2.963143848916535,3.144694821841043
3,4,16.0,,,3.0792394968454255,3.3002746200010837
4,32,2.0,,,2.454617913847857,4.014503382996696
5,2,4.0,,,3.7065097769535034,3.31903136851347
6,128,256.0,,,1.2754120368038049,4.880048122090167
7,128,32.0,32.0,256.0,1.3834117695065644,5.244130042514399
8,2,64.0,16.0,,3.1514467366230132,3.8691933741874016
9,256,,,,1.8967619844942996,4.356363835580971
10,4,128.0,,,2.833022918577467,3.8606849675981896
11,128,2.0,64.0,,10.9878537431511,7.5607599458746275
12,256,2.0,2.0,32.0,11.089938670462272,7.558705252525599
13,16,2.0,128.0,,2.423219808177971,3.9756295745431083
14,256,2.0,4.0,,2.306492131147215,4.369891293473217
15,256,256.0,,,1.1728763739081207,5.75991193615548
16,8,16.0,8.0,128.0,2.5460171106893066,4.2080218989466855
17,8,256.0,8.0,2.0,13.638397910208806,7.579110960830814
18,128,8.0,256.0,256.0,1.367409058984566,5.785970501632469
19,256,64.0,128.0,2.0,1.5400580857998833,5.122786728284605
20,8,64.0,,,2.5463305393830256,4.546346949086241
21,16,4.0,,,2.898125943803369,3.690829482645445
22,64,64.0,64.0,64.0,1.2812586966731916,5.419650238120685
23,32,256.0,256.0,,1.1534811385998964,5.587896250092789
24,2,256.0,,,3.116904665794709,3.1371040279904134
25,4,256.0,256.0,,2.712107927567333,3.6695020730307575
26,4,4.0,32.0,16.0,2.869313471262339,3.4016174086960755
27,8,32.0,64.0,,2.2140589993970488,5.611752078515355
28,2,256.0,64.0,4.0,3.154181695597299,3.479207403471936
29,8,32.0,16.0,64.0,2.4143155680623427,4.3668215879587375
30,4,,,,3.502716879713607,3.916654512661955
31,128,256.0,4.0,32.0,1.4034327589366182,4.949727007259169
32,16,8.0,32.0,8.0,2.406500101695004,4.237796880891142
33,128,16.0,4.0,,1.8786749146641544,4.5908790161314865
34,128,64.0,16.0,128.0,1.4519318069233824,5.283567811835395
35,2,2.0,,,3.801444159090337,3.4771387920593444
36,64,64.0,64.0,4.0,1.677485672446506,5.319088721272091
37,32,64.0,4.0,8.0,2.0333626354421956,4.42630165932619
38,8,,,,3.081302696962654,3.580847630037563
39,32,128.0,,,1.6933788859778889,4.87051975681082
40,256,2.0,256.0,16.0,1.6538610221738883,4.890836985325035
41,256,16.0,64.0,128.0,1.389707764959002,4.902509894793772
42,32,8.0,,,2.637947558212159,3.8573464643291158
43,128,32.0,,,1.7866752980620908,4.844026753614131
44,4,64.0,64.0,128.0,2.8245714263642867,3.771106287125984
45,128,2.0,4.0,,2.6887438262508128,3.4321135719403952
46,4,2.0,256.0,4.0,2.857205779370025,3.100433814912711
47,32,64.0,64.0,128.0,1.3388559359232437,5.283186560922667
48,16,32.0,8.0,,2.240970899424258,4.381571259343107
49,128,,,,2.135888480277114,4.303132903776739
50,16,,,,2.761572698940455,3.9041331449523566
51,64,2.0,32.0,,10.99652596891499,7.561371089038642
52,64,,,,2.367668932515779,3.968478246350651
53,32,4.0,4.0,,2.69217530128953,3.676732769235158
54,8,4.0,4.0,32.0,2.8781131282457966,3.519385897133337
55,16,4.0,2.0,,12.971741105794688,7.3598569658269035
56,128,8.0,,,2.0198624749989023,4.595147181869201
57,4,32.0,,,3.057280190213101,4.121005550020416
58,256,32.0,4.0,,1.600169497534499,4.67835128772032
59,128,16.0,256.0,,1.5535514414966445,4.406821790894736
60,2,4.0,32.0,,3.277418075272564,3.2660648658474827
61,128,64.0,,,1.5002336977321264,5.510111049982193
62,256,16.0,32.0,4.0,1.794429228027459,4.881655036475023
63,128,64.0,64.0,8.0,1.4496888010970383,5.333710447025039
64,2,4.0,16.0,,3.2769561639796403,3.298457841756551
65,64,32.0,256.0,256.0,1.1224175186133583,5.962203326246336
66,8,128.0,,,2.494152770495228,3.9041881363126247
67,64,8.0,16.0,32.0,1.9919205688608537,4.598883203653537
68,256,16.0,,,1.6907398800444653,4.984111158770063
69,8,8.0,,,2.88619679090364,3.7130754006799793
70,128,64.0,256.0,,1.0667945582291372,5.475788395433971
71,8,128.0,2.0,,13.733945897023666,7.608703381075807
72,2,64.0,,,3.2158842129543457,3.2024372328672075
73,16,256.0,4.0,16.0,1.8214910663997819,4.962993391525486
74,256,256.0,8.0,,1.3599758333518823,4.912372737188377
75,16,4.0,8.0,,2.637109493844716,3.7491851995998746
76,16,64.0,2.0,,12.767286664687445,7.300204735022527
77,64,2.0,16.0,,11.20762937765469,7.560852388324943
78,4,8.0,8.0,,3.229451264608195,3.2450930872122234
79,128,128.0,128.0,,1.1408849204578468,5.531219979565106
80,16,2.0,64.0,,2.400744762566898,4.022509270199453
81,16,32.0,256.0,64.0,1.6392953790409102,5.5792614990861535
82,2,128.0,256.0,16.0,3.0729240671961,3.8429735239538485
83,256,2.0,64.0,16.0,1.8676897071885765,4.6484026812843
84,2,64.0,64.0,32.0,3.1522006720734868,4.1274473223195445
85,2,2.0,8.0,256.0,3.1626088081215498,2.989957833803542
86,32,16.0,,,2.255058404564803,3.84614342118087
87,64,256.0,,,1.350882857695806,5.120056294374492
88,16,4.0,2.0,64.0,2.2999092371780616,4.296099166853921
89,8,8.0,16.0,64.0,2.6164124756058635,3.931643141049729
90,8,16.0,64.0,,2.384947976783505,3.8598394221974464
91,128,128.0,256.0,8.0,1.33184725764993,5.186558614956296
92,2,64.0,128.0,16.0,3.241014585600831,3.8747855433530134
93,64,2.0,64.0,,2.133358167649688,4.251602725240847
94,4,4.0,64.0,,2.968619094676145,2.9929620596815063
95,256,4.0,32.0,8.0,11.072802624826865,7.594595563670863
96,8,64.0,2.0,,2.798010276413689,4.392712621436171
97,2,8.0,256.0,32.0,3.0659153811940825,2.9351727828108096
98,8,4.0,,,2.949474147276992,3.623965984244386
99,2,8.0,,,3.522658096822876,3.5644686173874396
100,32,,,,2.644025034952514,3.4461649235783383
101,4,32.0,32.0,16.0,2.745919453746319,4.22473795996574
102,8,4.0,4.0,128.0,2.55429634301089,3.9392393466344355
103,8,16.0,4.0,64.0,2.5980073639578642,4.276634243214908
104,256,32.0,256.0,,1.223576870246018,5.506856005306802
105,4,128.0,16.0,,2.8102749200918584,3.900757216924559
106,16,16.0,2.0,16.0,2.3588711653088157,3.957648495228394
107,64,64.0,,,1.7407812124289834,5.00734534110226
108,32,128.0,2.0,64.0,1.6674378179387719,5.095582107289331
109,32,256.0,128.0,64.0,1.210435380628109,5.133974268012073
110,256,4.0,,,2.154964188131122,4.407858930991396
111,32,256.0,,,1.5266246543685036,5.306921125671462
112,8,8.0,256.0,,2.4985465704354533,4.178107887028676
113,256,4.0,2.0,16.0,2.0387481674067267,4.5243302128383
114,128,2.0,,,2.198643456847462,4.266922626563388
115,4,8.0,8.0,64.0,2.986100043487866,3.328318310851313
116,8,8.0,4.0,,2.9162061832743382,4.154872453577169
117,256,64.0,128.0,,1.246770174174381,4.986803253756269
118,2,16.0,16.0,,3.1595439263922196,3.088787465194321
119,8,8.0,128.0,,2.520307201118948,4.303611596178102
120,8,8.0,8.0,16.0,2.954547860395061,3.5576110430369554
121,8,128.0,128.0,,2.1373893930083234,3.859646269005278
122,2,16.0,128.0,4.0,3.1577210697592317,5.124938818514347
123,256,128.0,,,1.366361309053235,5.191143783149511
124,2,4.0,64.0,8.0,3.26943542952629,3.4933540390691036
125,4,16.0,2.0,,3.268744105606068,3.2867128619584047
126,64,2.0,8.0,8.0,11.058357522017422,7.582799334668595
127,256,8.0,4.0,,1.9775540588556526,4.554830981444406
128,4,128.0,2.0,,2.925275075077283,3.9252558280981105
129,32,32.0,4.0,,2.188715734947117,4.777479604476173
130,64,64.0,32.0,128.0,1.3013817275312538,5.802508047537312
131,256,16.0,128.0,256.0,1.2569789523161057,5.348545823260817
132,32,64.0,16.0,,1.8604953614026039,4.914113292605008
133,128,64.0,4.0,,1.8142441940510432,5.161941496041482
134,8,64.0,256.0,32.0,2.042339593026517,5.166198220492704
135,16,8.0,256.0,64.0,2.141011318899243,4.281761109427267
136,2,32.0,,,3.201686217192558,4.706595945150955
137,16,2.0,16.0,,2.5888790063609246,3.5855351074914568
138,4,128.0,8.0,16.0,2.835475772697256,3.723604172383962
139,4,128.0,4.0,8.0,2.853397914095636,4.601531902467427
140,16,256.0,,,1.9094059669724626,5.7341566658441145
141,32,8.0,8.0,32.0,2.242817612023869,5.413763761416726
142,64,16.0,32.0,,1.8153019340743244,5.602510511625723
143,64,8.0,2.0,,13.451248546371207,7.518966198874558
144,2,32.0,4.0,,3.25454753718313,3.5733305327885825
145,2,256.0,8.0,,3.2525909688740335,3.414321668914154
146,256,128.0,64.0,,1.19959025141207,4.982071153834138
147,64,32.0,,,1.8949255503461122,4.927866711665107
148,2,16.0,8.0,16.0,3.357977605821746,3.339092427521296
149,128,2.0,2.0,,2.3620479468204807,4.0366030784615345
150,4,8.0,,,3.124059103870581,3.714633934643606
151,8,64.0,256.0,64.0,2.0508423356600685,5.1617571308561
152,8,32.0,256.0,,2.3062056521522223,5.250776788559944
153,8,64.0,2.0,64.0,11.011836604172908,7.559116819125155
154,2,16.0,256.0,,3.138435940598518,3.172458824180066
155,4,4.0,2.0,,3.2261001025577802,3.342920302406925
156,64,4.0,8.0,4.0,2.4422221742943875,4.383000179543767
157,16,256.0,64.0,,1.5780146239014496,4.798466500866672
158,4,4.0,64.0,128.0,2.744454540545567,4.4385762936929645
159,64,64.0,32.0,,1.6038744716090252,5.017922030340719
160,16,16.0,4.0,,2.5997383749762637,4.2984359129518275
161,16,16.0,32.0,64.0,2.1636959046998676,3.9810538404434914
162,4,2.0,8.0,64.0,3.0011069145227514,3.474298776767176
163,4,256.0,,,2.7241674062722385,4.269616081235202
164,256,2.0,,,1.970975648175786,4.218732848132596
165,4,4.0,16.0,64.0,2.898977684772756,3.6937846825045084
166,128,8.0,8.0,32.0,2.0225467026554274,4.489682019540797
167,32,16.0,8.0,4.0,2.473863704565456,4.4845142785856575
168,4,4.0,2.0,2.0,3.267711665151539,4.138813467919826
169,16,32.0,4.0,,2.2754701638695156,3.865302372101856
170,32,8.0,8.0,,2.31587678485017,4.033899585506272
171,32,32.0,,,2.0666822529026,4.418359258855167
172,8,8.0,256.0,16.0,2.6383016113565465,4.392851550214641
173,256,16.0,32.0,,1.688337308506822,4.65140107329449
174,2,16.0,32.0,,3.143929943435826,3.002637304011733
175,2,64.0,128.0,32.0,3.047176434516584,3.0111976224516077
176,4,2.0,4.0,128.0,2.978766155565276,3.5006963218116893
177,16,8.0,16.0,8.0,2.698656786746218,3.85091054033974
178,16,256.0,32.0,64.0,1.71635642976891,5.259227537909604
179,256,128.0,32.0,,1.2529295275153443,5.79096984308213
180,64,2.0,,,2.510877000305048,4.255271604383445
181,8,16.0,8.0,,2.9917144425270674,3.7225996242350208
182,4,4.0,,,3.435021180736799,3.5443215399235486
183,4,256.0,128.0,32.0,2.6588385713484843,3.9399287375629597
184,64,32.0,4.0,64.0,1.6981000095319234,6.012794985999555
185,8,2.0,2.0,2.0,3.2676772887535996,3.2604007783896574
186,64,4.0,,,2.138229014702059,4.02332679697029
187,64,32.0,64.0,4.0,1.990038102334657,4.856483233753269
188,8,256.0,,,2.169605165579987,4.046988636046325
189,4,16.0,8.0,,3.057704238094242,3.4352481583991774
190,64,64.0,256.0,,1.1900574116810985,5.42816763051502
191,256,8.0,,,1.787661535488205,4.617619405589674
192,2,8.0,4.0,64.0,3.317892623886246,3.4596999000693143
193,4,2.0,128.0,,2.992754244814133,3.6338033308088775
194,128,4.0,2.0,2.0,2.308449274862026,4.326580248219164
195,64,16.0,64.0,,1.8011061977499387,4.596456464276365
196,2,2.0,16.0,128.0,3.102104859973131,3.208136750526078
197,16,2.0,,,2.9197124660194964,3.861865676090769
198,2,32.0,64.0,4.0,12.739142769587481,7.300669696642003
199,16,16.0,32.0,32.0,2.0503335645663405,4.745968172449781
200,2,16.0,256.0,8.0,3.0876896276406756,3.0938611711043382
201,128,64.0,8.0,,1.6065903944438136,4.655680111486302
202,2,128.0,,,3.1696811957563584,3.498556452851905
203,4,2.0,,,3.2437841889575494,3.034049244022563
204,32,4.0,128.0,,2.1231938505316577,4.5397417605117605
205,64,16.0,,,1.9497677291535778,4.207247065166416
206,256,128.0,32.0,64.0,1.1824750993554731,5.280417139308283
207,32,256.0,8.0,2.0,1.975545998918224,4.94532952974186
208,128,32.0,4.0,,13.324888219325011,7.47195910114309
209,64,32.0,32.0,,1.6590024210127345,5.2947908818414025
210,128,16.0,,,1.8652129660633066,4.588750195224648
211,32,4.0,,,2.4887689647269595,4.2682493189835675
212,256,2.0,256.0,128.0,1.555702935000403,4.839460626364402
213,256,128.0,256.0,32.0,1.1255110937310542,4.812137329311151
214,128,4.0,,,2.1642131813003966,4.559274520514452
215,64,256.0,32.0,64.0,1.1899568909422424,5.34691831820361
216,16,4.0,16.0,,2.5280423554397156,3.5857964863012666
217,16,4.0,128.0,,2.3396758338699244,4.228030836925559
218,16,16.0,32.0,,2.288334186287653,3.987289786516972
219,64,256.0,64.0,,1.0923510760316568,5.869863266928689
220,16,256.0,8.0,4.0,12.906106091661718,7.3450164542379595
221,128,128.0,4.0,16.0,1.6105911262615356,5.254844532672154
222,2,4.0,4.0,64.0,3.2856762416408483,3.2134059989549546
223,2,256.0,8.0,16.0,3.1056562026162573,3.375631800005617
224,128,8.0,256.0,4.0,1.4724538309451825,4.632396195888843
225,256,32.0,4.0,32.0,1.717450970351117,4.584202196058695
226,16,8.0,2.0,,2.602782656529436,4.1892112449135475
227,32,256.0,16.0,2.0,12.348345817777586,7.20375423717758
228,4,2.0,2.0,64.0,10.984905397380178,7.547032222903294
229,128,8.0,32.0,128.0,1.6955510875939606,4.930928719868155
230,128,16.0,128.0,64.0,1.3694958044821215,5.122927295513775
231,128,32.0,128.0,,1.5149804125633652,4.849292492354694
232,128,128.0,,,1.4362972792860995,5.065102013976354
233,8,64.0,8.0,2.0,2.8403615439986796,3.5019172450738107
234,16,8.0,128.0,4.0,2.2988006879055036,4.277094905233902
235,2,8.0,128.0,64.0,3.1051657606134166,5.1160590861640545
236,4,64.0,16.0,,2.6822618857023404,3.65666128276159
237,32,128.0,8.0,64.0,1.7313768093819422,4.681752014732312
238,4,2.0,4.0,,3.3246265598290496,3.3553590493584453
239,4,8.0,4.0,,3.2281163841517,3.823184874864376
240,2,128.0,128.0,64.0,3.03624471336125,3.4951731529831886
241,64,256.0,256.0,,0.9904612984767731,5.618063286199519
242,32,2.0,32.0,4.0,2.5392992482696224,3.6547704257297773
243,128,2.0,4.0,128.0,2.0099506750521106,4.590829175370543
244,32,64.0,4.0,,1.956608383616353,4.371478540696527
245,16,64.0,256.0,2.0,1.5742044269583786,5.401489836929933
246,32,8.0,128.0,,1.9684327613597028,4.772313826531172
247,16,256.0,4.0,,12.923305647821676,7.345454646063887
248,32,64.0,16.0,8.0,12.91335936266132,7.3491466143468145
249,64,64.0,2.0,16.0,11.054719484868784,7.56237172436455
250,128,64.0,32.0,64.0,1.359328416145097,5.372121873838098
251,4,16.0,256.0,256.0,2.763715495199537,3.794370240002223
252,256,64.0,,,1.4431631705155505,5.148971548436776
