,train_p1,train_p2,train_p3,train_p4,train_p5,train_p6
0,0.12169455,0.0,0.0,0.0,-0.06588999,0.0
1,-0.0042541116,-1007.2272,-999.0,-999.0,-2.858291,-1004.96454
2,5.7061014,-6.3322024,30.272787,43.675934,1.0032598,16.464846
3,0.14785454,0.24978518,0.0,0.0,-0.09959186,0.0
4,-0.0048963893,-1008.4693,-999.0,-999.0,-3.2898302,-1005.86505
5,5.7061014,-6.3322024,56.237682,43.675934,1.1106739,16.464846
6,0.08701045,0.0,0.0,0.0,-0.07020248,0.0
7,-0.0038092204,-1006.36676,-999.0,-999.0,-2.5593734,-1004.34076
8,5.7061014,-6.3322024,78.19288,43.675934,1.2362554,16.464846
9,0.037741207,0.32942852,0.0,0.0,-0.035802435,0.0
10,-0.0016941923,-1002.2765,-999.0,-999.0,-1.1383092,-1001.37537
11,5.7061014,-6.3322024,96.754326,43.675934,1.3318329,16.464846
12,0.04650531,0.0,0.0,0.0,-0.051124763,0.0
13,-0.0018433281,-1002.5649,-999.0,-999.0,-1.2385119,-1001.5845
14,5.7061014,-6.3322024,112.44841,43.675934,1.3740622,16.464846
15,0.026138542,0.22334215,0.0,0.0,-0.032904707,0.0
16,-0.0019650725,-1002.80035,-999.0,-999.0,-1.3203106,-1001.7551
17,5.7061014,-6.3322024,125.7193,43.675934,1.4224083,16.464846
18,0.031022534,0.0,0.0,0.0,-0.04469036,0.0
19,-0.001426217,-1001.75824,-999.0,-999.0,-0.9582596,-1000.99963
20,5.7061014,-6.3322024,136.93845,43.675934,1.4706123,16.464846
21,0.029193386,0.4252812,0.0,0.0,-0.04818208,0.0
22,-0.0015820964,-1002.0597,-999.0,-999.0,-1.0629932,-1001.2182
23,5.7061014,-6.3322024,146.42525,43.675934,1.506984,16.464846
24,0.010187093,0.0,0.0,0.0,-0.01930165,0.0
25,-0.0020394926,-1002.9443,-999.0,-999.0,-1.3703127,-1001.8595
26,5.7061014,-6.3322024,154.448,43.675934,1.5500964,16.464846
27,0.0058950773,0.035416562,0.0,0.0,-0.012910047,0.0
28,-0.0036714233,-1006.1003,-999.0,-999.0,-2.466789,-1004.1476
29,5.7061014,-6.3322024,161.23048,43.675934,1.6028664,16.464846
30,0.00991411,0.0,0.0,0.0,-0.02534395,0.0
31,-0.0034739194,-1005.7183,-999.0,-999.0,-2.3340883,-1003.87067
32,5.7061014,-6.3322024,166.96425,43.675934,1.6950521,16.464846
33,0.011359527,0.14017002,0.0,0.0,-0.034477264,0.0
34,-0.0025948598,-1004.0183,-999.0,-999.0,-1.7434578,-1002.6382
35,5.7061014,-6.3322024,171.81194,43.675934,1.7817994,16.464846
36,0.004826424,0.0,0.0,0.0,-0.017670862,0.0
37,-0.00059688254,-1000.15436,-999.0,-999.0,-0.40103883,-999.83685
38,5.7061014,-6.3322024,175.90994,43.675934,1.8449548,16.464846
39,0.010739832,0.56505436,0.0,0.0,-0.04841508,0.0
40,-0.0012365474,-1001.3914,-999.0,-999.0,-0.83082265,-1000.7337
41,5.7061014,-6.3322024,179.37543,43.675934,1.858852,16.464846
42,0.006261936,0.0,0.0,0.0,-0.035750974,0.0
43,-0.0021884171,-1003.23224,-999.0,-999.0,-1.4703735,-1002.0683
44,5.7061014,-6.3322024,182.30814,43.675934,1.8935502,16.464846
45,0.006139322,0.18667899,0.0,0.0,-0.046945088,0.0
46,-0.0024289635,-1003.69745,-999.0,-999.0,-1.6319939,-1002.4056
47,5.7061014,-6.3322024,184.7859,43.675934,1.948625,16.464846
48,0.004186806,0.0,0.0,0.0,-0.047185488,0.0
49,-0.002015551,-1002.89795,-999.0,-999.0,-1.3542266,-1001.8259
50,5.7061014,-6.3322024,186.8807,43.675934,2.0094614,16.464846
51,0.0023400988,0.20209967,0.0,0.0,-0.04762457,0.0
52,-0.0022448574,-1003.34143,-999.0,-999.0,-1.508295,-1002.1474
53,5.7061014,-6.3322024,188.65244,43.675934,2.0608559,16.464846
54,0.00049549126,0.0,0.0,0.0,-0.041807517,0.0
55,-0.0045225983,-1007.7464,-999.0,-999.0,-3.0386844,-1005.34094
56,5.7061014,-6.3322024,190.1515,43.675934,2.119756,16.464846
57,-0.00052179705,0.028176408,0.0,0.0,-0.022293057,0.0
58,-0.0054930947,-1009.6233,-999.0,-999.0,-3.6907501,-1006.70166
59,5.7061014,-6.3322024,191.4187,43.675934,2.2352698,16.464846
60,-0.0022294547,0.0,0.0,0.0,-0.0395294,0.0
61,-0.004828967,-1008.3389,-999.0,-999.0,-3.2445302,-1005.7705
62,5.7061014,-6.3322024,192.48927,43.675934,2.3736527,16.464846
63,-0.0032150405,0.062799014,0.0,0.0,-0.0369413,0.0
64,-0.004272488,-1007.2627,-999.0,-999.0,-2.8706377,-1004.9903
65,5.7061014,-6.3322024,193.39438,43.675934,2.4954574,16.464846
66,-0.0075572035,0.0,0.0,0.0,-0.0652669,0.0
67,-0.0035213146,-1005.81,-999.0,-999.0,-2.3659327,-1003.9371
68,5.7061014,-6.3322024,194.15894,43.675934,2.6019087,16.464846
69,-0.0051715635,2.1231194,0.0,0.0,-0.03616997,0.0
70,-0.00067589653,-1000.3071,-999.0,-999.0,-0.45412746,-999.94763
71,5.7061014,-6.3322024,194.80351,43.675934,2.6860662,16.464846
72,-0.008973168,0.0,0.0,0.0,-0.053094763,0.0
73,-0.0024063003,-1003.6536,-999.0,-999.0,-1.6167667,-1002.3738
74,5.7061014,-6.3322024,195.35316,43.675934,2.7073739,16.464846
75,-0.006902883,0.09024101,0.0,0.0,-0.035395313,0.0
76,-0.0029095074,-1004.62683,-999.0,-999.0,-1.9548662,-1003.0793
77,5.7061014,-6.3322024,195.81628,43.675934,2.7692597,16.464846
78,-0.013816075,0.0,0.0,0.0,-0.06305084,0.0
79,-0.0020282958,-1002.9226,-999.0,-999.0,-1.3627898,-1001.8438
80,5.7061014,-6.3322024,196.20578,43.675934,2.8399115,16.464846
81,-0.0142707545,0.2022885,0.0,0.0,-0.058988873,0.0
82,-0.0022287732,-1003.3103,-999.0,-999.0,-1.4974883,-1002.1249
83,5.7061014,-6.3322024,196.53679,43.675934,2.8915534,16.464846
84,-0.014013371,0.0,0.0,0.0,-0.053435806,0.0
85,-0.0019785222,-1002.82635,-999.0,-999.0,-1.3293474,-1001.774
86,5.7061014,-6.3322024,196.8163,43.675934,2.947546,16.464846
87,-0.011374582,0.12145126,0.0,0.0,-0.040755134,0.0
88,-0.0023990723,-1003.63965,-999.0,-999.0,-1.6119103,-1002.36365
89,5.7061014,-6.3322024,197.05338,43.675934,2.998646,16.464846
90,-0.016072925,0.0,0.0,0.0,-0.05446357,0.0
91,-0.0018311054,-1002.54126,-999.0,-999.0,-1.2302997,-1001.5673
92,5.7061014,-6.3322024,197.25221,43.675934,3.057308,16.464846
93,-0.018887358,1.0281457,0.0,0.0,-0.06092024,0.0
94,-0.0008886586,-1000.7186,-999.0,-999.0,-0.59707993,-1000.246
95,5.7061014,-6.3322024,197.41858,43.675934,3.0984216,16.464846
96,-0.016607441,0.0,0.0,0.0,-0.051132146,0.0
97,-0.0019311,-1002.7346,-999.0,-999.0,-1.297485,-1001.7075
98,5.7061014,-6.3322024,197.56479,43.675934,3.126158,16.464846
99,-0.013330576,0.24985851,0.0,0.0,-0.03927651,0.0
100,-0.0014131333,-1001.7329,-999.0,-999.0,-0.9494688,-1000.9813
101,5.7061014,-6.3322024,197.68542,43.675934,3.1745558,16.464846
102,0.0046774503,0.0,0.0,0.0,0.014083064,0.0
103,0.0003575028,-998.3086,-999.0,-999.0,0.2402022,-998.4988
104,5.7061014,-6.3322024,197.78673,43.675934,2.862538,16.464846
105,-0.023379644,0.98863167,0.0,0.0,-0.064822614,0.0
106,-0.00087356975,-1000.68945,-999.0,-999.0,-0.081412755,-1000.2248
107,5.7061014,-6.3322024,197.87161,43.675934,2.862538,16.464846
108,-0.02658248,0.0,0.0,0.0,-0.070406884,0.0
109,-0.0021149924,-1003.0903,-999.0,-999.0,-1.4210402,-1001.96533
110,5.7061014,-6.3322024,197.94746,43.675934,2.862538,16.464846
111,-0.047937304,0.28023216,0.0,0.0,-0.121645235,0.0
112,-0.0022620542,-1003.3747,-999.0,-999.0,-1.5198494,-1002.1716
113,5.7061014,-6.3322024,198.00778,43.675934,2.9124002,16.464846
114,-0.026914662,0.0,0.0,0.0,-0.06571184,0.0
115,-0.0038525308,-1006.45056,-999.0,-999.0,-2.5884733,-1004.4015
116,5.7061014,-6.3322024,198.06277,43.675934,2.9740489,16.464846
117,-0.028022988,0.07591547,0.0,0.0,-0.06591698,0.0
118,-0.0040506977,-1006.8338,-999.0,-999.0,-2.7216194,-1004.6793
119,5.7061014,-6.3322024,198.10753,43.675934,3.0721073,16.464846
120,-0.033929624,0.0,0.0,0.0,-0.07737042,0.0
121,-0.004612935,-1007.92114,-999.0,-999.0,-3.0993803,-1005.4676
122,5.7061014,-6.3322024,198.14632,43.675934,3.1762156,16.464846
123,-0.031829502,0.06853038,0.0,0.0,-0.07054985,0.0
124,-0.0054042744,-1009.45154,-999.0,-999.0,-3.6310728,-1006.57715
125,5.7061014,-6.3322024,198.18033,43.675934,3.2960749,16.464846
126,-0.07773409,0.0,0.0,0.0,-0.16805673,0.0
127,-0.003991678,-1006.71967,-999.0,-999.0,-2.6819646,-1004.59656
128,5.7061014,-6.3322024,198.20659,43.675934,3.431487,16.464846
129,-0.02050241,0.28147405,0.0,0.0,-0.043374196,0.0
130,-0.0012101639,-1001.3404,-999.0,-999.0,-0.81309587,-1000.6967
131,5.7061014,-6.3322024,198.23053,43.675934,3.534963,16.464846
132,-0.0028796068,0.0,0.0,0.0,-0.006051692,0.0
133,-6.651939e-05,-999.12866,-999.0,-999.0,-0.044693645,-999.09326
134,5.7061014,-6.3322024,198.24774,43.675934,3.5254662,16.464846
135,-0.03838003,2.6579297,0.0,0.0,-0.0779506,0.0
136,-0.0006798602,-1000.3148,-999.0,-999.0,-0.45679063,-999.9532
137,5.7061014,-6.3322024,198.2678,43.675934,3.5326703,16.464846
138,-0.0861598,0.0,0.0,0.0,-0.17149183,0.0
139,-0.00084492716,-1000.63403,-999.0,-999.0,-0.5676973,-1000.18463
140,5.7061014,-6.3322024,198.28369,43.675934,3.5502527,16.464846
141,-0.02723486,0.39401105,0.0,0.0,-0.053465974,0.0
142,-0.0011102699,-1001.1472,-999.0,-999.0,-0.7459782,-1000.55664
143,5.7061014,-6.3322024,198.3054,43.675934,3.591696,16.464846
144,-0.08828799,0.0,0.0,0.0,-0.17134118,0.0
145,-0.003641556,-1006.04254,-999.0,-999.0,-2.4467216,-1004.1057
146,5.7061014,-6.3322024,198.32324,43.675934,3.6332684,16.464846
147,-0.045973647,0.11038372,0.0,0.0,-0.08819355,0.0
148,-0.0034431152,-1005.65875,-999.0,-999.0,-2.3133912,-1003.82745
149,5.7061014,-6.3322024,198.3354,43.675934,3.7359273,16.464846
150,0.0058132005,0.0,0.0,0.0,0.011082566,0.0
151,0.00012737537,-998.75366,-999.0,-999.0,0.08558212,-998.8214
152,5.7061014,-6.3322024,198.34297,43.675934,3.8258398,16.464846
153,-0.023255806,-0.4380311,0.0,0.0,-0.04403219,0.0
154,-0.00017876022,-999.3457,-999.0,-999.0,-0.12010703,-999.2506
155,5.7061014,-6.3322024,198.33907,43.675934,3.8308513,16.464846
156,-0.068301514,0.0,0.0,0.0,-0.1273598,0.0
157,-0.00089100155,-1000.72314,-999.0,-999.0,-0.59865415,-1000.24927
158,5.7061014,-6.3322024,198.34918,43.675934,3.8350701,16.464846
159,-0.042324975,0.29021993,0.0,0.0,-0.07772069,0.0
160,-0.0015621646,-1002.0211,-999.0,-999.0,-1.0496012,-1001.19025
161,5.7061014,-6.3322024,198.35559,43.675934,3.8645825,16.464846
162,-0.08752052,0.0,0.0,0.0,-0.1586671,0.0
163,-0.0028406896,-1004.4937,-999.0,-999.0,-1.9086281,-1002.98285
164,5.7061014,-6.3322024,198.35379,43.675934,3.903156,16.464846
165,-0.041777164,0.34802702,0.0,0.0,-0.07484556,0.0
166,-0.0013788589,-1001.6666,-999.0,-999.0,-0.9264402,-1000.9332
167,5.7061014,-6.3322024,198.35272,43.675934,3.9747744,16.464846
168,-0.030536518,0.0,0.0,0.0,-0.05424094,0.0
169,-0.00074691424,-1000.44446,-999.0,-999.0,-0.50184345,-1000.04724
170,5.7061014,-6.3322024,198.35062,43.675934,4.0073814,16.464846
171,-0.03877078,0.9835978,0.0,0.0,-0.06802802,0.0
172,-0.0007867895,-1000.5216,-999.0,-999.0,-0.52863526,-1000.10315
173,5.7061014,-6.3322024,198.3491,43.675934,4.024603,16.464846
174,-0.051268402,0.0,0.0,0.0,-0.08873999,0.0
175,-0.0011297024,-1001.18475,-999.0,-999.0,-0.7590347,-1000.5839
176,5.7061014,-6.3322024,198.34973,43.675934,4.0459366,16.464846
177,-0.08097455,0.23832232,0.0,0.0,-0.13833839,0.0
178,-0.0023760665,-1003.59515,-999.0,-999.0,-1.596453,-1002.3314
179,5.7061014,-6.3322024,198.35223,43.675934,4.078785,16.464846
180,-0.08514949,0.0,0.0,0.0,-0.14376499,0.0
181,-0.0007144647,-1000.3817,-999.0,-999.0,-0.48004097,-1000.0017
182,5.7061014,-6.3322024,198.34595,43.675934,4.1265674,16.464846
183,-0.06776175,0.416869,0.0,0.0,-0.113247395,0.0
