,train_p1,train_p2,train_p3,train_p4,train_p5,train_p6
0,0.113212936,,-0.31257248,0.0,-0.18758576,0.0
1,-999.0,,-1006.22534,-999.0,-999.0175,-999.3817
2,-6.334783,,-2.7408571,-6.3259935,-5.9160447,-55.02337
3,0.13013792,,-0.5057313,0.0,-0.27783954,0.0
4,-999.0,,-1007.3162,-999.0,-999.02014,-999.43933
5,-76.13968,,-2.7408571,-251.35252,-214.91946,-6.3321986
6,0.12145661,,-0.2975114,0.0,0.0,0.0
7,-999.0,,-1005.4697,-999.0,-999.0157,-999.3418
8,-6.332209,,-2.7408571,-6.3321986,-6.3321986,-1094.435
9,0.31640995,,-0.11635777,0.0,0.0,0.0
10,-999.0,,-1001.8775,-999.0,-999.00696,-999.152
11,-76.14262,,-2.7408571,-251.30151,-212.5798,-6.3321986
12,0.3212415,,-0.16520867,0.0,0.0,0.0
13,-999.0,,-1002.1308,-999.0,-999.00757,-999.1654
14,-6.332209,,-2.7408571,-6.3321986,-6.3321986,-1094.0729
15,0.16868128,,-0.10615929,0.0,0.0,0.0
16,-999.0,,-1002.3376,-999.0,-999.0081,-999.17633
17,-76.143265,,-2.7408571,-251.30438,-212.58942,-6.3321986
18,0.7554188,,-0.1349779,0.0,0.0,0.0
19,-999.0,,-1001.42236,-999.0,-999.00586,-999.128
20,-6.332209,,-2.7408571,-6.3321986,-6.3321986,-1094.1074
21,0.45414114,,-0.14609793,0.0,0.0,0.0
22,-999.0,,-1001.6871,-999.0,-999.00653,-999.14197
23,-76.14307,,-2.7408571,-251.30338,-212.58156,-6.3321986
24,0.08112465,,-0.060579505,0.0,0.0,0.0
25,-999.0,,-1002.4639,-999.0,-999.0084,-999.183
26,-6.332209,,-2.7408571,-6.3321986,-6.3321986,-1094.0583
27,0.01751784,,-0.0481897,0.0,0.0,0.0
28,-999.0,,-1005.2357,-999.0,-999.01514,-999.3294
29,-76.143486,,-2.7408571,-251.30511,-212.5871,-6.3321986
30,0.036093768,,-0.09143392,0.0,0.0,0.0
31,-999.0,,-1004.90027,-999.0,-999.0143,-999.3117
32,-6.332209,,-2.7408571,-6.3321986,-6.3321986,-1094.2621
33,0.0773668,,-0.110759646,0.0,0.0,0.0
34,-999.0,,-1003.4072,-999.0,-999.0107,-999.2328
35,-76.14274,,-2.7408571,-251.30191,-212.57755,-6.3321986
36,-0.08427454,,-0.045859,0.0,0.0,0.0
37,-999.0,,-1000.0138,-999.0,-999.00244,-999.0535
38,-6.332209,,-2.7408571,-6.3321986,-6.3321986,-1094.1501
39,4.5586433,,-0.13204002,0.0,0.0,0.0
40,-999.0,,-1001.1002,-999.0,-999.00507,-999.11096
41,-76.142685,,-2.7408571,-251.3016,-212.57259,-6.3321986
42,0.104555346,,-0.10657361,0.0,0.0,0.0
43,-999.0,,-1002.7169,-999.0,-999.00903,-999.19635
44,-6.332209,,-2.7408571,-6.3321986,-6.3321986,-1094.026
45,0.10702334,,-0.14259759,0.0,0.0,0.0
46,-999.0,,-1003.1254,-999.0,-999.01,-999.21796
47,-76.14317,,-2.7408571,-251.30367,-212.5799,-6.3321986
48,0.15866889,,-0.13591291,0.0,0.0,0.0
49,-999.0,,-1002.4233,-999.0,-999.0083,-999.18085
50,-6.332209,,-2.7408571,-6.3321986,-6.3321986,-1094.1384
51,0.121862665,,-0.13904308,0.0,0.0,0.0
52,-999.0,,-1002.81274,-999.0,-999.0092,-999.2014
53,-76.143036,,-2.7408571,-251.3033,-212.58305,-6.3321986
54,0.03283621,,-0.15906349,0.0,0.0,0.0
55,-999.0,,-1006.68134,-999.0,-999.0186,-999.40576
56,-6.332209,,-2.7408571,-6.3321986,-6.3321986,-1094.1333
57,0.013295048,,-0.096809395,0.0,0.0,0.0
